0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
70	114	248	17	279	87	504	83	923	301
8	65	266	136	600	305	190	326	209	1725
37	276	220	316	70	57	1383	496	186	542
338	322	94	499	390	306	202	497	412	1328
73	47	301	52	420	568	434	248	59	575
37	151	281	248	120	511	2015	109	81	2511
57	14	45	426	98	302	90	451	506	219
68	213	34	298	453	86	1018	726	902	205
16	64	103	793	36	584	545	159	761	982
98	16	179	110	380	363	321	649	746	888
5	136	45	207	443	295	214	518	549	746
221	26	117	121	834	130	1755	80	132	648
66	73	32	54	558	72	658	459	558	373
183	8	46	58	136	255	483	650	106	1372
84	115	188	671	640	156	1831	618	6501	1304
122	141	241	401	69	128	194	58	481	1219
6	24	73	191	194	55	279	89	390	502
73	28	363	93	603	71	152	271	848	434
198	11	48	423	37	79	276	151	176	623
88	684	144	34	297	61	714	197	649	660
49	28	195	38	57	51	276	602	634	381
34	172	100	222	585	1957	599	455	281	46
194	282	314	48	365	163	658	211	462	66
44	696	769	232	123	521	457	439	74	860
22	253	161	1299	278	543	74	310	380	1369
10	133	160	144	53	275	154	868	54	2370
13	22	141	36	24	543	373	43	99	440
9	123	118	59	402	1347	208	40	191	597
23	162	81	494	311	52	502	58	295	200
125	157	51	36	985	488	167	384	444	2020
58	270	11	48	207	878	184	244	569	236
95	29	19	87	98	897	224	666	817	630
96	16	324	368	201	371	148	499	900	986
24	18	367	422	481	676	304	691	174	442
4	74	320	53	446	484	615	381	175	769
104	253	18	351	642	148	61	104	674	881
97	277	48	717	46	50	609	246	794	86
57	129	53	89	39	46	178	377	55	56
85	70	20	795	233	627	593	569	667	1810
65	91	338	137	50	70	771	66	1118	499
122	56	9	31	96	412	687	121	254	948
96	5	52	62	89	220	154	868	255	891
64	172	857	384	113	3971	90	870	1039	726
49	118	307	98	169	184	199	273	126	434
48	140	81	356	43	445	79	79	804	250
82	25	315	170	311	587	542	607	2590	493
305	168	33	77	349	486	432	1199	219	750
130	9	42	44	112	558	256	229	134	1302
222	318	140	393	110	175	270	571	198	599
187	16	251	122	4884	49	59	44	1455	516
134	187	9	331	304	1066	184	184	852	394
418	178	179	819	175	562	31	47	331	770
10	192	296	162	392	29	409	864	784	874
89	229	235	225	751	317	310	529	255	818
21	199	1012	292	167	486	661	1567	93	877
69	51	3161	144	361	42	353	592	734	2828
153	264	78	435	151	536	89	260	795	2022
26	107	111	203	55	358	348	231	629	2837
7	79	63	229	891	815	673	352	365	225
133	135	272	771	516	379	1161	1340	179	1255
35	60	181	222	287	58	136	528	54	487
6	49	165	271	1039	74	340	408	258	586
12	355	377	354	230	249	624	2408	791	74
71	26	166	220	102	552	129	124	40	744
81	78	526	273	212	536	559	409	508	212
68	116	533	133	486	37	493	232	749	96
12	128	424	66	127	510	174	689	73	747
36	32	85	951	42	658	455	250	77	1836
105	230	292	76	34	905	83	838	517	693
101	29	166	175	987	521	550	653	251	587
64	23	164	527	134	528	587	160	1321	458
49	172	147	327	405	142	510	723	152	550
421	109	167	129	351	269	377	312	459	452
5	50	43	60	795	189	25	728	211	75
111	38	61	540	1656	135	86	1004	4902	1812
36	86	18	172	167	605	465	129	787	256
105	194	222	20	622	536	42	81	491	116
61	123	39	345	250	671	167	760	94	228
14	30	29	38	31	275	216	2491	136	729
110	503	24	226	262	525	103	610	1368	765
758	68	93	44	478	661	30	107	1083	709
19	320	129	290	453	48	825	159	89	60
176	127	141	38	401	1796	518	1796	205	97
78	48	95	103	84	144	285	408	650	2026
18	246	51	94	505	76	2165	435	295	279
126	270	260	108	438	694	260	561	758	805
12	108	226	110	884	166	864	1100	1314	77
25	164	91	76	441	265	223	361	781	101
114	11	171	51	274	110	377	55	94	751
45	27	14	45	127	129	1094	735	1496	90
105	63	86	131	953	251	59	55	111	1531
9	201	236	488	54	650	66	629	1045	231
71	349	68	472	238	1644	210	342	194	252
131	11	65	220	18	50	399	414	916	803
25	24	34	322	333	263	716	160	1604	308
60	68	1182	25	978	158	1271	640	595	801
6	19	16	44	186	208	643	1298	2764	127
224	21	65	351	323	658	69	71	451	57
135	53	271	326	96	429	277	116	2436	687
21	268	133	255	252	558	1108	495	474	100
94	118	69	837	486	50	409	1207	725	210
138	144	1282	1516	136	46	158	55	265	2253
60	252	217	256	230	251	151	389	965	401
84	145	24	43	259	533	328	1613	52	540
110	19	29	206	109	50	618	1146	716	44
535	160	167	206	86	214	345	80	240	384
187	88	237	324	164	490	725	81	309	406
60	153	264	632	1894	864	782	443	1476	209
57	178	27	1354	194	431	561	286	256	758
50	159	491	89	202	559	46	58	392	1317
11	66	113	1553	402	293	393	1210	193	1085
10	195	480	329	211	1455	4851	1768	309	631
12	1081	479	138	157	27	225	180	617	832
41	56	119	578	441	215	285	1386	746	221
129	168	88	59	144	237	6019	76	692	113
9	44	439	353	117	437	754	65	1088	206
7	242	336	26	318	505	88	86	319	2442
99	10	609	294	27	39	354	2372	794	97
56	88	61	117	77	441	613	380	823	1225
7	211	241	97	283	785	570	659	790	690
114	13	282	379	154	1041	389	396	688	664
55	132	185	262	493	647	336	245	597	205
20	163	27	524	80	1267	275	570	834	122
151	203	131	110	353	1125	242	414	117	173
121	10	358	539	381	286	216	745	78	523
54	267	37	397	377	297	254	208	737	599
34	148	64	141	389	650	1159	391	577	1473
131	152	240	300	917	1006	187	705	236	2177
136	194	24	14	29	56	302	235	72	565
123	157	14	18	167	176	608	947	248	221
4	94	52	33	205	88	1015	402	56	105
86	166	337	390	55	123	466	50	1305	379
40	195	125	31	328	700	109	904	173	242
367	17	228	1010	102	239	448	709	777	965
62	18	280	807	135	128	390	753	677	526
68	57	259	468	46	91	113	104	230	988
3	127	16	69	763	187	199	1328	125	951
16	327	73	32	850	132	272	627	781	1541
76	263	1239	114	515	54	778	164	3956	128
126	29	28	555	1579	282	492	960	710	89
68	292	12	161	419	338	94	200	1369	75
196	45	373	264	188	368	593	222	328	1083
98	146	567	1108	76	540	785	470	551	143
149	70	293	146	276	345	87	325	96	900
269	180	316	378	295	678	464	5368	213	373
23	205	18	34	257	536	758	157	183	1282
152	119	342	99	122	418	707	1855	2104	1119
84	13	22	286	34	572	487	164	831	247
22	44	54	16	78	310	680	388	914	182
