1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
152	137	300	164	343	465	334	435	115	184
157	153	187	304	221	298	458	304	465	422
173	183	299	515	336	493	174	398	621	448
170	184	267	302	312	637	107	336	151	556
157	336	278	108	106	590	191	125	422	336
184	320	137	133	303	117	263	582	334	461
200	164	116	152	229	268	457	165	342	158
177	290	152	129	280	135	427	313	220	240
108	136	119	251	515	221	120	454	117	167
153	141	171	234	378	299	177	266	518	171
181	137	400	249	328	588	310	143	590	263
144	194	131	250	296	143	149	302	461	300
191	151	295	270	122	176	460	300	631	504
183	303	198	239	322	278	327	116	346	427
137	137	129	149	487	107	207	367	126	107
107	143	137	230	271	157	204	252	489	410
164	159	240	169	317	497	320	152	311	304
165	170	234	334	299	467	290	197	321	235
191	137	334	275	135	137	484	336	406	422
169	191	209	407	143	457	265	184	613	225
108	102	113	258	317	295	287	313	305	366
187	171	118	169	501	294	174	515	288	406
115	184	299	349	153	120	318	254	174	270
124	182	184	177	233	170	397	101	396	309
100	334	312	347	131	122	152	321	186	299
169	306	308	329	334	237	506	302	504	486
120	220	205	191	489	284	476	188	336	382
148	101	149	257	131	184	263	327	122	472
125	179	269	204	336	252	265	400	179	381
170	348	170	147	115	131	102	522	279	304
175	175	299	290	176	335	382	403	316	329
181	157	304	449	532	202	300	285	420	350
129	152	433	322	196	270	149	352	282	136
125	317	303	259	164	165	187	570	553	427
155	140	181	122	109	532	155	266	205	143
155	191	164	158	169	261	561	408	312	254
155	270	304	316	320	252	304	151	427	546
128	174	277	326	200	281	225	148	221	457
116	136	292	209	373	323	318	479	306	259
153	157	164	107	482	414	220	296	323	603
165	131	163	668	336	324	137	305	298	504
119	328	204	120	334	364	200	107	315	377
131	101	165	325	204	221	629	137	317	302
106	148	114	402	262	552	386	486	280	535
102	143	334	176	347	314	423	332	322	317
157	245	284	187	183	117	285	457	457	150
164	131	375	176	296	294	433	252	306	296
157	151	338	303	323	101	378	305	432	223
174	153	227	295	286	626	118	502	297	174
193	100	119	164	144	349	307	199	302	247
191	126	304	233	317	158	251	262	294	448
152	106	298	165	343	300	209	312	293	302
131	288	276	325	338	290	299	179	313	626
142	295	110	152	104	325	321	193	335	367
136	192	160	275	117	358	239	501	269	293
173	137	325	131	110	534	190	546	410	284
136	137	110	157	128	298	294	230	435	640
181	334	137	104	347	338	280	276	229	200
118	313	108	299	259	478	154	298	370	316
102	335	285	327	115	382	313	334	427	345
108	258	239	108	174	352	515	338	287	409
149	335	291	131	182	489	403	131	336	403
152	171	284	109	206	427	105	486	776	309
113	157	109	206	109	147	395	107	341	559
153	163	131	317	179	458	293	265	191	420
101	306	153	334	302	209	284	373	364	335
193	126	317	226	517	486	472	603	317	449
169	322	306	461	367	284	304	131	167	475
101	144	158	314	412	296	248	280	214	176
153	383	391	107	122	298	223	271	286	284
110	198	128	336	457	299	306	217	338	618
158	181	306	210	192	270	200	278	275	652
107	108	199	313	299	334	522	133	320	114
181	165	104	335	416	303	105	407	454	383
156	200	240	232	355	157	655	165	334	474
170	164	100	149	508	454	344	388	338	311
153	157	255	131	178	328	281	137	632	338
181	191	257	358	313	159	383	191	130	403
159	242	218	120	387	191	146	338	273	653
129	193	178	137	181	185	321	293	118	245
151	176	209	306	179	251	401	296	317	304
197	361	155	114	534	427	291	207	404	504
170	128	166	222	234	328	400	478	336	399
124	152	139	100	157	349	323	347	613	258
184	133	302	184	317	422	337	292	364	321
174	144	170	121	234	312	458	264	402	178
134	158	197	295	200	428	368	481	294	312
159	104	347	333	236	107	422	323	284	598
136	310	336	430	167	370	486	148	469	165
128	133	155	270	472	448	404	493	457	389
137	108	166	361	167	414	394	476	120	265
148	319	472	277	336	280	149	525	607	284
184	131	133	150	164	292	409	321	323	200
133	187	317	192	206	254	117	335	546	300
131	191	263	184	284	460	287	457	120	141
122	184	288	213	120	721	334	446	298	356
181	334	306	268	147	134	312	293	491	613
100	361	184	328	332	299	106	639	500	409
132	120	364	265	323	254	149	165	410	443
144	149	304	167	254	200	322	155	302	263
150	185	291	317	434	128	148	584	220	285
144	149	233	110	182	245	332	448	461	152
100	223	165	367	347	191	295	403	433	583
148	159	284	243	238	334	721	214	167	317
191	336	264	167	214	434	277	300	209	336
131	112	154	268	306	454	324	457	251	112
181	184	262	335	216	209	319	325	216	465
171	171	191	358	351	334	317	126	221	307
156	107	174	108	335	209	335	115	323	299
102	338	152	298	303	284	165	234	281	613
107	118	137	148	273	218	271	317	435	335
159	102	338	291	448	307	148	284	467	249
164	136	145	355	312	214	114	336	516	338
102	144	153	113	129	163	435	687	309	281
183	107	181	118	419	332	334	182	624	100
184	334	137	270	294	278	186	290	342	353
131	159	158	367	435	304	464	334	465	489
183	165	313	312	447	299	228	338	341	361
137	265	284	165	336	148	191	460	271	317
178	321	313	271	265	296	291	182	314	338
153	235	324	151	486	109	317	438	101	276
129	117	178	303	433	433	290	313	247	321
191	200	429	116	478	334	304	427	467	295
144	326	101	265	284	321	417	366	334	458
188	122	328	108	276	427	582	109	410	361
155	323	109	305	299	285	326	457	329	510
122	191	147	122	454	153	472	488	279	243
128	136	313	117	361	166	429	280	282	536
147	198	481	298	196	221	467	371	371	137
170	293	314	384	478	203	298	457	441	248
130	169	116	131	336	371	283	143	603	411
116	167	198	167	297	324	273	287	183	143
131	313	273	200	394	152	320	382	133	287
107	153	334	433	311	427	293	313	358	317
157	153	103	147	152	472	313	241	174	317
149	148	129	447	332	216	408	389	412	608
191	120	243	336	125	170	334	364	286	334
153	188	174	159	100	413	283	300	120	261
103	135	336	102	504	290	336	285	346	312
157	191	355	298	120	313	137	194	229	257
100	170	226	336	322	177	247	672	316	150
144	285	325	120	139	100	102	317	533	448
136	310	299	307	338	336	281	283	335	614
100	106	304	312	164	131	463	433	427	454
102	139	294	247	335	170	137	486	320	243
184	320	322	443	321	420	540	200	110	411
155	252	184	473	127	158	341	434	235	486
191	291	267	198	173	293	465	385	258	314
129	105	109	288	312	337	193	325	382	211
165	282	184	101	112	377	163	376	322	435
184	273	110	361	311	126	442	312	303	472
156	197	153	351	371	487	347	100	346	378
182	367	137	303	321	355	325	197	505	422
162	103	334	377	535	114	460	150	152	163
120	153	285	362	335	418	464	325	162	359
130	133	147	300	216	532	187	104	482	322
148	311	100	423	336	299	364	136	147	324
134	152	136	240	334	263	430	507	130	289
128	170	163	263	128	160	246	345	305	159
106	228	346	291	346	381	433	170	489	504
157	174	150	240	265	264	317	631	285	222
153	107	462	327	329	174	372	446	456	303
121	129	312	334	304	522	157	102	220	315
196	100	121	399	508	381	491	298	423	260
167	261	296	184	371	332	409	284	328	335
115	122	320	306	264	613	282	312	271	427
143	306	152	191	448	124	147	465	299	415
181	131	148	460	164	585	312	349	263	108
181	108	187	101	191	262	485	356	257	386
147	176	304	281	245	252	313	235	639	264
137	299	298	178	102	153	472	298	461	307
122	131	378	165	170	515	147	241	457	300
102	304	144	284	420	408	102	399	273	615
173	331	236	381	142	358	448	472	265	578
191	320	285	137	147	232	165	226	306	312
106	336	119	454	407	486	198	351	299	391
101	335	320	152	128	347	187	311	317	490
187	101	294	320	112	368	280	403	170	192
134	221	139	181	276	336	305	104	287	454
150	183	218	251	151	295	336	337	448	312
170	312	336	295	335	476	300	174	174	280
184	108	164	207	306	304	384	383	607	418
166	322	213	199	354	245	302	427	136	358
149	196	306	323	504	115	170	416	573	380
187	331	107	261	313	482	248	200	567	336
173	318	472	274	296	152	383	523	122	147
106	152	170	232	165	301	310	245	331	415
102	302	349	290	289	161	153	620	178	171
149	137	259	184	298	444	298	312	153	292
181	104	271	366	322	109	306	335	515	348
134	181	129	419	460	358	176	150	412	613
120	320	256	257	285	472	302	147	335	336
184	107	135	299	182	277	454	457	409	203
106	164	139	420	265	200	252	373	230	337
170	168	249	191	461	317	286	230	386	275
155	223	334	137	275	295	237	482	311	457
178	170	184	336	325	489	265	237	536	231
152	153	101	181	394	311	262	194	321	424
200	151	273	129	321	442	400	321	124	423
114	128	236	334	126	420	448	137	511	242
170	106	108	192	328	367	382	577	137	506
103	150	153	181	281	214	289	606	428	652
109	120	281	335	336	472	233	139	108	226
153	173	143	200	336	126	132	422	279	336
127	348	284	266	364	338	323	388	465	462
115	150	191	179	304	269	472	441	147	367
196	147	334	197	289	100	117	321	499	767
170	184	239	299	331	506	298	404	472	603
182	155	133	252	321	502	316	430	422	378
198	198	139	313	480	226	299	322	263	316
165	150	300	336	412	109	135	283	459	679
162	288	313	305	122	209	238	106	104	299
184	234	271	187	102	237	109	318	323	338
155	336	335	328	425	118	273	440	154	297
189	286	164	191	202	193	165	424	479	285
170	169	430	301	319	107	100	322	371	248
188	147	147	150	241	152	454	494	370	358
104	128	145	293	484	474	246	533	489	249
129	130	119	115	215	302	297	120	380	587
108	126	197	156	158	362	422	362	245	316
117	246	178	107	165	100	301	290	355	124
166	120	173	364	336	346	422	191	486	459
128	271	262	271	129	209	299	387	620	157
155	135	288	176	356	165	280	240	422	312
149	320	189	110	115	323	300	120	414	317
144	249	187	285	109	304	454	351	375	254
138	165	270	248	338	267	416	457	107	296
131	134	301	368	355	422	247	332	179	277
151	122	486	328	443	144	317	314	241	446
114	139	137	126	137	325	334	166	381	319
128	180	122	307	171	336	313	601	307	162
108	139	147	170	232	299	489	291	465	200
170	155	323	133	285	149	314	164	126	100
170	120	143	336	413	135	308	299	106	624
103	155	170	334	327	358	489	214	427	313
122	181	412	334	351	273	320	472	612	288
164	122	170	403	265	115	448	128	266	320
169	320	176	263	103	221	307	305	430	614
152	149	114	299	287	297	306	632	229	427
147	254	361	312	100	290	334	301	472	290
129	157	133	295	335	221	442	308	409	296
129	313	334	121	173	290	187	639	108	112
188	317	199	108	511	191	510	230	170	486
170	317	321	472	432	255	470	334	361	274
164	109	104	115	206	342	334	149	221	379
118	167	299	298	200	318	184	442	336	193
148	155	306	251	109	184	336	323	225	635
191	170	129	367	446	294	298	381	159	462
165	282	335	457	165	355	106	352	105	114
184	109	336	141	111	284	262	396	421	595
147	336	261	334	191	107	501	309	313	216
163	317	113	379	219	313	298	284	302	599
149	170	104	173	358	120	336	489	336	299
183	120	336	590	131	319	547	312	482	652
110	100	173	334	180	358	439	209	307	439
103	289	334	301	534	141	208	187	427	504
100	200	297	472	296	312	508	402	487	572
161	181	403	181	191	454	267	321	320	497
139	107	134	173	478	151	373	272	587	259
180	191	283	137	424	186	280	486	305	296
119	178	117	259	280	449	265	431	135	724
107	166	323	281	362	358	367	313	398	337
100	165	284	308	187	304	487	427	336	339
134	345	237	291	306	330	317	335	165	380
192	336	409	200	144	402	338	170	294	727
181	101	272	220	334	227	176	118	333	727
106	192	328	317	367	321	626	454	253	317
117	164	110	378	287	366	155	346	305	286
101	358	129	106	271	191	344	321	192	205
102	134	133	252	356	235	214	428	572	320
178	157	280	257	107	254	291	329	511	412
183	132	320	157	482	257	454	322	427	428
130	181	113	409	322	275	257	386	303	170
122	122	367	348	234	309	420	133	358	373
170	108	107	414	336	289	306	433	191	578
149	336	301	290	370	147	120	489	857	334
130	153	133	294	126	313	457	336	157	152
116	111	359	140	462	619	486	532	330	200
169	304	179	317	131	148	371	163	457	286
