0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
232	8	1	121	150	2	796	8	3074	1434
35	182	381	479	557	52	373	254	721	415
3	0	5	25	7	288	66	382	682	4
44	246	659	8	652	362	1232	868	26	137
482	410	7	312	47	601	273	764	360	81
4	243	231	12	271	726	87	283	603	986
0	16	261	46	29	639	707	392	404	116
0	133	19	3	320	470	473	1647	436	1761
1	13	112	1358	368	328	254	130	207	72
0	12	30	503	560	2253	122	277	1613	90
1	102	269	217	6	574	798	665	559	1490
5	16	673	4	2155	25	387	87	666	56
4	157	578	296	19	5	236	2176	660	798
3	9	301	560	2	554	66	524	2	452
1	12	276	344	4	705	438	477	616	1257
0	141	2	749	187	307	608	681	23	557
6	128	55	10	3	302	338	1907	741	2907
0	386	81	477	283	430	271	1287	352	276
142	0	225	476	2	486	512	82	195	1834
212	14	27	5	500	1035	540	113	209	801
7	88	108	40	39	555	424	504	555	320
5	0	14	555	1353	425	145	523	276	1391
47	722	248	623	13	501	316	738	232	918
223	0	20	23	727	234	733	683	889	2770
45	7	30	405	213	451	283	1564	973	625
98	199	243	27	297	380	878	1518	543	1104
3	2	2	11	953	577	2668	924	662	75
14	65	369	697	9	124	667	98	808	303
6	356	31	456	37	201	459	0	251	125
290	195	513	645	3	1	47	78	409	948
24	12	267	679	54	29	304	286	187	870
22	4	26	658	135	78	432	44	924	401
0	99	595	786	56	833	132	416	382	554
19	79	1196	317	190	245	4	66	23	327
2	347	764	275	3	1	894	154	60	3
171	4	22	604	5	281	531	145	334	456
254	0	232	0	59	451	319	7	296	24
192	3	10	241	1254	2	451	507	821	2480
9	25	501	5	34	1064	664	469	466	789
45	61	4	379	457	56	454	286	655	529
113	9	14	4	68	457	465	856	265	1287
5	168	0	215	31	287	115	73	4	4
234	4	1	476	9	21	2104	53	199	37
1	8	443	3	10	668	3455	573	649	520
6	2	162	83	547	693	1311	645	1407	1648
0	656	45	458	389	146	511	2	5	223
1	7	6	275	82	7	368	328	227	29
14	18	599	53	16	9	391	1143	11	467
233	297	8	7	274	228	1978	404	1271	831
4	446	303	27	566	1304	671	0	1523	410
1	249	6	191	25	2	22	480	533	207
12	7	471	293	453	404	666	795	630	245
80	254	421	360	320	30	433	335	1967	838
0	277	188	5	33	199	31	306	482	1868
19	10	15	422	0	391	491	81	81	415
64	0	1	14	161	642	15	362	767	10
117	164	9	28	1786	12	340	557	283	226
4	57	134	291	1647	202	108	835	1043	759
16	118	103	248	295	631	6	7	1628	46
4	2	491	656	342	400	25	885	711	168
0	256	21	137	259	259	6	194	15	1281
170	14	28	216	62	175	221	77	79	519
441	213	93	350	443	26	418	3	6	1077
10	30	7	409	294	0	1335	2695	460	386
30	327	37	306	140	61	2	66	166	699
248	5	1	26	155	252	91	681	314	578
25	1	11	91	525	353	319	1390	637	756
16	120	31	27	201	717	540	879	368	162
2	2	365	577	1767	442	168	807	664	68
41	124	1	4	708	243	325	2265	1456	343
126	1	73	394	293	284	346	56	924	288
1	2	11	50	280	9	191	1591	8	533
1	6	117	75	45	903	132	570	378	935
122	7	847	221	860	832	61	335	1854	552
436	86	138	336	262	258	115	201	461	2601
0	250	0	2	48	186	515	1289	260	958
196	483	265	218	183	237	144	651	174	1061
342	114	233	272	634	309	15	82	1073	103
1	0	15	25	2	21	700	100	687	58
27	261	380	843	746	733	314	4	185	543
1	16	246	3	365	733	162	659	661	5
0	11	1408	630	12	79	465	743	70	490
0	139	189	23	140	594	93	308	0	1275
0	2	579	219	1141	369	4	3640	2029	1082
222	1	96	9	283	1037	4	236	1222	209
171	12	1048	15	0	423	374	845	577	583
275	10	325	307	818	102	963	2597	551	881
251	69	21	5	278	396	975	292	482	9
8	0	3	697	183	732	218	336	947	1846
126	31	752	33	467	347	42	271	25	1534
1	188	5	769	533	626	344	791	1382	96
1	19	14	0	523	565	34	145	3	212
565	8	92	10	1630	826	246	4	680	261
0	31	1151	57	1	209	23	19	2398	273
9	40	247	732	315	23	627	52	12	3
291	3	419	79	108	1	2	696	97	76
0	1008	137	1722	1692	527	819	330	440	1274
14	450	451	131	210	442	651	932	1444	1218
0	4	23	4	3	32	2682	634	34	3137
367	72	282	669	295	1415	8	492	1548	1030
22	222	179	23	241	30	5	533	527	602
120	1	404	280	109	239	642	774	19	1078
319	366	221	17	34	27	45	1374	1120	244
145	282	299	5	580	100	1601	767	924	514
0	61	78	0	583	14	629	87	180	431
0	4	2	3	479	865	9	33	692	631
22	1	6	6	721	1167	546	83	406	173
2	40	690	569	244	56	51	222	89	1284
44	4	155	19	158	741	552	193	634	1131
103	488	161	221	118	177	942	462	1048	624
457	0	21	216	508	160	58	1138	8	15
197	0	267	18	269	451	500	1370	1421	473
1	1	53	27	247	961	465	221	907	44
72	259	361	2	3	2	110	346	555	477
7	440	906	8	193	2	423	63	61	1570
339	337	0	267	203	562	22	38	919	323
5	315	159	2	954	663	426	729	541	462
9	0	4	265	516	474	362	486	10	22
155	46	8	399	211	17	151	40	562	764
247	180	759	15	109	42	408	581	546	559
4	94	1	779	2	585	810	1107	716	2
2	57	0	225	558	11	628	266	232	85
0	48	153	560	479	314	352	252	929	1095
2	60	328	62	312	372	254	271	771	989
