1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
3	7	397	43	798	779	65	125	176	758
4	42	29	112	120	8	30	73	30	55
353	2	83	10	10	10	124	517	25	169
29	1	160	3	8	199	64	48	162	25
6	31	72	7	266	15	27	3	169	11
1	12	1	3	5	235	127	24	25	35
2	69	18	23	12	15	12	28	144	563
21	3	6	48	31	52	337	96	93	132
35	6	12	4	17	21	468	116	96	57
3	5	14	33	29	51	651	2	187	1185
1	416	6	175	5	6	132	194	11	131
25	7	89	4	58	25	26	13	56	132
205	1	192	79	29	128	13	10	18	9
8	2	85	62	3	11	487	106	27	133
13	4	117	4	9	58	140	1424	136	216
1	5	10	380	85	60	15	12	21	163
2	18	1	5	9	67	11	67	46	10
106	2	7	412	23	15	196	10	155	54
37	5	9	185	9	6	13	155	245	276
1	2	3	15	30	11	24	18	80	246
3	3	122	431	24	444	9	44	14	203
2	2	48	5	7	49	66	166	220	97
2	2	10	21	76	6	104	34	45	32
3	119	165	72	10	94	101	75	21	10
1	3	95	16	56	48	60	25	139	391
11	209	45	14	3	17	7523	77	20	100
3	10	19	7	16	352	307	28	16	243
1	94	9	139	223	21	116	31	469	14
1	3	5	12	34	63	576	98	30	171
1	5	4	38	40	153	110	6	57	59
65	7	4	16	170	25	83	3	11	366
7	482	10	3	160	2	27	350	187	313
21	200	55	19	114	77	616	9	26	187
2	2	2	3	182	21	127	85	15	1600
5	3	3	266	5	11	581	13	466	95
55	3	112	24	13	21	309	67	462	73
20	2	86	15	41	60	140	44	181	185
23	27	18	59	1612	36	49	67	58	65
3	2	88	32	889	468	191	32	72	2
1	64	3	33	179	993	64	11	45	107
6	85	6	2	14	577	6	346	36	17
10	8	4	12	43	28	105	170	27	250
1	1	75	11	37	18	101	84	125	14
1	47	78	242	9	10	1200	870	295	321
1	519	9	177	9	14	9	12	512	26
1	44	4	6	75	93	1185	46	274	53
219	58	3	3	12	49	164	134	115	168
1	136	9	400	5	86	28	117	10	13
22	87	483	28	22	6	220	11	416	11
13	10	247	5	154	32	70	31	538	18
92	724	24	59	11	7	266	12	155	77
1	54	2	7	25	66	276	24	37	40
5	2	32	74	84	83	74	13	46	1479
1	39	2	44	16	2	120	94	1	65
46	1033	105	24	43	89	553	177	23	35
4	2	5	770	16	9	814	346	18	372
