1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
3	1	4	92	16	453	32	144	17	118
115	141	7	1	15	20	77	9	112	84
4	2	3	22	87	184	48	9	757	36
7	17	4	1	8	16	13	381	69	33
2	10	8	2	136	59	193	279	26	10
1	7	7	4	318	155	11	485	4	43
92	356	9	1	1	11	14	22	9	130
4	6	4	4	110	1	111	14	6	15
2	3	11	121	12	63	19	36	17	401
1	5	32	4	52	11	83	19	21	46
4	6	5	34	7	37	33	146	77	37
9	14	2	221	33	453	26	272	397	49
2	4	13	6	7	628	1	719	35	24
17	2	4	6	35	29	158	234	25	117
2	71	3	9	8	136	99	388	18	5
1	42	62	172	5	92	71	23	18	28
1	1	8	8	14	266	1	20	24	65
1	8	2	3	7	42	172	62	47	27
2	6	5	10	57	18	14	11	53	73
2	6	3	2	4	21	23	53	5	7
1	2	17	15	57	327	90	19	8	130
1	3	28	13	59	32	82	26	165	97
2	2	4	7	107	8	9	12	187	32
11	3	52	30	8	8	20	61	481	20
14	4	20	574	6	15	1113	118	842	378
275	3	9	10	63	572	21	235	72	37
4	29	204	5	739	20	17	63	70	124
12	28	33	2	22	178	34	15	272	80
1	1	14	708	42	126	21	174	55	64
1	6	31	32	43	7	34	20	9361	17
2	3	6	74	12	9	736	30	14	80
46	4	7	48	8	4	76	9	20	65
1	4	63	5	18	5	14	36	4770	22
3	232	13	23	41	104	19	412	9	20
5	2	181	263	49	86	33	837	1006	16
1	2	6	17	9	84	4	219	84	11
1	3	329	13	14	69	389	926	163	36
1	16	8	24	4	49	25	1	11	13
1	2	10	4	27	18	11	77	48	131
1	6	9	12	6	11	902	486	266	275
2	3	67	400	1	80	15	13	37	40
1	5	144	519	69	7	23	114	41	182
1	55	14	34	248	11	15	6	95	34
1	4	82	6	49	334	4	182	240	30
1	2	6	70	818	221	101	15	14	27
88	4	141	44	5	19	24	27	111	22
1	11	41	5	2	6	14	12	45	313
21	10	61	4	28	8	8	32	119	8
11	55	5	17	4	11	7	136	168	158
2	8	4	44	2	20	60	23	23	8
10	2	24	91	108	7	237	5	9	56
2	9	30	18	14	217	290	16	37	163
63	3	151	6	11	25	18	240	37	108
9	198	165	5	533	1	16	181	248	14
2	173	6	27	6	7	12	24	9	232
23	8	6	13	266	76	31	17	21	222
1	244	24	342	14	12	15	19	12	17
132	5	11	189	10	371	13	37	391	842
22	1	11	30	32	13	13	104	105	179
4	16	6	124	19	91	253	22	24	3
80	3	6	70	28	18	182	71	73	5
13	14	9	890	5	58	8	40	242	51
8	1	2	9	7	287	14	13	25	237
3	187	89	11	76	3	117	72	275	49
1	1	2	8	938	35	10	4	9	137
1	27	35	12	5	23	607	25	226	14
1	15	5	735	91	72	22	75	14	278
60	2	4	46	100	58	88	228	24	519
74	9	15	406	134	3	67	6	19	32
1	13	6	6	9	43	9	7	103	17
9	56	127	12	154	9	15	7	16	24
2	24	7	168	1559	8	11	9	76	418
1	9	147	52	688	523	21	14	90	25
36	156	304	118	57	185	3	14	46	6
1	10	4	1	94	48	368	79	42	47
81	16	155	7	6	23	30	11	68	60
1	216	11	167	115	8	23	1205	30	68
1	49	36	8	54	11	22	9	69	99
3	5	4	617	181	198	96	38	99	32
1	6	5	206	8	10	14	18	38	96
5	29	1	914	10	3	34	9	320	16
1	3	124	471	5	47	5	18	4	536
155	4	147	54	69	14	25	667	178	1236
246	48	1	84	30	10	22	12	34	54
50	3	300	90	317	21	13	747	109	9
84	10	10	2	115	5	110	18	131	162
31	3	494	206	2	9	385	54	15	21
