0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
1824	2113	1508	5533	7410	6357	7073	12742	11072	9285
2408	1644	1873	1770	8185	2350	6704	3341	4927	13573
2443	3033	7135	16207	8159	6550	6190	10714	12422	10844
1033	1588	3477	3778	5313	2829	9083	4342	9558	6581
848	3654	1746	4904	5692	3123	10233	5177	8752	12000
1724	830	2388	2217	6822	3377	7420	3813	9775	5221
536	2096	3940	12034	6293	4624	5306	11355	9464	5975
1175	2496	1452	1092	3856	6921	8554	7515	14956	12805
1753	3329	5692	3654	4156	6420	8584	6557	5872	4233
3154	1331	1314	3718	3661	4811	5533	7898	12124	10550
1423	1232	3647	3734	5472	5864	6279	6906	7443	9672
574	2667	3453	5838	13147	4830	26645	3460	16340	22366
3059	2134	2627	4466	3705	26486	9683	3754	9295	4544
3581	6061	3417	4662	5235	7060	3849	9622	5033	4641
1523	324	3962	947	7316	8177	3288	8485	4762	7653
1518	2626	2835	4259	3385	8876	7169	8630	15684	8516
2276	3867	4456	3618	6228	8074	4274	8205	11109	9440
2592	2251	3206	6474	3640	8129	12717	9537	10556	11850
620	3376	6703	3782	6414	2597	8214	9640	9814	13103
1082	2678	3094	3274	2147	5163	8865	6682	4474	11012
1783	1512	3189	4218	1941	5650	4416	5708	10042	10550
992	2038	1458	14319	2719	9796	2674	7034	8808	25133
1582	2908	4183	5757	4871	4295	6460	8220	20010	7358
1656	4191	1750	3498	6429	5360	9566	19704	9665	14254
2221	1848	3006	3434	2819	5193	18477	6292	4165	6106
1396	2145	4365	1866	7492	3402	8044	8230	11043	7787
1041	8253	675	4485	2598	7817	2668	3708	6750	10698
636	4803	5315	12502	6120	6802	4118	4714	12798	7243
1945	2475	2334	2709	4585	2746	4527	9637	7776	10208
1387	1628	3429	1248	6809	2406	4284	9988	11918	7557
636	1397	4146	4291	3639	10450	4309	10372	6707	5717
1664	2397	16119	3143	6707	5510	6581	3398	11325	7794
1515	1590	2468	3659	4032	8236	6536	7900	5066	6840
1129	921	1893	4746	5888	3953	4813	8373	3396	9226
1423	1387	3262	5925	12939	3426	2941	10198	9915	5253
2752	2508	3933	4215	4172	2198	10610	4086	8994	9174
707	2029	3986	4678	9784	5787	3079	11083	8917	12021
3262	2443	4522	5686	4599	11716	5842	9187	20684	14214
1949	2735	2165	7444	3163	5021	7991	7506	6930	3564
912	2393	2200	3097	5473	2628	7776	4918	7174	6979
2819	2181	1177	4995	14318	5962	5099	12506	5955	8531
1866	1839	2860	6580	8333	4403	7279	6247	13547	12393
1573	2549	5481	6027	9896	4138	17697	3330	4720	8624
697	1411	2192	5253	5744	3843	5960	11047	7883	4368
2443	2782	4251	9283	8096	2819	6514	8480	9403	10354
1074	3725	973	2123	4974	5832	4672	6808	8373	10237
2011	2231	4610	5124	9797	27127	7567	8121	5042	7930
1566	3233	5198	2648	6508	9148	6643	8359	17208	5739
355	3002	1587	5907	4287	12612	4384	11148	8627	8357
962	3767	4525	4224	5265	5065	3271	6699	11781	11745
3044	1597	1365	6685	6562	6130	13839	8289	5382	7076
515	1773	5776	4000	6006	5697	7363	5317	7323	16128
2295	2705	2084	5191	7114	5123	5969	8858	10653	15908
1128	3860	1442	5120	2640	6936	5243	4468	9900	8006
1034	754	1838	2402	5600	2793	3825	4099	6312	11391
1402	3598	2168	2872	8777	4756	4884	2538	7287	10784
1198	2599	2398	4504	4380	6742	9196	8518	10854	5065
362	9093	5033	6156	5509	5811	4773	6974	8387	10976
848	2103	5062	3831	3254	21073	2362	6835	12976	9998
2026	3539	3156	5103	6095	4584	8512	5735	10262	6874
1472	4520	1392	3881	5309	5461	6648	7193	12550	14863
851	3160	2798	3383	854	6271	2837	12550	22942	10227
1977	1784	6168	3991	6585	3083	10023	11029	8282	4136
2177	8859	7091	1595	6929	3279	6998	5959	7334	9864
720	1618	1641	3640	3442	6507	5191	12121	4004	8131
1353	654	2397	3881	7836	6311	10840	9047	19584	12547
1265	2503	5205	5038	11234	6204	4807	3712	10779	10001
815	3568	3989	2676	6609	7842	3544	12720	8187	8331
1915	2135	4045	6689	2858	7290	17201	10020	10417	9029
1815	1469	1158	1910	4904	4550	7242	9053	4549	5810
320	1241	3343	9081	4828	9333	9200	6484	7367	5958
3379	2594	3057	3243	6386	8940	12088	8056	7939	18848
633	798	2730	1867	7051	6949	4439	7608	8454	13333
1164	1603	2855	2087	6537	5927	3175	6170	23854	4683
1638	2203	4928	1332	2964	7780	9592	22094	8265	8498
1964	2628	3552	3705	5861	5361	8492	6592	3797	7352
804	2891	4712	2855	2967	6946	7872	7861	6714	6565
1348	2431	3448	3379	4228	2614	10827	4389	3431	10411
1125	3332	3281	3511	6868	9809	11066	8683	12877	3586
709	2402	4262	5851	6176	2470	9865	6000	7613	9971
1915	2175	3240	7454	3762	10045	13918	4230	10092	4452
2745	2500	2680	4525	11626	6876	5511	6878	9935	5856
2713	1505	5043	9460	4907	12444	10491	3874	4547	4296
947	1308	6710	3620	4890	15993	8709	5952	12414	17513
2660	1633	4176	5111	9268	8683	8315	3173	5398	12514
2251	2677	1132	5524	2630	8047	4547	2247	4041	9467
1858	3444	3302	2493	5243	3830	4588	8562	6241	13998
1242	1996	1551	2723	2561	3482	7691	7653	5350	18151
1110	981	1867	1486	5319	3688	10652	6706	7646	6400
1038	5810	4935	15885	7021	5400	3336	8203	9317	16458
1361	2550	3956	922	2575	7207	5928	7073	11222	9083
3788	1256	826	3053	5234	5828	3957	4529	4070	12061
1754	1764	3140	2450	5108	3498	5547	12194	7052	12968
1566	2887	2339	6144	4761	2742	7261	3806	10777	11762
1443	1588	639	4533	3397	2909	10410	6390	7297	23707
843	3790	5168	3810	5285	2558	5324	10559	6389	16083
2126	2715	2929	4265	4353	19651	2954	24300	12367	4059
1240	1260	1122	11781	15019	4189	2827	8226	9557	12564
1230	2692	3812	201	10621	2773	5745	8088	22401	8149
726	2418	2371	3704	5956	2819	3006	100	7747	7504
1326	1285	4979	1358	3884	3157	5816	2982	8815	9717
2108	993	2245	3976	14569	9199	5533	3336	11820	11542
2759	2574	1808	8635	2278	4416	4348	5454	9665	7171
2473	2635	1947	2686	2711	12054	7673	11030	8133	10987
747	4728	3290	3470	5623	7384	4625	6283	8621	6025
1543	4803	4854	4498	3433	4066	5436	7321	5523	10145
539	1955	6580	2114	4659	13673	7069	9174	5414	5797
2191	1289	6305	3911	5770	13916	7231	5945	10743	6031
928	1469	4226	4453	8152	2194	3933	12233	14111	6904
1025	8519	2360	2068	6207	15659	10460	11379	9840	7976
1572	2177	2104	4210	5857	2919	17306	32169	11192	12880
848	4127	2599	7576	2314	7762	2336	304	3610	13520
625	672	1985	4545	2222	7254	3927	29397	6274	6826
1013	2393	3298	3203	4958	2584	5794	10181	13432	12464
829	1930	12009	2220	4236	20760	6049	3973	10912	8119
1700	837	3762	3103	6809	17328	8062	12033	13043	14843
2424	2679	5410	4094	2968	7424	6754	10649	5028	4839
1221	1748	1448	5847	6295	6026	4766	6501	8688	11311
1778	2806	5325	4671	4305	5740	7709	3485	8242	8817
1772	0	3269	6333	6888	2747	6293	6290	6897	6128
2189	2344	3629	4755	6888	5813	6090	4918	7946	10754
1529	1033	1247	6188	5757	6871	11898	9658	9801	17133
426	891	3410	4969	4581	6026	7313	8276	5890	7300
1707	2380	2433	3618	4617	6327	2903	7989	5638	13549
1879	2184	4099	6220	4811	5613	6662	3117	11330	9772
1897	4794	2672	4484	6317	8218	6811	15217	8843	4112
2053	6573	1771	2796	4925	10153	4049	10303	3710	5032
1454	4326	5749	3046	7758	7239	5347	4608	3623	9755
6615	3518	2601	4768	4808	4623	9702	3712	7156	7045
2665	2247	4961	8640	5440	4875	18658	8854	14359	6847
717	1602	3351	3499	7135	4765	5117	12360	9983	8446
939	2776	1399	5428	4288	4087	5242	9418	13252	12162
1732	1897	3273	9712	6879	4451	8132	11953	5063	12401
1738	2261	8848	4251	1731	8973	3660	25419	4859	13752
1459	1870	6422	3524	4265	5747	7272	5627	12535	15137
535	1443	3843	4196	2538	4270	3269	9563	12267	15402
1464	3861	5247	5181	7076	5357	7194	8935	8873	11439
1231	5900	6134	5824	2745	7121	7570	5044	8254	5370
2243	6963	2754	6499	5643	1234	5257	15419	8441	7245
1818	2410	1864	2815	5717	2850	5764	3914	10397	6956
625	2325	2922	4396	4542	3448	3028	7709	12445	4837
1289	2572	6278	3332	5223	7675	7149	4781	13465	25710
2282	1648	3773	7929	5438	412	4618	9944	13758	4286
1518	2625	3175	4958	4347	12453	4920	4060	7631	11169
2730	3395	4076	2599	4721	6332	2591	9065	7304	8482
1445	3857	3704	2856	4450	6260	5217	5562	6838	10606
768	4298	5655	3720	2468	7129	7449	4958	4628	11875
430	1376	2220	217	5494	5623	2943	8387	4007	10189
626	2865	3421	6601	2564	2150	3190	4798	7990	8987
2174	3250	6786	4285	4509	2032	8509	10303	10082	14586
1364	1050	2437	4710	7345	2997	4788	5758	10469	10241
737	2040	3270	10843	8437	4917	9097	8464	11557	7378
2324	2218	3215	2853	13675	18168	6889	15790	9699	7148
1838	1885	10289	4174	6239	5599	5526	4081	3648	9531
1095	1872	2631	4966	3155	4191	4755	7323	7904	6543
2568	3259	6408	5355	5555	5567	7190	9355	3702	7191
1364	1385	4723	6219	3365	10682	4338	6945	7404	9969
1605	1451	4905	1829	4177	7163	3645	3891	15506	12526
901	1630	3996	5259	4397	7038	5931	7453	3864	4304
1042	2382	1135	7271	6808	4380	12995	2957	14126	8262
943	2115	3393	6692	2923	1557	6709	8816	7329	9604
4194	3516	4843	5886	3656	6854	6308	21870	5819	11227
2124	2888	4889	10948	6335	2625	4413	6110	13971	14949
2855	2131	3870	2890	5279	2803	1357	7339	10126	8295
451	3538	3295	3113	7144	7042	3409	5895	3761	9039
1514	932	3074	2944	6894	7625	20544	11550	3634	8965
891	3288	3648	3813	6271	4654	6624	10550	10512	10404
1234	1485	3042	4902	7210	5767	10381	9449	7557	15556
329	3849	1662	5612	2422	5335	7722	9068	9374	7167
1419	1170	2909	1558	2337	7375	4602	21638	8727	8717
1481	3460	5876	4188	8819	6182	7369	7718	11416	9348
2849	2533	2820	6122	4942	12762	7071	8907	7427	4386
1078	7630	3858	4490	5202	3089	6615	3440	6499	9223
2146	1941	2965	5410	4559	5488	6726	5557	6972	5924
917	8447	1563	3532	5322	6051	4514	5634	4223	14850
2425	2820	4444	3490	6306	8547	8253	6888	10662	4812
1298	2380	1627	4361	7650	3602	4244	9186	7944	8784
5306	1742	1864	5727	2385	7088	6579	6099	3797	15637
1533	1731	4243	3426	6501	2412	5797	7596	8357	9691
1657	1807	2391	3302	7049	9924	5426	8009	8771	4269
965	2912	2810	3646	3954	3881	3677	7135	9077	13805
1544	1489	10601	1382	10187	5342	5995	9331	6056	6868
1180	7880	5487	2615	4611	7405	9791	4359	5515	5183
2417	3907	2641	4880	4263	4781	5387	5312	3768	5689
1452	3853	5739	1777	2172	7261	4974	10127	9234	7745
792	4952	4788	9988	5630	8333	9929	4199	6952	20722
607	2944	2888	4141	10490	8573	2249	12246	3659	9480
1276	3676	1706	5144	2870	6539	3996	5183	523	5493
1255	3314	2409	2063	5579	2597	6023	3821	13065	4484
1814	2677	2877	1983	9223	3660	13001	4542	12339	6757
2381	2340	2995	3897	3587	7352	6196	7179	7717	10274
1002	3103	6247	6415	4973	2921	5421	14000	7496	13476
1889	4670	3645	2587	6653	5972	19557	9678	17232	11108
1275	2073	2012	2146	5249	4997	7888	8580	16802	5587
547	1988	2549	7016	4260	10578	3460	4520	10036	11690
1692	5040	3888	3426	11871	5040	4347	6682	4994	5937
1166	1145	4577	1884	7762	5972	5569	10023	9205	13846
2912	2569	7467	2696	5850	6178	5224	6274	4347	6452
1542	2440	2645	4647	5318	5589	3399	11474	10318	3643
2333	2622	3057	1650	3432	3886	8298	5708	7881	11492
1586	3456	4015	5758	4391	9535	3183	20934	3381	9492
902	1863	4039	100	4316	5275	6867	6886	14766	14091
1263	766	3040	5866	4920	7419	3341	5866	7962	9140
212	3084	6720	4674	6540	5587	5956	6769	9860	28366
3168	1615	2479	4291	3476	5386	6720	4491	4210	8663
1514	3530	2819	4236	5749	7501	6212	5978	4881	12530
1853	1818	2027	6465	19624	5768	2044	9867	5472	7722
1314	2625	4526	3868	12812	3510	24622	10716	5654	5443
2261	2343	6633	3238	2057	3910	4290	7969	8446	3291
1339	533	3561	16728	5664	10866	3121	8087	9679	13902
1713	1719	4621	1707	6168	11545	8588	5399	5850	8499
2353	1954	5136	938	3644	6159	6570	1693	24648	6530
7222	3744	4100	6693	2277	5768	6747	12164	9984	11881
1053	3888	2785	3260	3754	5968	10586	11128	11555	7846
1661	1679	3793	4057	3385	5441	3013	6407	12848	5897
1262	1870	2581	3886	6683	6292	11544	6563	12139	12032
1495	3646	5765	7737	5783	2691	3511	6106	3387	6825
726	2652	4308	2823	2872	3718	8188	3234	11932	1694
1158	3659	3424	3226	3719	2379	5281	11468	7600	6849
1360	1712	2740	3318	2185	4759	6444	8903	5064	8831
2505	2784	3151	2130	5157	10693	4254	12199	9551	10142
1850	3355	3583	5396	7124	3888	6494	5715	3767	6613
2116	7709	4339	6438	2440	7922	8505	5291	7849	5959
3021	1486	3846	4740	4097	3066	5479	4239	4326	10007
670	6325	3729	4508	4912	4113	3551	14806	7343	7655
1372	1064	1816	3419	4178	4678	6512	8528	7301	7370
2310	4715	3540	4571	4182	3888	10650	3457	10046	4062
1614	3013	2217	1090	4555	1999	8291	5322	8387	4708
410	2770	2880	7096	6239	3314	4194	5152	7501	12162
2151	1382	3384	2308	5498	4171	1226	3811	8189	10023
1857	3133	4495	2943	3992	7468	6876	4564	6768	4835
1170	3683	11706	1864	5245	5517	7616	14310	9009	4533
1359	1441	3075	3362	5150	5680	11509	7193	6870	4769
964	6074	3622	4287	3443	2131	5999	7300	26830	8369
2061	1694	2593	2895	4506	4369	5848	6255	5117	14843
2321	3661	3640	4403	5232	8124	4857	7739	9584	5290
2518	1880	2184	2455	9644	4163	2987	6462	4740	8332
591	781	3440	3494	3238	7585	7875	8919	6011	11644
2084	1416	3814	3971	2816	1968	5510	12686	3443	7726
1909	1958	3642	4617	6058	8163	6930	11041	8019	12238
568	3387	3669	4390	6504	5273	4956	8503	8491	5298
1679	2693	5328	3767	7064	2703	5919	9425	11151	6347
1929	1355	3442	4167	3602	2357	7673	4704	12276	10166
1155	2254	2516	4751	4381	6022	7093	5492	7695	18158
1641	5115	11994	3782	4560	3419	8035	7558	3069	6660
1944	2284	2582	2608	3201	4618	5751	7795	6984	5270
933	1587	4160	7493	3529	3003	3192	12035	4665	3881
3911	8102	4239	3666	3395	5193	3525	9031	9624	14472
745	1662	2158	5020	3498	5693	5602	6124	19032	7937
749	4006	5484	3729	5954	5811	10440	7977	11135	5690
986	1660	3637	2122	5184	8676	4443	12149	8299	9892
5236	1960	3582	2710	2024	5576	4782	7613	7156	6544
1565	2166	1685	4951	8630	6921	8142	5911	9737	11418
753	2214	4325	3975	5584	4122	8603	16503	3537	11558
1684	1269	3237	3392	4746	3801	5748	5394	6670	7505
416	1676	3465	1545	5506	1920	21143	6271	8888	3671
1853	2824	1792	3384	3301	6874	6858	6374	10285	10909
1104	4077	3059	3384	4942	5234	4350	9291	4001	4687
797	2376	3505	2898	6962	4151	7164	9938	7528	8592
1154	1196	3226	2846	2299	4773	7481	8839	12140	7644
1360	2540	1425	4633	17966	7870	6804	8638	5078	10289
2669	2382	4934	5041	5105	4399	16066	3361	5480	4143
591	1891	8705	4671	3053	7482	7258	5678	7241	7203
558	5589	3816	2627	2291	2196	6399	3241	4210	8817
797	2024	4304	5151	5378	5493	9126	10556	9297	8301
2372	3022	1348	6090	3864	9066	9497	9925	6162	4195
1075	2027	2149	6181	5641	18020	13342	5319	12620	5417
2685	4338	3198	5636	7438	5375	10182	6669	4049	8664
947	4047	6587	3773	16700	6220	5409	7377	5546	8294
894	7223	3399	8515	4472	5501	5606	9408	6016	5168
716	2718	3276	3165	5585	2196	3268	4787	10647	7226
1639	2593	1610	2724	3403	5742	6525	3865	9177	8307
1665	4412	1341	6346	7564	25802	3908	12531	4219	9528
2295	3006	1015	4582	9949	3575	20760	3646	3202	3858
846	1812	1955	4518	4289	6895	8762	3927	8624	5707
3743	1065	7353	4734	5663	7096	32891	16805	7304	8350
1634	2334	3755	5557	2979	7760	4795	5806	7309	16468
1154	4178	3619	3856	4706	5562	6139	8186	5136	14839
1224	4712	636	3834	4109	4644	4982	21168	7737	12933
2625	3057	4493	2975	4216	5246	2804	5905	20786	6523
1120	2016	2477	16712	6307	3242	6083	12658	7131	14700
1980	3157	3931	4454	5053	5558	4682	8080	10265	13663
3074	3585	5101	2035	5576	5506	4258	3474	12872	8595
1248	2887	2939	1922	3476	4315	7669	6482	6944	6556
1924	3718	2178	4255	3347	7313	6983	10093	9510	8171
1327	2555	5080	5340	4225	9839	3563	3392	5506	3738
827	1277	3377	6994	5509	5025	2768	6050	10163	11791
2188	2390	2990	2690	1643	5213	7425	6211	7895	14511
