0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
358	801	2776	2445	2891	2265	11764	4800	3220	9490
947	2507	2576	1930	2584	2226	4631	4447	4403	3603
148	729	672	1650	3314	2274	3880	2064	4843	5155
670	1349	3199	3435	3224	5180	5746	4823	2479	7125
1787	457	3059	7486	3422	4677	152	2482	12511	2484
1007	1456	2436	2693	2620	4882	5914	8550	8633	17154
337	2658	1201	1571	4604	3249	11418	5280	6965	3027
1275	686	2956	2243	2018	3726	2318	4209	11071	29250
30	1250	1446	552	4982	4958	2565	4098	4461	7029
502	43	6728	1926	3940	9524	5964	5926	6408	9290
192	1782	1257	4613	1508	622	5686	3059	21599	9650
252	1	821	2859	2235	5023	1058	3617	5101	8811
35	421	1968	1145	1126	15249	4053	4786	5366	8098
3033	831	797	2851	3140	6961	6387	5091	3120	10695
1603	1738	3942	4726	3684	7622	8052	4842	5702	25727
519	1211	2582	2193	2612	1287	4110	5802	9853	9942
415	458	599	1840	9009	1092	10179	3862	8318	2380
674	485	1732	3352	6178	3520	954	5892	3467	5299
11	3470	854	3597	1687	3344	8733	7173	3857	5659
483	2023	2018	2370	3576	3386	3380	4059	5931	3042
610	967	1748	1925	2691	2512	1008	6016	8855	2792
1588	437	1911	4164	2970	2097	2743	9636	5551	6296
730	1592	2735	7839	3152	861	5048	3411	1154	3046
124	1184	1288	1384	5013	1120	4219	7290	6471	5414
1383	1068	3586	1654	2836	1839	1874	8010	5856	5734
448	1157	2337	2997	1743	2614	4258	2721	4450	6348
888	596	3093	2887	2198	6478	13255	1898	2364	1951
569	872	4319	6948	3546	2529	2837	2520	3534	10124
539	1518	6710	1427	4400	3993	5900	4734	6514	7878
409	1557	2330	1313	3964	2412	4848	3214	6981	2153
12	847	1545	4198	4222	2880	2272	8497	10734	5418
612	618	2495	1682	423	5050	5529	2375	4684	6752
90	2221	2069	1423	2834	6202	5291	3391	8603	10691
352	28	1933	1636	4143	4212	4714	2224	3649	11732
651	270	896	2071	2708	4196	3333	5128	7606	9658
423	635	1832	3651	2479	6467	3337	6815	3181	3272
410	2411	1291	1854	2111	2507	5125	5798	4450	8923
634	901	1655	3503	4729	1801	9433	9041	4846	18404
900	1970	1006	4130	4111	12322	3121	3665	4700	8391
591	897	2190	3723	5376	4447	4665	6394	2402	6351
514	4225	2593	4000	3446	4090	4225	5043	6595	6557
659	1144	2198	2749	2063	1167	2798	2045	6432	3958
457	587	1785	1745	5098	2712	1904	4742	4617	9436
2757	509	3523	12838	7689	1383	3638	5339	4410	5637
1001	2231	1113	418	1207	3993	3280	3523	10229	4777
1133	459	2677	2107	905	3297	2089	9056	10375	6234
1254	1478	1480	2834	8384	1183	6566	5789	5783	1710
156	912	1402	1772	1258	3249	5869	3635	7444	10494
302	1418	1500	2400	8205	1408	2281	6935	4541	3673
562	233	9339	3724	2693	1678	3566	1906	2885	8526
4103	1495	1010	4361	3257	523	6710	6005	4527	6889
1228	617	3094	1970	1665	5783	782	6967	9179	17334
580	2279	1490	937	3730	3752	3032	2544	5782	9751
165	1183	3030	1095	4078	7214	13281	13911	5923	5785
155	1505	1320	967	2942	2933	2301	5290	3378	5310
263	1422	812	2921	3289	605	7300	2401	6412	6374
261	1049	2157	1938	3572	2360	2162	1828	9271	9729
60	6553	1780	1148	991	1902	3291	3765	4262	3514
1660	259	5384	5573	2906	2521	3773	6286	5827	3789
1829	1519	1142	4915	1468	1755	3493	3407	6054	3621
1174	643	723	2640	1665	2877	5112	4929	8658	4752
62	592	181	4936	3952	2036	5437	9972	4147	5080
643	1591	963	1079	3214	2982	5860	7556	7839	23172
10	1812	1882	3697	4092	3561	1026	4065	8177	4456
52	591	4720	2025	2532	3157	5950	8370	18805	8332
1284	1836	1405	1573	3791	7031	6856	2797	7429	7826
484	3210	1168	1717	2305	8737	4243	12944	3342	2799
657	636	258	4610	15253	4865	3960	9990	8430	5335
