0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
6	167	13	253	5	418	416	126	444	713
248	573	305	15	125	47	64	1084	598	749
160	365	742	51	89	858	1326	45	4	266
4	396	51	18	108	483	1085	276	68	934
13	246	106	2	235	9	601	528	450	482
7	100	24	491	837	1544	466	672	253	1724
161	510	566	538	247	1185	572	315	377	439
1	2	18	192	994	155	939	412	1375	877
9	30	864	222	301	1659	4	72	592	550
142	27	2	475	104	104	1135	93	482	444
0	30	93	184	460	68	606	1476	883	176
117	4	39	2	1146	161	128	286	834	503
0	4	3	683	752	1280	10	558	598	7
327	1	0	275	36	1112	53	544	800	771
13	239	14	55	112	1386	70	2301	521	517
82	588	255	215	857	3	342	887	175	246
1	268	151	83	38	322	535	674	728	1135
136	74	298	624	593	1372	19	352	493	456
0	655	3	46	912	262	50	979	1503	85
262	1	676	516	569	552	451	889	537	68
13	21	0	1	270	1305	62	1072	7	785
59	384	383	502	517	10	152	215	445	848
223	47	133	24	415	4	32	66	1308	529
15	10	170	48	779	217	41	473	440	140
0	596	287	194	837	383	979	231	9	87
2	99	386	30	7	285	804	522	395	1630
118	22	588	5	22	412	151	357	879	4183
428	1	632	161	671	503	1378	357	276	638
1	49	313	16	62	8	421	837	349	230
632	30	48	72	39	413	368	2025	692	981
2	15	79	3	612	22	908	477	3432	819
510	10	94	2	51	878	49	259	2436	737
8	2109	553	458	552	447	29	653	1291	2152
139	225	106	406	446	197	440	710	62	48
101	243	150	251	4	6	313	380	789	1800
19	648	566	588	517	309	273	54	453	457
526	323	80	86	150	540	134	412	33	537
238	88	1170	403	3	836	114	572	544	1056
102	47	124	57	578	322	1184	30	40	73
0	861	28	975	375	326	1139	665	1444	617
73	28	760	535	107	42	148	1147	967	2460
1	275	355	128	466	796	370	175	4	100
0	394	444	2253	666	820	700	548	296	842
137	363	172	281	1	570	1512	104	1108	738
110	233	302	4	101	512	2753	1131	18	440
3	23	37	180	89	415	514	1228	667	1059
44	34	448	573	419	406	696	1468	106	1038
12	6	139	434	330	36	451	81	131	8
18	142	609	359	262	400	277	383	1046	374
102	165	11	0	177	213	785	487	260	4
187	3	334	452	734	412	143	137	20	304
0	88	121	14	357	499	668	548	792	683
115	13	10	118	139	271	445	420	1157	586
4	215	17	117	306	1431	217	1422	573	452
0	81	10	742	360	183	646	702	878	200
751	35	573	1340	308	74	379	497	82	484
1	2	41	514	71	303	8	1017	2894	4474
1	11	295	38	279	31	1073	522	337	951
21	381	24	28	764	699	304	6	871	1317
4	34	9	617	892	684	359	1925	777	1175
112	75	804	651	503	447	289	522	479	5532
30	210	24	46	256	91	53	325	1149	1116
2	265	2	542	577	12	112	10	249	44
203	188	1046	12	3	4	426	835	847	253
0	678	575	173	607	530	125	569	1961	312
2	100	41	202	1295	811	284	182	1817	2054
12	298	84	5	207	6	482	0	184	527
7	10	255	818	251	267	500	348	288	298
232	2	42	617	477	406	1780	1740	83	1172
7	1	540	231	30	37	412	29	1048	1038
7	2	124	490	2129	374	755	211	534	433
5	54	30	22	1065	8	699	363	267	4074
7	11	22	539	132	492	751	704	458	43
1	128	39	40	401	383	16	777	107	360
5	474	519	464	11	790	428	305	1712	685
45	117	1251	28	506	296	166	878	121	729
9	192	3	40	130	114	3899	32	221	174
256	737	152	387	685	845	318	301	695	710
10	4	222	468	47	504	502	3698	294	949
9	505	4	610	49	18	1287	1245	142	26
96	14	435	395	1016	3	395	1170	113	847
172	85	18	496	264	206	478	17	533	516
151	346	224	805	60	239	5	652	928	4313
96	288	1395	874	338	15	900	159	891	1584
4	255	79	285	190	953	1462	187	642	1810
0	138	130	459	42	375	977	1430	669	2451
2	8	127	8	2405	50	56	718	579	870
24	258	2	453	880	227	833	1472	1082	122
236	422	20	758	262	27	72	829	344	1644
156	164	1	455	37	495	356	1050	395	103
1005	20	533	1	831	396	621	742	15	302
13	36	2	433	132	185	98	2208	144	1060
3	327	0	48	22	730	683	344	3	3204
2	364	64	57	430	950	30	18	921	760
6	405	221	129	13	293	6	1347	860	232
369	57	735	620	906	82	1538	301	4	130
2	181	139	1	667	275	168	529	345	750
0	424	135	158	218	776	1105	43	689	572
41	67	36	168	1902	1052	892	51	788	915
