0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
210	340	753	614	1141	1720	952	983	378	1380
78	253	1433	1145	1320	919	661	1823	1132	942
256	1739	792	1013	624	1269	420	1182	1460	1109
570	464	443	343	798	1788	554	552	1409	1357
405	719	976	863	763	952	1770	1619	2323	3180
223	486	698	1099	1003	775	1106	1645	2087	1414
609	266	944	863	367	2711	1217	1052	868	1246
516	264	668	606	1898	648	1652	1741	1318	1247
183	588	983	1338	630	3278	1246	1746	928	1227
197	250	77	1417	325	1299	737	1507	674	857
322	368	1757	730	562	437	2147	1027	1560	1291
1011	703	964	345	825	1589	686	2749	973	1546
250	398	453	177	969	1601	1599	1076	702	1679
230	260	803	813	788	737	484	786	999	1506
306	690	938	828	911	1230	1321	871	1427	1462
557	1023	801	810	531	772	757	1320	1948	1105
323	268	372	670	998	1030	1452	300	898	702
243	103	674	917	1193	874	921	1356	1487	458
293	214	805	325	1213	1348	746	917	1268	789
78	350	787	166	617	1364	1227	564	1821	1460
431	78	165	1554	616	928	799	878	708	1481
155	631	918	569	989	157	1694	782	1381	708
0	341	989	432	744	387	555	603	1483	1879
485	1010	1012	1007	1046	1578	467	2513	244	1608
492	547	1309	1157	1365	243	888	3340	548	1427
165	311	1247	1136	2616	753	494	467	324	814
364	1126	287	395	1072	609	1927	771	610	4816
312	419	515	722	318	1364	3178	550	953	1586
542	261	424	1488	389	982	1311	539	1824	3418
1199	572	480	464	705	1622	1597	947	996	575
76	868	924	599	1033	1781	608	523	1433	1497
181	340	486	1260	789	578	1002	1030	295	1758
390	405	667	1661	890	1152	924	1174	2212	1579
664	159	680	443	621	1597	551	851	603	1346
282	490	707	578	633	1144	1591	312	1294	626
237	966	228	737	243	1345	1422	1498	1309	2254
403	438	2063	956	763	762	1402	863	2745	1072
76	551	551	974	813	744	1291	623	1613	1274
258	811	161	809	737	1096	479	844	1011	1090
235	802	495	907	1189	1327	738	1156	2260	1108
0	416	791	611	1701	319	925	2311	1194	1091
354	452	470	1028	1773	832	1820	1965	381	1984
533	77	494	1938	2244	1813	233	1022	1407	2032
116	877	309	235	608	527	441	1915	578	2984
82	820	163	430	2677	745	1315	5475	2011	1075
300	509	173	1569	605	683	1021	1099	1320	1323
405	512	1329	671	1542	3018	772	1540	1025	1015
339	1040	499	75	1198	1343	1473	752	1100	772
512	599	527	577	1112	583	946	1001	1204	2522
164	353	592	641	236	3670	625	622	452	1668
233	1156	1542	589	362	1100	1039	2606	1620	1057
384	866	77	1458	1426	883	650	643	1247	2312
115	372	0	1535	411	763	1113	731	5058	1218
268	164	1492	405	976	976	762	1387	3019	1380
188	317	1705	271	456	1176	1959	702	2183	808
425	989	741	862	1147	236	1195	579	918	1406
360	1161	651	1350	983	467	1931	679	306	3581
430	219	471	1666	959	804	1336	1291	1104	1632
1729	335	310	793	283	939	875	319	1030	1059
487	520	392	498	1123	957	1842	2681	863	2712
162	722	579	410	641	1623	1397	1123	523	1292
562	233	306	249	316	879	165	864	1355	1268
729	190	399	1223	747	1623	1201	2917	1498	880
1036	432	512	1375	961	844	467	663	1184	903
413	490	222	214	750	1112	895	791	347	1454
328	705	759	1742	554	247	1531	739	1805	1797
165	549	391	0	1896	433	1373	1684	789	1231
285	701	307	782	750	1046	1437	1542	1512	952
79	942	798	625	1098	980	1051	1912	1704	2272
244	525	1383	1146	1118	679	328	695	666	1296
639	634	1133	3009	1425	1001	313	1053	1827	726
223	930	934	446	1652	712	387	2069	1023	1439
