0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
124	276	834	648	444	398	496	1551	1183	1103
107	563	404	556	378	495	1355	870	1871	2959
930	235	498	187	432	460	1488	0	1867	398
422	977	474	198	1491	351	1080	1192	702	1138
0	308	196	3005	302	442	217	1765	1509	1923
473	283	1025	262	763	282	113	1326	1223	2265
277	288	390	433	1016	418	3007	454	651	537
253	272	57	672	501	1634	224	199	1105	441
270	232	191	803	2082	548	923	1009	1354	1469
211	199	2219	1203	2658	557	449	879	748	741
700	225	871	963	916	1021	4430	802	644	1033
329	401	907	240	1166	1562	1298	1073	1051	2220
57	434	179	472	536	906	622	113	1366	469
0	549	431	873	1785	1279	1029	355	494	531
128	535	329	601	542	850	1754	1566	1878	1615
323	339	271	859	1029	801	1188	1895	423	1070
193	250	419	124	535	1084	1351	559	1175	1165
257	269	594	365	1012	753	1254	417	447	303
93	725	415	1202	537	946	1658	661	1827	1574
120	396	640	52	640	1484	970	696	1427	1286
472	912	109	607	329	1193	1420	1230	1161	2019
207	520	460	554	339	1462	641	942	684	1188
164	470	776	1623	700	1380	4248	1647	941	1433
144	348	111	934	291	596	1150	2403	1450	1280
271	181	538	515	667	410	1441	583	1289	1082
915	437	724	311	488	527	392	1134	561	1509
396	441	253	597	1105	1587	1417	794	416	2501
80	694	694	1787	510	879	857	599	1472	2133
242	2116	300	661	979	662	1069	1732	1010	652
396	490	211	834	321	891	1313	1032	1548	977
463	56	304	321	158	1058	2825	2343	1431	113
224	660	1720	815	433	1185	484	816	817	547
87	852	312	756	740	889	979	1467	479	2217
210	850	467	892	485	419	520	805	862	442
143	366	983	233	611	443	1786	1478	750	714
0	375	261	740	1329	907	1592	1151	842	1121
625	932	460	324	1375	1293	370	1326	1239	300
152	276	1663	407	573	2583	200	898	915	745
457	205	452	459	929	116	315	1543	1508	1642
80	498	468	92	1075	1570	1358	1373	510	1533
261	316	731	2893	915	1496	1688	735	743	827
240	581	817	108	506	555	2104	187	679	1334
231	159	569	908	879	429	759	1591	1688	994
195	525	597	276	309	585	1489	1475	1550	3192
275	234	303	2677	344	1699	1752	1162	2397	1816
180	768	77	386	625	1084	1078	880	339	1596
221	479	572	611	1054	1148	2199	440	528	594
143	554	292	1194	690	333	755	900	3300	971
52	268	1121	1129	807	710	831	1937	1080	1228
216	748	843	621	0	210	1363	1656	527	1112
53	139	569	434	316	1091	627	1784	1787	845
338	548	233	125	695	457	1747	1116	1221	802
184	429	847	2381	407	1107	131	197	552	359
607	407	389	298	1099	864	219	1250	805	1595
651	518	52	619	1462	774	536	822	1589	675
279	360	512	778	1457	0	1350	1275	457	1268
453	219	432	358	717	423	246	1075	1210	859
352	157	347	854	625	1291	464	447	1142	4139
233	368	851	533	385	1116	883	477	1624	2438
397	228	338	2139	212	545	601	765	1608	1879
54	329	374	266	1341	1030	184	3976	4075	282
630	413	388	422	733	1055	370	640	2191	3443
311	270	823	1224	1265	1193	863	464	812	637
263	207	315	718	1664	570	576	309	2052	690
473	627	124	858	949	710	518	603	1394	1528
229	336	459	330	404	836	1069	1058	5397	382
164	277	567	886	659	2182	616	237	1188	2918
762	397	719	261	567	479	1287	2906	1753	821
273	733	990	236	1301	1222	1437	1409	1403	2114
59	166	279	974	733	1144	474	3381	1048	376
765	129	806	329	1229	474	789	1450	714	1428
442	406	0	934	892	3304	1104	1614	967	622
196	1421	754	675	982	1026	795	290	1402	4669
327	218	318	901	723	547	399	655	720	1109
369	144	1033	211	361	341	757	288	851	689
313	677	302	834	2859	580	1745	1153	530	3018
486	601	908	635	963	1006	355	1178	656	1352
144	299	267	1197	280	1806	3673	665	812	1196
377	360	306	473	861	263	348	861	1768	976
67	312	374	760	768	1036	1046	3557	1642	1102
468	386	942	53	821	205	835	656	1848	1736
60	520	622	727	199	1249	931	2060	1064	339
438	102	644	62	114	183	1016	1347	1147	758
482	970	569	713	770	872	766	1230	686	648
160	794	559	631	967	1097	856	557	583	1279
938	152	1298	183	209	299	348	1338	1299	386
310	388	631	53	441	804	2899	1464	1429	545
527	170	551	708	561	1070	433	1053	990	1178
239	65	360	106	256	582	1001	2158	1177	2805
270	237	567	488	1582	1289	504	2559	104	1817
216	410	250	219	957	416	732	645	1798	1568
142	648	967	832	1466	233	963	1388	1515	1925
62	310	51	629	778	1168	865	1109	448	2020
622	779	488	2443	1246	794	1376	1524	1281	669
1360	195	462	917	506	1641	961	525	1198	4983
1072	247	1949	511	440	270	707	710	2601	1620
425	367	108	461	1517	673	757	630	561	1745
153	1314	763	661	858	578	1073	1122	1220	788
474	528	367	552	289	1633	697	934	1743	784
358	633	560	1808	0	865	215	1387	1942	2290
353	707	906	338	988	1618	748	1734	685	1278
57	514	1006	569	772	1521	898	843	2623	1296
293	465	408	895	1185	1402	1104	1476	886	1113
551	375	681	785	563	1133	598	1322	246	644
175	527	364	434	587	697	116	1287	1439	1002
181	254	459	821	2138	1675	852	297	1161	1572
235	582	253	817	1344	527	802	920	1911	1217
170	515	626	464	303	361	3058	779	2164	3638
153	340	169	418	2100	1696	1061	419	1260	1176
129	187	265	444	56	1102	1000	688	1027	970
564	287	369	795	745	1250	271	433	816	489
