0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
1528	4125	1437	4775	5189	30403	8251	10155	6271	11272
2441	1260	3383	4212	4540	4155	4026	3525	5676	13928
1270	2873	1660	5405	2360	5168	3749	9527	4748	3214
2186	3416	3324	2585	7860	6808	5717	3182	11459	4189
561	1300	1694	4957	6084	4025	4045	5581	3629	6698
1610	2611	2899	2059	4252	5351	7025	22904	1601	8273
1199	1742	2285	3951	8284	2201	4587	5138	5275	5931
472	1800	3579	2010	5922	2959	10841	8054	9258	5847
1594	6596	5200	2489	4782	3698	5493	8694	8690	6642
1812	2199	3827	3077	5364	5503	866	5264	2845	25380
1574	1573	2624	2962	6552	5153	6121	4835	6620	3525
1551	1315	1726	3050	1715	5178	5084	6228	8058	6776
965	1597	2573	4468	4442	24933	5926	7497	11487	11518
1184	1230	3473	1683	2451	8703	2826	7322	7613	21346
612	2611	1843	3587	5643	5283	4828	2814	7419	6894
1509	1092	1695	5712	6802	11444	8763	8227	5790	7840
2034	5755	6588	6539	2739	3743	4065	3985	6701	15614
543	2527	2058	3168	5880	2148	5147	8372	24003	8790
632	1429	1995	4683	6990	8726	9177	6284	13976	4137
1397	429	2633	2206	5687	4665	5331	9327	2905	7231
873	1350	3551	2268	5675	3980	2565	5633	3974	6734
863	3421	4196	3773	2497	4185	6265	12724	6062	2137
1098	2754	3150	6830	3719	3577	12643	5863	12110	11684
973	2770	3772	19559	4682	5355	3262	6468	8767	10662
1124	2508	2446	3848	8802	3947	3943	8407	12852	6207
1689	5097	3181	2499	3175	4669	6687	9123	11607	5262
920	2435	4211	8107	7722	1421	10620	11303	6490	4595
2089	2232	10162	8914	4254	5806	8357	7679	7939	9179
1359	3199	2270	3059	5189	3652	6267	6392	8514	9325
2076	3481	2260	3659	6657	6107	5844	5750	7572	4070
3177	12773	4423	2576	5717	18343	5339	7634	7048	6899
1674	2701	2010	3579	2300	5552	5663	7735	3902	11658
1146	2839	1600	4458	5136	6296	8886	13514	7795	10933
2835	3245	2636	5734	5072	2469	4282	4149	7488	10843
458	1725	1627	5712	5859	8042	3083	10144	8394	11882
1522	1352	3421	7328	4224	10260	5812	4565	5674	7790
1812	2532	2092	4544	4108	5022	5120	5670	11795	6034
459	635	2046	2584	6307	2869	3382	3606	12278	9946
792	2561	1698	6452	3665	5022	2810	6462	9875	27726
1134	2356	3782	4847	5590	3673	9850	9253	14245	4902
1455	3320	2622	6119	5158	4520	5034	8054	15380	11541
1890	1345	4929	4123	5848	9062	8179	6686	12258	14709
1527	1761	1840	3696	7928	4054	4087	5868	6059	5796
1037	1597	1192	1537	3762	4119	4210	3290	5404	11274
1142	1136	3025	6552	3821	3909	5553	5053	7286	9130
1160	2732	1406	6856	6402	6735	7385	3364	4369	11818
1421	3463	617	2130	5227	5925	4410	7859	10905	6701
629	1612	2653	5788	3434	5175	7697	11746	9246	5959
1394	2344	2345	4922	2514	5196	7859	5831	4762	8323
3163	2301	1617	2732	3577	4462	29229	8220	10575	13368
404	2549	2007	3314	9222	2656	6064	10193	6670	8095
565	1544	1437	6908	17384	6633	8516	4501	3707	14645
1239	2718	4014	2300	5496	2614	9012	9466	6816	8550
1153	934	2382	9419	4298	5599	5161	7568	5287	8729
2244	2290	1253	5245	1523	2756	4412	11486	5110	4716
1682	2085	2769	5895	3623	2412	5723	7005	8646	4422
1115	4044	3848	5021	4107	6756	7544	8603	10118	6293
2776	1656	739	1527	2263	5218	5766	4963	6974	7531
2545	5105	1825	4752	6220	4394	7220	4535	3844	9302
979	2120	6375	2463	6593	20289	10020	9301	7962	11457
535	3965	1400	2542	14228	6222	8241	3168	7779	3981
898	1185	2747	4629	3567	3808	6577	3543	4974	11191
929	1847	1616	5027	4545	4741	7444	7304	8514	10908
1553	4080	4342	3555	4085	3429	6940	11114	13310	9975
1424	2986	6350	6178	6808	5633	6207	9164	7567	7310
559	3062	3817	2121	3965	8834	2825	9419	4317	10700
1056	2177	3247	8767	3094	5292	7824	5183	11055	5900
1454	1399	5023	4329	4240	2186	8569	1831	10840	6756
1277	2547	5685	5502	6855	5716	3379	5216	3349	6355
687	4980	4133	3225	3421	11625	11114	3799	14827	3574
1811	1793	3062	5664	3448	9657	3442	6003	7931	10523
1915	2662	2969	3337	3343	8153	9007	7643	3555	7618
318	4546	3827	3792	7272	2373	9535	5981	5594	4535
1076	2621	3395	1497	2525	6562	5707	2230	4271	6243
2385	2678	3629	4496	2008	8103	3371	5324	6819	8789
575	1973	1755	1773	2438	4927	5959	4914	12206	5061
2047	947	1630	10449	5345	4510	2890	8371	14554	5523
542	2841	3668	6392	4057	2657	6469	7872	4249	2843
1392	2946	4223	11124	5162	7446	8801	7779	7743	261
2603	2470	3192	6455	3396	3963	7502	10220	8664	6410
753	2921	1145	3063	2110	6363	4481	12939	9117	8290
1324	1692	2343	3826	4467	9979	9655	3973	9903	12011
405	1239	8093	2949	12545	3382	5052	5857	12320	9606
2320	7527	9388	2833	4484	7296	5394	12052	4627	4154
2649	2181	2384	2764	2616	7312	3106	6850	9869	11707
979	1472	15393	2711	5362	4223	5911	9238	9947	7087
492	3273	5627	6459	4972	10505	6764	5580	10747	3402
551	2637	1843	1987	2669	6985	3776	4303	1806	12368
1384	2777	3585	3593	5546	3041	5803	6302	8347	6544
1986	3176	2823	2830	9607	5911	7829	5499	12053	5751
848	2601	3177	4688	4271	6850	7632	6709	23112	13806
1257	4488	3757	3017	7313	2599	4368	3912	10092	4268
806	2937	3750	6832	2170	6474	7890	10833	12648	6606
840	925	4053	3741	8062	3843	7302	4896	14993	9757
794	4440	8188	4534	3256	4948	5354	3000	5327	4613
1416	1520	3100	5298	3679	7819	10684	7931	12554	6148
2307	1585	1647	3075	6602	4929	21621	5345	6446	9578
1233	1352	3538	1831	6190	5088	3141	5434	6984	6203
1999	934	2981	2397	3691	6463	8408	6107	3309	4021
1395	1613	3719	2640	3898	6512	4878	3938	5914	3749
3001	2934	1891	4402	5565	6132	8655	7298	11559	6068
1451	1434	4506	3878	1814	5956	8153	8240	26181	8791
2089	1750	2245	1913	4069	4807	5065	6564	7222	27565
2777	1721	3509	2636	3822	8099	8622	10847	5443	4359
