1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
1	106	41	156	225	559	63	9	34	18
33	8	7	15	325	46	48	253	337	8
1	35	80	14	21	103	118	35	3	385
1	151	137	24	149	20	252	18	168	50
4	14	25	911	124	14	125	263	27	37
140	40	6	14	75	42	222	63	21	64
269	3	421	10	254	17	15	163	17	15
2	61	4	22	31	80	226	12	19	666
1	9	10	9	28	734	10	259	26	12
5	20	170	62	34	21	398	42	58	2
8	9	3	22	8	38	6	11	13	10
47	2	182	8	80	29	459	44	733	150
1	18	8	297	10	155	166	50	47	324
1	2	17	43	22	8	51	13	14	15
49	127	17	52	182	26	18	246	602	345
28	7	11	5	82	9	59	19	30	36
1	2	240	274	43	68	79	87	46	27
57	4	13	28	2	44	16	27	414	2
9	643	3	143	17	108	112	153	10	73
63	82	8	526	2031	12	13	35	54	235
1	2	96	182	44	151	89	35	16	15
1	2	375	1	6	716	44	19	10	34
10	56	5	4	137	53	44	312	390	460
2	15	1847	7	116	24	165	20	8	401
5	70	63	200	7	765	36	6	23	5452
1	1	11	7	144	16	71	5	23	46
567	30	139	58	26	284	66	117	143	64
44	4	10	39	278	275	5	4	102	217
9	1	221	374	244	83	117	89	172	49
63	11	3	41	270	24	64	49	64	132
15	1	309	143	5	129	118	17	175	27
5	8	34	22	10	214	110	22	35	34
2	47	2	11	48	11	89	57	37	90
512	141	2	7	133	171	143	43	71	168
3	5	2	58	16	13	5	685	901	13
2	1	47	6	5	165	17	49	111	486
4	8	18	973	37	30	18	6074	15	69
1	7	8	82	11	6	150	17	239	147
1	42	219	11	5	79	1435	853	262	48
1	3	9	6	101	136	775	204	2	696
25	4	158	29	20	314	4	60	182	49
66	102	7	7	2	167	7	403	309	272
7	99	6	6	8	27	27	17	56	145
24	4	44	25	70	100	117	229	26	13
1	53	14	41	100	195	38	52	5	32
80	1	79	99	16	16	106	94	128	39
45	20	4	27	182	111	20	63	29	133
1	14	67	3	20	751	921	138	13	764
789	4	749	8	72	8	217	100	66	14
15	3	147	379	14	11	886	313	303	96
1	11	7	210	290	92	28	4	33	11
66	19	5	190	549	32	206	96	63	31
45	7	9	8	46	62	14	19	27	71
2	196	17	29	5	70	21	95	20	22
7	23	6	55	71	9	17	7	85	18
18	16	2	16	553	494	27	21	29	46
1	86	53	6	23	137	40	413	108	45
2	27	5	12	52	240	75	1	99	420
19	152	9	48	7	13	15	18	13	987
66	2	96	2	133	10	52	42	17	135
3	2	1	40	124	35	12	23	36	91
1	3	280	30	10	230	27	36	29	134
2	6	18	36	30	5	22	20	118	8
1	2	44	130	82	6	42	57	7	66
25	2	40	14	3	71	1426	119	55	17
3	12	20	7	59	5	525	6	76	10
4	1	23	43	8	1	130	107	209	58
2	85	146	380	87	497	39	399	15	35
131	67	209	13	25	256	155	249	11	16
13	10	46	385	19	44	112	16	11	146
1	6	36	23	20	483	199	21	162	155
40	14	15	103	190	2	137	17	879	15
1	76	26	9	422	8	4	74	34	585
3	1	13	115	16	382	16	348	1021	167
2	85	100	122	178	4	147	51	19	15
2	39	811	4	4	12	22	75	10	377
1	13	1	73	8	15	23	6	20	6
9	114	287	4	47	5	12	6	13	6
33	3	9	5	10	25	120	28	32	84
4	91	422	22	2	8	393	64	159	193
3	7	82	833	44	18	23	11	17	75
1	15	10	80	8	305	332	151	124	195
19	93	28	24	26	8	25	6	109	169
3	6	299	4	22	201	59	144	74	57
1	11	4	334	40	138	16	37	113	42
1	5	7	8	7	83	528	170	127	124
96	6	50	5	23	9	109	76	552	78
1	152	70	9	200	20	30	35	58	295
2	13	3	78	7	285	62	49	117	105
18	4	46	127	193	26	302	46	5	361
3	11	10	29	353	85	13	392	26	25
48	101	923	140	20	764	10	20	284	284
3	1	480	102	57	382	180	117	21	727
2	10	4	184	18	13	17	3	4	20
96	23	9	5	16	7	409	33	23	105
6	2	13	35	6	50	25	76	38	95
8	66	19	6	58	18	142	27	18	256
47	3	54	125	243	655	27	21	153	155
1	5	46	5	61	39	19	225	28	168
1	315	4	1	6	377	10066	14	19	109
26	7	3	182	304	7	21	125	1422	51
11	26	5	79	4	5	6	19	44	10
1	3	185	17	191	26	621	17	48	103
1	4	66	59	44	315	81	73	14	322
2	21	4	8	47	52	134	11	66	57
96	30	348	5	3	14	2	18	270	30
78	632	242	6	11	27	18	8	71	942
2	20	78	16	103	217	23	3	30	54
7	1	198	94	6	797	32	10	107	12
198	47	7	22	10	27	71	180	16	53
27	11	227	103	8	44	11	364	15	32
6	236	11	279	21	92	13	352	35	10
9	4	11	5	28	22	22	42	143	69
19	89	11	11	75	65	7	79	8	124
1	5	70	556	16	73	8	195	111	70
8	9	5	87	23	20	6	16	10	11
3	6	10	16	392	11	142	5	15	430
3	19	3	324	14	61	105	846	48	62
3	6	278	93	13	112	7	34	12	18
1	3	8	492	50	176	66	69	72	615
1	3	8	4	40	26	69	39	52	240
55	5	34	7	31	8	9	628	665	24
5	3	105	106	89	5	79	23	469	166
1	47	5	272	25	22	19	57	67	113
7	57	63	8	19	125	38	112	38	375
29	20	45	29	6	70	468	119	319	410
13	2	12	12	14	53	465	86	231	3
37	2	95	24	8	484	23	76	278	69
107	5	18	60	388	6	8	31	32	559
438	54	8	712	54	11	150	254	86	63
1	5	247	103	37	19	15	46	487	361
1	3	11	4	235	7	60	73	232	240
48	98	31	57	84	295	37	10	374	27
1	3	11	79	8	646	394	29	12	203
2	75	10	22	10	5	83	23	99	182
1	50	23	17	16	38	50	31	693	13
77	9	6	20	3	144	34	2	812	114
6	12	2	36	17	104	930	22	12	1537
1	3	6	31	11	97	31	759	30	124
12	68	74	13	15	18	5	43	16	23
15	8	9	47	16	375	318	49	28	203
4	8	14	4	24	72	502	61	143	15
11	1	25	264	138	14	36	19	193	242
3	5	8	28	33	57	232	9	87	23
1	2	33	67	143	11	7	9	22	140
20	3	2	7	35	36	43	27	21	1176
2	7	50	11	101	54	62	9007	9	310
1	33	26	2	82	13	9	55	28	32
2	63	57	359	24	14	253	17	322	378
10	3	2	125	65	75	58	519	12	24
1	201	390	300	17	152	70	135	273	743
6	4	5	3	126	388	88	325	71	41
39	175	34	7	56	32	787	225	15	52
33	7	5	24	282	7	185	32	56	10
31	542	187	130	94	11	42	12	69	1075
1	7	6	3	5	10	24	4	63	247
1	3	14	5	769	78	168	168	18	30
3	5	7	12	86	50	35	184	164	60
2	705	10	280	60	5	31	195	39	120
1	4	4	109	6	270	174	1017	246	300
1	3	334	4	7	16	28	82	117	693
2	5	3	3	29	6	218	22	257	449
4	3	79	346	17	2	23	13	15	11
91	131	441	9	205	117	5	19	71	20
1	32	20	68	270	9	446	151	51	354
2	2	11	82	5	35	9	180	25	163
20	56	10	11	93	17	463	46	150	53
776	24	5	10	303	34	15	19	25	162
135	1	19	232	56	19	9	30	2	249
1	3	165	3	40	93	8	290	18	13
