1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
332	0	209	103	214	0	221	200	478	662
105	155	216	104	481	370	147	376	262	0
112	138	602	540	211	381	363	503	122	318
111	226	575	538	340	603	527	572	437	316
0	227	312	345	237	188	504	355	200	283
337	317	1320	589	0	220	334	226	246	523
126	332	690	351	502	323	391	113	223	692
306	341	307	491	126	102	580	441	102	330
118	134	110	237	216	231	442	414	513	320
107	393	275	304	566	111	161	225	248	630
617	209	500	104	209	157	478	206	331	552
178	104	455	105	337	481	339	226	670	562
115	278	419	106	286	205	107	420	555	424
117	248	0	386	508	104	625	109	391	111
0	244	227	336	461	644	107	459	345	713
116	407	358	136	539	208	521	249	485	314
136	338	429	102	107	591	360	452	404	109
0	223	424	392	491	360	104	250	438	418
112	246	236	407	318	447	233	102	112	210
0	507	115	210	0	112	426	0	434	128
109	234	114	238	345	328	367	0	263	300
0	248	319	566	417	228	302	222	377	542
213	135	323	130	248	126	244	0	303	1285
326	560	184	261	440	317	208	255	796	106
319	177	250	136	113	397	289	127	107	609
117	105	846	348	106	216	446	0	840	607
222	433	228	211	214	104	224	496	605	208
110	222	218	244	428	319	0	106	233	102
0	215	107	215	429	220	107	108	323	0
391	354	106	105	235	107	108	831	444	112
280	224	155	222	306	787	206	256	620	306
137	0	0	109	432	122	344	329	611	351
150	100	342	303	111	436	0	448	532	337
213	408	235	332	234	204	258	230	102	180
213	237	250	541	119	326	235	107	360	109
215	145	205	259	115	117	212	532	474	323
121	219	150	210	210	323	966	0	594	1480
346	572	214	118	0	111	215	434	506	123
227	0	443	334	600	1127	405	480	0	117
0	501	114	106	212	187	438	662	102	1515
151	118	192	261	252	315	599	109	116	457
113	0	115	457	457	0	1663	685	372	573
142	360	116	740	213	323	210	296	796	585
297	105	202	227	216	455	139	325	248	0
0	374	356	354	236	236	302	101	0	738
231	1033	592	653	321	255	277	322	123	516
100	332	342	209	303	158	220	321	277	469
318	112	0	112	310	108	657	493	344	235
337	262	135	500	426	128	126	328	255	224
468	327	0	243	461	102	103	486	259	330
233	107	383	0	107	0	344	214	129	111
116	270	143	0	272	140	334	354	222	418
248	101	245	102	312	207	105	0	254	111
315	295	215	106	146	328	292	299	0	286
231	577	445	0	143	194	203	326	433	346
219	126	249	531	0	744	111	417	410	682
121	208	124	109	223	145	106	390	231	697
543	560	126	109	461	332	0	330	121	428
236	140	293	566	351	187	0	788	307	208
455	372	473	637	267	388	325	233	108	489
245	109	243	207	110	548	502	226	437	304
