1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
14	4	6	9	10	14	7	13	4	12
2	6	11	15	11	9	19	37	48	16
1	17	13	7	9	19	13	254	15	1
2	5	7	20	5	11	13	20	39	16
2	2	12	11	7	21	21	70	8	93
11	11	69	19	2	10	10	17	8	52
1	8	5	30	1	12	7	5	15	51
2	7	3	14	25	16	18	19	35	25
1	4	8	42	4	13	10	2	9	4
9	8	13	17	16	8	76	14	26	49
6	4	13	5	8	19	21	11	11	64
2	7	1	2	8	4	5	45	36	27
1	14	17	14	7	10	14	16	20	3
6	10	4	26	21	11	10	15	35	71
1	7	19	9	44	13	43	19	44	11
3	19	2	2	9	21	14	53	23	43
7	10	7	6	7	45	21	11	46	30
8	3	9	7	6	24	10	7	56	62
1	2	5	37	15	14	25	11	17	39
2	2	6	3	6	7	5	16	17	7
1	2	10	8	12	7	7	68	19	12
1	5	9	6	16	16	6	5	14	25
1	24	4	12	9	36	45	36	26	37
1	4	8	13	23	22	7	6	29	14
4	2	3	21	4	4	22	9	43	42
3	1	10	19	91	11	15	20	15	32
3	2	9	5	8	14	6	43	24	68
3	4	28	11	12	3	44	18	32	12
4	7	1	5	12	23	2	10	42	22
2	4	3	6	3	7	8	66	21	2
5	4	7	16	44	34	16	21	37	13
3	4	7	20	13	365	8	18	35	8
1	5	3	5	5	11	6	79	2	17
6	2	5	20	11	13	17	29	6	11
3	5	2	15	16	9	68	5	43	50
4	4	18	20	12	22	12	2	11	46
23	7	2	5	1	1	24	26	50	33
1	3	11	4	6	19	9	35	13	12
1	6	3	11	12	31	39	6	6	70
1	3	8	6	21	19	17	43	13	7
4	6	25	8	16	6	39	15	10	93
12	4	6	9	17	15	30	3	28	13
2	2	6	14	23	44	9	14	26	14
3	2	3	16	4	9	11	36	17	49
1	5	3	12	6	6	14	11	23	6
1	4	5	5	11	24	25	8	19	36
2	14	7	5	4	15	12	22	11	39
4	4	4	8	9	39	29	60	29	37
1	4	1	8	8	17	13	30	33	18
3	14	4	7	5	5	10	16	3	40
24	7	9	2	23	13	6	1	5	11
7	4	13	1	3	13	8	17	14	30
2	7	5	14	15	13	11	59	63	3
2	13	6	13	9	28	14	8	25	18
7	9	7	12	10	4	17	17	30	49
3	3	3	12	9	15	15	9	170	25
2	4	6	8	45	41	9	11	17	30
1	8	7	9	35	14	5	26	12	30
5	2	11	18	9	14	29	13	51	30
11	3	5	6	8	3	44	5	22	26
1	13	12	5	17	6	29	9	13	13
1	3	1	16	5	5	47	15	11	23
5	9	5	24	47	25	16	31	7	36
1	4	5	4	15	20	6	10	30	7
1	6	47	4	18	14	4	64	25	54
5	5	9	24	7	8	27	4	37	37
1	6	3	3	21	15	12	21	19	18
2	3	7	4	4	15	37	14	25	18
3	5	17	10	13	9	27	18	5	56
1	2	2	30	7	10	61	12	33	36
2	3	7	8	12	16	13	37	12	15
2	2	6	2	17	11	11	26	96	79
5	6	3	1	6	15	63	13	25	17
6	6	15	13	11	3	8	22	11	35
1	4	30	11	1	7	13	6	38	38
2	6	11	9	6	17	14	13	57	13
2	3	12	15	18	23	17	5	46	1
15	3	13	7	4	31	3	19	15	6
2	9	11	7	10	12	13	23	27	33
4	2	3	1	12	8	4	36	35	21
7	10	9	5	18	11	14	22	31	10
1	1	4	41	6	27	5	16	18	32
6	9	21	25	3	83	10	8	93	15
6	17	6	4	8	23	17	2	24	18
5	5	4	4	43	11	12	21	18	25
2	5	15	11	24	16	14	23	19	10
2	49	2	6	3	5	9	76	32	39
1	2	7	16	6	3	18	9	44	139
2	4	3	18	28	6	14	9	17	23
8	2	12	8	10	34	66	14	59	8
1	13	16	14	17	36	16	15	6	24
2	3	11	27	27	16	28	61	9	34
5	5	3	4	42	28	13	34	34	18
2	5	5	12	11	10	7	13	24	6
4	4	9	33	25	8	3	13	8	29
8	1	1	19	7	27	13	38	46	33
7	2	1	8	8	7	27	30	15	16
2	2	5	6	20	12	54	5	81	12
1	6	8	15	42	25	18	22	15	79
3	3	3	5	9	13	12	24	31	61
1	3	15	10	30	3	36	19	31	29
2	3	8	5	10	10	33	22	35	26
1	3	37	11	8	6	21	21	16	10
1	2	12	14	8	20	88	4	13	15
1	2	8	9	8	25	6	39	30	45
1	2	2	6	32	13	25	21	57	31
1	4	7	32	5	10	8	27	40	60
1	1	2	7	6	7	8	14	28	43
1	4	6	4	17	9	16	1	10	21
8	2	17	6	9	7	11	18	26	13
1	1	5	5	9	3	15	153	14	19
1	12	6	3	4	2	11	14	31	20
1	9	14	6	15	57	22	53	32	35
5	9	3	7	19	19	10	11	6	32
1	6	14	4	10	9	9	22	13	71
13	2	3	2	7	9	31	28	57	14
1	7	14	6	28	3	8	20	49	35
5	3	4	3	7	173	34	5	7	10
3	21	32	70	4	14	17	4	25	54
84	2	5	6	19	4	8	17	47	2
1	3	37	8	8	22	4	15	4	65
3	4	12	14	12	15	9	25	25	15
5	2	7	40	7	7	33	22	9	44
1	25	6	5	24	12	1	12	19	9
2	15	20	6	19	15	100	4	52	29
2	3	4	4	11	32	8	15	21	58
1	3	5	4	4	9	4	8	13	6
4	3	7	10	13	32	30	4	48	30
6	7	3	6	9	14	14	25	2	6
1	13	12	7	34	2	24	15	41	15
2	6	2	10	6	26	12	8	20	61
1	17	1	21	11	3	12	11	26	23
1	5	4	9	4	20	9	9	7	13
1	2	6	10	11	13	21	39	22	16
1	2	2	1	12	9	18	16	13	20
1	2	7	75	32	11	3	24	30	8
1	6	10	15	28	12	15	19	45	27
2	1	7	20	11	12	6	1	13	13
2	3	18	1	6	21	10	138	13	18
1	1	3	3	20	13	19	5	7	37
1	3	2	9	16	18	16	13	18	8
4	1	4	8	28	27	10	19	61	28
6	2	4	2	6	12	6	34	64	33
1	9	18	16	9	5	5	15	34	29
1	2	2	10	7	6	19	20	18	17
4	5	6	23	9	7	22	12	16	1
3	2	7	4	6	11	36	15	4	14
1	3	5	11	5	15	6	8	16	68
1	2	8	7	3	15	5	23	42	29
1	6	4	4	4	14	15	41	36	60
1	3	8	14	5	2	9	18	14	13
3	3	5	21	19	16	17	13	30	11
2	5	4	5	5	18	12	19	26	15
8	4	1	25	7	9	25	8	35	4
1	6	2	18	6	16	48	8	12	14
1	3	16	2	6	7	25	15	9	13
1	2	10	7	7	17	8	15	23	23
1	3	6	8	10	6	35	50	49	13
1	19	12	3	5	4	10	17	10	49
2	14	7	5	17	18	18	43	38	7
2	4	2	7	10	18	5	47	5	4
3	5	5	8	28	14	23	16	48	42
4	2	3	23	4	13	18	7	2	12
1	1	43	9	11	20	9	14	15	22
7	3	6	5	7	20	8	9	4	30
1	3	7	23	42	18	8	22	18	13
6	14	2	14	16	5	14	19	65	40
1	1	5	13	14	22	3	1	5	20
1	2	11	8	21	13	5	17	18	11
1	1	4	5	18	18	34	14	34	3
1	5	7	9	12	13	50	9	24	42
7	4	3	18	19	3	16	42	33	28
2	5	2	2	3	15	22	25	20	5
3	4	7	7	16	83	64	37	6	22
1	3	2	21	14	20	9	10	27	8
3	2	21	7	7	5	8	9	9	16
1	1	3	18	31	25	4	7	42	18
1	1	3	12	23	16	15	15	113	23
9	1	16	35	58	14	11	25	30	17
3	3	5	4	11	15	16	18	99	30
1	6	9	16	6	16	7	3	10	9
3	7	7	7	20	7	10	11	3	20
1	4	2	4	12	2	18	19	11	6
1	1	7	17	22	18	21	14	11	3
1	10	5	8	10	2	10	10	19	25
5	3	50	27	18	13	21	20	7	27
1	3	5	6	13	7	22	14	34	45
5	8	3	5	8	28	12	16	27	13
9	5	6	7	6	19	5	28	41	102
2	3	13	25	13	81	14	28	13	10
3	4	8	7	7	5	25	24	15	16
