0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
4	23	47	383	152	281	520	543	422	100
56	121	11	135	398	207	436	61	2260	208
13	150	261	503	127	438	496	321	144	865
71	131	116	17	47	168	614	425	69	832
32	29	47	132	62	530	590	415	538	1254
211	237	444	335	21	67	157	663	277	344
30	34	137	56	513	426	867	228	88	52
41	57	205	326	334	564	233	434	361	201
25	27	18	84	57	674	271	745	343	1145
37	170	59	239	25	50	387	736	282	243
72	91	320	417	40	39	565	88	469	892
18	146	296	1661	293	1748	369	86	413	676
2	30	232	54	227	1628	626	2386	795	459
19	256	310	47	352	162	647	121	420	942
9	110	41	120	363	356	781	78	333	860
95	22	375	199	46	421	1170	846	292	111
101	260	46	58	407	33	117	1593	211	202
78	8	46	125	92	494	957	428	531	582
177	60	446	219	540	54	582	12	304	318
45	31	382	213	281	299	469	929	101	681
59	143	320	1210	483	1671	387	71	2215	1213
90	109	272	113	1027	73	764	497	860	1572
65	32	307	573	40	504	191	690	462	163
113	400	203	114	283	36	500	664	731	486
8	153	66	256	252	961	61	491	158	111
49	117	212	62	582	388	82	78	69	1572
17	104	82	8	563	358	77	508	461	469
40	25	38	261	378	605	93	325	744	1561
92	73	134	94	62	185	88	1311	866	108
41	14	27	324	18	498	791	1775	224	72
64	35	340	202	33	422	403	439	496	812
21	166	186	602	9	584	58	208	630	1075
19	210	349	378	375	727	472	1605	2682	864
107	77	0	26	588	940	59	421	546	970
16	197	175	189	79	612	741	141	582	66
101	29	791	22	452	145	462	424	723	115
6	254	313	224	545	2009	370	637	111	428
75	126	47	138	1247	385	487	145	988	248
5	151	16	238	1313	436	470	411	88	530
8	50	33	189	85	309	339	632	548	1482
4	120	269	48	404	135	78	363	563	156
89	10	140	644	1531	539	33	679	611	192
44	56	339	28	214	562	28	676	635	125
8	89	1392	19	575	151	145	496	221	746
36	30	75	73	884	68	1092	555	187	880
83	76	37	156	23	581	742	176	2004	434
9	47	90	238	320	99	197	721	1139	803
5	86	26	241	289	88	1235	175	750	675
148	35	362	16	565	180	374	1221	68	816
46	53	27	150	61	137	211	401	453	597
43	21	60	306	91	252	543	347	870	728
83	63	104	800	200	112	404	94	128	279
93	46	112	601	1804	78	376	1051	1303	639
19	85	233	614	451	518	283	196	596	88
7	205	156	353	618	518	568	120	1159	85
144	250	104	158	534	267	73	266	908	391
2	32	256	333	65	248	365	706	540	193
73	62	136	356	262	301	35	553	83	414
62	8	336	32	104	501	1139	412	252	232
6	261	623	652	220	368	551	72	96	345
45	34	198	123	191	566	433	1201	250	299
12	167	250	332	443	501	1100	576	2099	435
10	232	261	310	230	324	796	90	438	240
195	75	335	150	46	129	43	71	1427	146
16	180	43	404	396	205	1346	414	324	224
177	185	138	460	423	500	830	79	98	673
10	24	24	280	56	439	39	732	317	970
59	43	40	366	73	475	585	175	182	786
105	359	92	476	264	200	987	384	695	201
50	172	326	79	474	558	124	537	760	712
11	29	169	178	115	156	253	795	2269	1344
1	40	41	132	218	317	183	747	163	922
53	9	16	40	111	2	171	428	136	489
98	315	342	97	57	424	737	80	1387	627
42	223	271	26	613	89	192	150	518	77
11	175	253	1195	545	110	1319	858	488	1127
20	238	162	77	179	535	206	141	88	105
26	855	1042	0	36	196	65	1179	459	2250
266	189	14	18	477	387	461	932	201	239
4	73	282	65	428	1126	177	653	922	159
91	16	280	299	192	250	301	218	291	798
21	94	43	38	202	427	498	562	448	251
41	878	289	385	64	62	46	689	886	242
46	142	41	167	488	502	595	232	449	60
27	196	181	345	708	2389	259	258	52	2821
49	144	365	289	551	375	211	235	226	271
3	155	238	286	152	573	1743	747	685	116
42	53	92	224	471	841	62	1745	405	343
53	75	278	53	228	1241	332	82	163	508
23	670	27	59	817	849	63	176	151	529
58	76	42	84	95	106	639	328	1051	488
25	235	313	43	282	372	223	717	204	781
16	81	32	305	110	275	246	87	1968	125
72	325	46	227	99	29	370	830	1061	1157
8	66	98	164	611	126	580	855	762	2944
143	58	541	479	115	628	1086	348	210	396
9	141	23	18	953	125	730	667	534	267
111	184	25	135	131	658	215	1204	1428	626
23	37	91	119	424	172	474	179	204	645
77	24	24	156	423	54	678	34	230	218
43	88	222	415	18	251	358	421	513	715
130	45	314	14	3229	365	626	1270	217	574
27	82	22	172	412	102	269	242	747	1034
5	151	20	285	449	69	146	1094	187	704
162	39	136	109	143	292	159	48	239	336
94	35	0	435	118	387	37	858	371	1738
69	61	307	36	260	498	324	519	153	363
45	13	201	406	19	60	217	229	222	742
22	121	19	130	401	641	65	232	512	464
34	41	270	301	224	483	69	411	212	928
31	50	84	344	491	644	599	862	187	614
142	254	381	119	55	1117	116	680	134	1260
15	120	439	735	1719	609	1494	63	746	367
119	190	12	440	476	137	596	827	1453	287
99	53	36	273	404	515	524	430	400	77
9	5	304	334	83	200	653	164	289	699
10	20	219	297	666	93	183	709	817	1078
43	46	61	167	79	438	180	81	851	781
7	123	48	166	708	92	314	1588	131	78
8	38	252	59	614	597	479	1113	854	522
8	175	51	294	281	231	304	653	1806	952
23	158	81	405	610	364	298	485	448	1263
106	43	271	118	93	277	74	567	877	287
123	104	103	458	72	202	194	98	188	1279
0	65	37	69	30	33	1100	717	1010	249
27	75	816	293	463	194	147	754	699	836
66	121	405	61	375	531	105	936	127	597
36	164	48	365	234	300	631	584	153	93
14	61	175	49	366	296	149	723	85	167
53	37	112	372	148	461	672	743	815	604
7	23	133	187	273	42	478	95	110	587
29	48	22	261	306	580	150	1392	156	1274
101	49	55	43	301	1059	513	62	982	1009
65	14	164	115	21	67	352	595	779	91
52	44	877	47	374	233	211	678	1072	169
36	32	302	166	3688	203	447	92	240	136
29	11	92	64	135	114	310	221	194	388
23	26	423	351	102	672	764	1264	507	884
8	35	147	164	503	229	688	160	272	595
111	312	119	218	237	165	178	491	166	173
35	203	259	571	776	178	492	75	192	714
62	133	42	255	31	66	474	85	83	748
26	362	246	154	48	37	1006	110	70	400
202	182	204	171	494	394	449	252	1567	500
73	77	96	102	478	558	334	1200	712	996
62	105	180	114	409	298	618	66	1679	716
21	168	154	860	119	324	132	1240	847	77
68	70	51	487	446	409	1268	767	321	876
37	73	497	471	404	535	38	427	211	1116
64	137	18	50	1413	957	2056	571	309	525
20	13	317	227	502	124	135	643	766	930
64	134	860	625	314	88	58	83	223	204
30	239	183	64	810	75	2649	456	411	156
38	14	127	44	902	416	561	480	70	2598
36	191	114	576	236	260	87	105	188	1024
14	36	161	614	544	2958	343	195	61	1221
36	32	62	157	48	380	51	644	244	869
373	108	177	500	829	502	940	720	1853	4715
136	94	137	235	478	33	537	85	622	138
110	78	41	672	205	614	167	299	1675	369
49	107	60	309	1170	592	157	185	666	477
14	37	24	723	2942	322	693	300	436	1066
40	95	25	31	153	300	63	191	220	433
93	235	67	78	103	304	298	568	703	794
1	116	1627	521	876	43	160	181	496	586
23	329	157	304	481	145	746	654	949	269
8	24	347	13	4489	492	86	697	48	614
78	21	68	142	439	274	79	653	323	466
31	32	569	952	415	448	129	87	449	512
32	121	872	289	549	54	1142	513	86	135
48	24	175	105	89	381	150	617	828	379
154	32	260	50	41	116	182	632	792	111
96	155	28	141	466	29	306	203	111	633
137	182	179	234	297	130	1186	614	2697	808
34	185	43	438	910	269	173	159	322	532
1	2	157	205	209	57	479	32	265	80
61	124	124	36	44	505	810	547	798	1226
59	466	256	133	275	187	762	760	205	128
159	48	285	78	806	110	1809	2146	679	1826
125	114	169	102	416	339	50	245	42	574
16	3	272	72	1119	323	175	732	112	2311
121	49	79	253	977	428	381	111	450	103
151	189	67	1728	237	55	600	92	911	228
4	104	27	217	269	317	163	532	666	449
131	66	361	193	442	494	759	215	429	108
6	26	221	111	62	502	1830	446	830	775
23	40	564	32	543	269	523	216	376	87
17	29	25	364	308	594	48	339	976	121
43	173	423	394	281	72	588	919	294	646
13	85	142	31	462	233	382	89	336	445
43	231	320	301	220	61	214	782	774	867
126	83	41	359	254	456	2078	62	185	955
37	113	288	366	115	193	74	738	723	856
39	63	198	262	82	100	869	728	715	201
32	118	48	830	241	255	288	421	1057	934
112	589	26	337	103	459	701	1015	151	504
93	16	125	18	284	542	26	280	77	124
34	15	290	52	195	238	633	67	436	250
7	81	74	297	317	508	54	559	206	2510
28	446	238	164	667	4936	71	1287	354	213
21	21	103	380	249	125	110	70	266	772
9	204	15	814	437	248	704	617	238	311
95	129	215	363	58	90	474	405	330	607
152	52	184	1118	114	153	360	738	519	249
190	175	114	46	60	1550	380	1657	546	421
65	359	527	63	23	168	602	216	771	77
7	0	41	53	209	165	1011	707	274	1316
149	193	107	566	75	604	1515	51	899	775
44	101	76	391	685	57	355	1312	698	882
10	19	149	828	332	55	219	423	381	625
50	27	448	129	340	461	45	505	433	1019
32	35	22	86	92	110	1052	792	597	110
9	43	106	611	158	489	505	52	250	168
8	247	160	365	631	289	584	104	869	233
10	298	309	33	859	573	125	448	157	602
6	164	940	33	459	255	657	559	805	114
17	70	235	82	212	205	43	773	1234	702
43	212	385	301	35	1788	543	505	150	1358
66	220	163	51	139	648	136	2632	676	1284
34	131	26	17	457	236	102	310	73	397
62	204	109	1263	316	108	356	2149	359	790
38	21	198	1017	290	0	752	2091	712	604
99	12	49	436	997	380	2021	1470	238	574
58	8	147	291	160	848	364	57	315	231
24	31	29	219	388	257	48	1263	469	1138
91	70	184	136	272	1412	118	70	474	1367
55	12	414	115	565	522	369	376	113	665
146	86	100	217	367	135	226	421	905	473
14	77	95	220	48	398	572	77	894	264
5	91	92	452	166	496	378	1160	2249	196
45	57	240	532	147	234	583	360	181	457
52	227	72	144	471	52	1490	420	839	77
46	493	314	34	1293	327	609	196	744	235
44	18	236	583	231	155	576	294	488	547
30	102	329	470	208	391	752	356	90	210
110	2	192	352	528	334	106	1941	1122	900
6	22	79	135	40	715	156	584	1283	125
68	114	76	469	186	402	321	236	283	392
125	160	540	33	366	291	148	701	205	679
5	153	118	162	318	690	370	62	3036	994
0	109	119	55	75	164	249	265	556	590
99	110	76	68	68	291	645	551	92	781
24	72	246	140	48	188	615	699	818	1471
