0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
217	998	1073	615	362	631	895	217	1807	599
1041	751	742	1239	1387	1028	787	301	831	634
935	646	731	907	1028	482	744	1799	436	1583
681	310	362	496	906	1334	589	800	512	889
1083	732	767	850	626	1366	1282	433	1401	3852
623	719	480	508	786	512	2429	1038	1059	2110
803	496	1614	1258	895	216	1127	1445	433	380
214	719	888	520	264	500	478	995	799	1498
500	611	662	1551	1038	292	1482	1503	981	885
573	433	1059	1530	949	924	217	540	526	719
900	686	216	480	1355	619	1634	871	1452	855
1205	1001	751	751	1256	689	589	1212	739	923
1417	1013	920	719	1015	573	752	2449	912	1590
445	622	736	430	1364	1070	809	662	209	1252
903	751	1188	560	1242	787	951	1987	555	1544
785	650	650	951	751	623	574	875	572	918
592	310	448	694	1298	430	933	1475	787	729
484	2656	694	976	929	627	875	1195	1595	787
555	669	821	181	0	933	822	825	1071	833
694	427	829	574	1088	917	445	1126	595	623
742	573	589	781	1599	984	751	1013	1442	1839
859	842	940	1116	657	1352	1771	574	996	1038
975	358	966	611	520	442	787	922	1044	1259
757	833	292	1426	951	589	751	1566	1150	930
788	216	445	917	1368	751	622	1425	683	736
346	744	210	984	433	1326	986	1314	1546	1297
224	1412	596	665	905	837	1826	1784	219	1019
580	842	324	1226	1120	626	1085	743	1184	663
607	480	584	885	794	885	1022	1067	1368	917
814	751	902	508	216	212	1687	395	680	380
743	380	800	1382	1015	1614	1112	681	1038	868
757	1023	631	1387	1189	729	623	933	216	1176
603	723	1059	1283	673	543	367	2093	597	1222
682	555	597	540	380	879	807	1329	1509	1681
343	883	433	847	202	1179	912	694	1219	929
696	1312	427	778	636	787	1395	418	2452	1352
416	484	829	611	1327	842	1348	595	1435	732
601	1119	1224	662	521	520	2284	2774	904	1178
788	681	692	680	732	1081	1583	599	1015	1426
619	594	599	716	445	1756	492	785	814	292
746	694	445	595	844	1010	896	631	1430	669
447	216	445	998	1452	555	820	895	1796	1336
521	665	881	1210	595	850	1909	380	1331	698
847	907	787	436	1222	1028	680	611	568	292
723	665	1393	786	919	1245	1650	1190	979	900
360	1017	665	1161	1818	888	281	1654	630	1429
502	962	933	675	850	1249	445	1339	997	1196
663	1086	636	1991	448	508	508	1327	632	786
1427	301	436	1298	445	1570	2371	1318	1251	623
1441	663	674	441	1073	693	680	1252	788	795
1239	839	786	301	1395	944	292	599	787	2910
560	591	931	310	619	1459	555	2579	568	2055
597	751	573	1217	929	1826	502	647	293	917
1041	466	436	214	521	687	787	1371	920	682
935	665	847	743	0	445	751	1650	1059	937
1038	623	414	751	1044	380	1921	445	1633	1312
512	414	1038	690	788	418	1008	433	899	743
407	884	1207	841	723	1753	620	1201	644	1356
597	380	1297	1203	985	801	502	1085	821	655
723	802	512	747	1468	380	837	715	219	1177
446	368	692	778	944	682	891	216	693	1653
445	790	913	367	405	286	681	780	1425	1614
897	1412	514	917	512	1431	1500	1234	693	466
732	917	1387	786	418	597	1414	1757	929	1586
751	698	445	662	789	1386	1264	1112	589	1498
841	982	597	924	610	1448	1402	1691	1356	1653
905	0	687	1060	825	1470	1155	1796	929	418
904	451	589	632	795	842	1156	1039	751	680
658	690	515	748	597	1832	742	1557	1156	622
619	586	663	622	1063	751	1401	589	751	1932
232	929	482	508	1134	1289	1388	988	1150	861
251	433	607	1038	216	787	787	1070	903	893
939	1251	661	770	899	1521	548	837	745	1068
1137	1182	343	574	745	993	662	788	583	767
418	751	970	690	1088	789	611	951	1104	373
950	689	897	748	1096	941	1515	1427	982	1426
762	445	1481	1191	1356	1161	938	1827	444	1004
1335	445	817	899	362	930	941	480	1209	765
935	285	611	751	895	540	618	380	694	875
202	407	982	2371	804	913	1695	1082	2919	1004
751	536	773	292	1336	1124	216	787	1614	1342
445	1015	1073	1150	216	975	1521	686	1154	1252
694	748	942	1250	537	512	1073	743	543	418
1338	607	988	480	631	752	1265	418	1243	680
687	329	484	837	1126	433	1071	482	1526	1007
1038	742	664	1194	736	667	885	4267	615	1236
840	661	366	202	995	853	1337	1148	1004	1036
216	324	456	1223	333	1706	1203	573	1460	895
445	1289	181	1011	571	636	719	1617	1604	2345
405	216	652	743	682	492	216	1318	217	1474
611	659	537	1321	202	801	1013	1456	433	970
1488	1771	216	1001	944	988	599	854	1413	801
840	0	1604	1580	611	595	216	521	854	1071
1135	967	865	787	809	1651	1648	1384	1681	1414
519	224	837	655	808	217	1120	1148	583	661
224	520	960	754	604	445	1500	1007	1308	837
540	1387	454	217	933	623	1912	1324	1535	1011
751	698	1155	492	219	1101	669	502	4347	1003
673	622	1205	217	1650	1186	686	1535	433	611
414	445	842	379	405	632	922	1684	1281	929
933	293	611	568	613	751	1096	445	1270	961
850	508	1155	871	669	416	1119	709	1209	480
820	748	669	433	682	1656	1580	899	694	1507
946	520	380	795	764	433	981	1290	492	1043
209	1057	1217	343	981	984	739	830	1067	417
454	1187	1466	214	665	688	585	1448	877	1856
445	669	1209	1017	844	3741	690	445	255	3673
972	202	830	1015	1070	1353	986	622	831	1205
761	1159	1426	1150	384	1861	416	885	1196	815
281	650	508	719	1318	521	1075	1203	718	789
665	745	521	623	605	836	1430	719	1561	1197
484	716	780	433	1252	920	1653	380	903	1148
527	895	182	407	1197	1038	429	636	743	573
512	619	809	1506	680	1094	775	988	466	1818
698	1126	1038	751	751	1987	659	1554	751	214
513	1118	217	586	619	514	482	767	734	967
466	442	514	844	999	662	853	1517	1070	508
374	484	334	595	1179	1255	611	680	1782	751
607	737	1428	1251	1217	405	2937	430	1007	1468
445	1178	515	751	1130	870	682	986	842	1073
492	445	219	930	950	1314	492	899	430	611
751	816	714	1334	774	868	780	1217	1710	982
451	889	961	537	958	2011	1210	1222	1073	775
414	216	693	672	611	917	1400	1579	1107	436
1458	1530	292	1610	745	623	1090	922	1749	623
251	619	887	364	2371	716	689	904	1276	834
482	998	445	743	662	1426	745	903	1054	1457
709	482	1453	782	217	445	693	433	416	1798
534	604	989	1206	1476	781	751	1509	988	1130
589	380	748	964	214	917	1652	998	1327	895
586	725	403	301	1467	1177	1129	1456	1075	789
682	199	216	846	661	1014	1386	1189	1480	1265
380	680	1072	751	1118	368	1033	995	1195	1764
816	264	1038	1251	900	736	521	1189	787	502
714	904	445	519	1038	751	1071	202	595	555
854	1122	612	1150	292	995	546	982	773	373
512	663	407	874	736	662	1015	1156	704	1191
840	182	217	373	1034	682	1426	951	1929	780
445	1189	662	704	217	786	1015	1479	745	723
573	1653	292	669	619	1104	1202	1038	4219	1124
825	1826	842	298	380	1653	1225	682	573	1126
414	743	1111	622	216	416	892	1329	368	929
784	615	181	445	681	929	1387	1413	1291	1859
809	680	1157	373	1150	537	430	1727	1356	1476
224	262	1294	895	1355	995	433	944	953	854
698	1118	573	762	1025	573	622	614	1318	480
212	1289	1177	920	427	512	1771	925	2025	2327
216	662	1356	1329	712	427	1610	427	691	445
1252	611	960	631	965	181	1459	1442	700	725
451	1150	433	418	445	521	1159	808	682	682
202	930	395	704	1497	540	1150	1291	724	1275
508	955	484	224	847	775	618	1426	1579	680
752	745	418	362	854	519	820	181	1161	933
675	847	606	521	680	682	836	1052	718	611
1041	572	1368	772	421	1379	1343	773	659	441
1076	362	941	543	414	445	445	1948	907	433
414	688	662	917	1298	706	929	661	1584	1015
216	521	816	771	745	1048	1460	346	1613	1004
907	362	1105	1312	655	1067	1382	1220	1206	995
690	414	1355	940	445	1241	1561	1672	970	2341
696	770	368	484	765	1875	451	1150	803	1289
662	217	1792	427	1227	1779	574	1120	1058	829
445	698	687	374	202	484	181	1315	202	430
611	631	1706	1427	1356	589	1396	1675	430	933
574	445	760	1258	1185	540	427	1007	1015	1413
216	414	2937	445	605	292	1295	700	502	1805
595	1534	814	884	1179	202	1565	769	1336	929
521	671	427	217	1150	805	181	751	537	362
805	762	636	751	1610	433	1400	917	736	1340
669	1514	1318	623	1041	682	555	555	663	2222
445	512	929	1121	219	430	917	414	1358	1653
414	520	704	216	897	636	982	870	1483	993
573	693	1408	1453	544	772	1038	264	1258	1210
555	520	920	519	597	982	1483	634	1128	1406
623	623	847	1401	622	1485	595	926	745	830
884	854	656	217	418	704	930	2766	938	589
586	690	1733	414	373	1120	623	521	555	751
751	767	661	1211	993	745	604	623	1160	1741
519	181	762	387	686	885	574	1352	288	821
397	1246	1229	912	1028	795	500	682	1038	751
751	537	447	560	817	1225	1143	1189	537	1047
847	658	362	397	216	1189	1054	751	537	555
543	549	519	216	1086	438	706	1016	1627	1227
732	1544	752	202	573	498	1174	589	1007	1158
219	692	751	1159	418	1144	265	751	1188	623
787	786	1182	1041	1212	492	1096	380	718	1054
1277	358	696	665	1295	1189	821	787	555	512
160	770	202	786	214	1397	1534	655	416	858
508	301	1144	622	1291	694	732	920	1879	1492
217	216	706	281	1366	467	362	965	1868	922
912	199	900	787	929	794	885	933	1236	1695
573	445	1328	500	929	681	1414	751	445	729
520	1426	718	1060	292	1019	451	751	1148	2147
418	905	613	949	570	751	433	599	572	953
521	669	496	842	673	813	891	1859	944	292
482	613	809	995	636	788	774	1063	1682	1636
414	712	1316	1072	1217	1173	1010	1185	944	1184
513	975	418	1029	1537	698	929	682	2137	1066
492	1072	1515	1048	544	1564	690	1150	757	805
742	441	467	1007	1498	917	1826	380	1357	912
767	780	1014	405	745	809	615	447	1865	662
669	1427	500	445	657	929	1059	751	1500	995
801	445	1648	1155	1654	1340	588	255	418	1060
336	362	1327	553	605	713	671	1034	281	953
592	552	217	787	1148	309	920	1337	387	786
619	704	438	820	670	926	436	1607	689	631
202	1461	1015	611	542	751	1497	775	1510	1533
181	673	899	938	1252	414	683	670	1866	380
817	1124	952	634	555	669	694	745	631	988
1120	895	683	1673	704	514	669	2025	1387	1327
751	751	293	555	1667	623	433	402	982	682
1630	1019	1058	433	445	663	742	782	1107	1207
729	433	615	907	444	1818	1066	691	1210	1063
319	1033	622	751	480	466	433	502	982	1209
414	930	680	413	870	789	1174	1036	407	445
445	1023	1161	590	544	1224	1107	743	537	680
751	0	217	430	1102	816	631	925	757	751
484	895	751	373	1765	441	905	741	1432	1206
1083	445	1010	574	1509	1209	418	1727	929	2257
1195	1021	1266	521	1443	1513	1282	496	1038	1502
673	673	683	607	1150	751	794	647	976	1856
466	1053	1327	1162	981	1590	751	430	544	1308
380	202	1015	540	1722	580	418	723	1314	1047
414	859	770	930	445	739	292	572	835	574
286	832	521	1018	868	745	1178	281	807	433
751	836	2011	336	2315	1397	739	380	903	733
1008	652	842	1395	950	1120	451	532	1471	1001
698	745	520	743	885	546	380	837	808	1015
433	663	438	1771	743	623	957	778	217	577
714	553	623	1150	181	903	944	1513	1719	2428
521	718	743	897	1205	1200	454	784	993	1580
1177	855	698	527	1102	944	589	936	834	1088
1036	1544	1371	754	1475	1055	589	732	216	1015
500	786	611	496	867	633	821	1331	1095	362
673	1153	500	1237	1126	544	480	757	555	939
533	736	619	1610	1452	537	512	661	1343	828
895	521	1041	3157	1302	1731	611	930	216	1015
792	650	1338	174	1464	741	745	1279	433	1136
597	374	380	1505	895	939	1401	433	1364	1868
618	1050	595	1210	929	1849	202	281	982	1869
513	433	444	395	445	568	745	1008	1057	647
501	907	362	842	661	292	781	751	1150	623
764	445	1470	1204	1337	1358	433	745	788	1283
433	751	795	611	336	373	1633	1833	1760	929
662	216	943	454	875	786	751	1220	960	1189
976	842	1544	444	1395	719	202	930	1157	868
597	216	696	1364	521	424	929	1426	1088	454
743	281	1856	961	358	589	1636	1252	1093	1240
999	1115	1380	1073	781	979	1765	430	875	789
387	1290	895	405	445	787	1254	1115	1222	623
687	585	671	433	981	418	1456	771	0	380
517	1079	515	976	416	1281	214	1447	1185	929
744	1505	871	832	343	568	445	1767	787	427
951	380	615	433	329	1222	1268	576	944	281
886	803	1067	520	1366	418	933	202	216	199
895	751	281	508	743	1181	663	3899	694	938
536	784	693	1144	502	1082	281	512	1485	1618
738	906	217	929	1045	918	498	751	1452	1217
751	905	288	828	622	739	1371	1593	1683	743
457	555	1096	698	743	1320	521	662	1001	993
856	732	1392	1072	216	1510	663	1526	1011	1498
373	1358	845	595	1580	709	544	1038	1011	623
580	555	397	945	202	1356	1961	454	930	1129
958	1256	202	629	433	625	1044	589	751	1038
512	288	484	599	589	1233	1667	540	1015	694
451	521	1144	1187	683	935	995	716	216	1222
924	693	895	568	808	1054	1189	751	482	787
744	1464	694	1355	1119	1189	1408	1826	1356	1251
278	520	1095	1610	1404	1095	1023	682	555	572
860	920	566	702	1191	1007	1590	1203	484	451
422	445	293	1580	1124	960	808	1269	857	929
515	1259	1572	891	216	1305	1650	607	1302	1150
445	1057	838	418	1208	520	1318	1264	1761	1232
446	572	478	970	875	868	981	418	1085	1894
1062	275	181	660	484	492	745	692	1174	1604
181	988	202	787	899	605	387	292	724	1868
362	445	626	751	742	216	694	219	1261	1553
586	917	502	748	1196	865	809	1629	1826	1556
809	160	324	949	1086	512	891	445	657	780
847	1038	445	1076	480	589	628	984	1119	732
537	787	433	1114	1001	837	555	1740	757	1056
787	202	816	1122	680	214	1252	521	1184	767
1706	589	1435	281	1215	1136	1095	751	445	766
512	379	1706	492	1886	935	445	285	834	3342
482	379	930	1233	724	709	445	929	589	885
216	784	856	903	1065	885	433	500	605	1143
433	573	568	566	496	970	1099	555	854	902
758	751	281	1654	1227	285	1356	688	1840	1007
1150	216	1150	1164	976	589	597	1122	809	1178
914	842	496	588	895	1233	745	1318	1015	1216
1150	905	429	1500	601	1222	1161	761	1174	563
520	469	1428	1206	216	1382	932	445	607	1112
592	537	742	210	1067	1338	216	996	1298	1296
515	589	748	767	595	573	373	933	1034	1327
1356	281	527	875	730	445	1211	2011	1999	1305
414	1151	1135	1132	611	216	181	1184	1124	1007
515	466	517	1394	1072	1159	1771	638	553	597
181	580	673	632	786	1057	2797	574	441	597
997	202	380	787	407	445	1371	1633	597	1598
384	427	362	879	770	662	298	1414	1384	1533
611	742	751	1160	694	433	1706	429	751	809
656	962	902	798	1041	1217	1338	362	1808	465
773	632	694	634	1462	2775	589	1204	555	743
346	897	884	951	1337	1618	1593	814	216	1467
1779	662	659	665	413	1119	1230	751	787	935
512	443	1160	407	413	825	380	724	368	1554
903	418	773	1667	482	683	1812	502	944	1524
655	1276	787	1159	976	2979	970	525	682	623
542	1189	2937	421	521	1313	433	842	1357	787
574	930	929	525	767	1160	2046	1412	1219	1028
1187	519	690	1159	766	589	929	1223	1624	1050
1034	1054	262	445	519	445	397	1807	216	589
216	998	771	885	872	502	521	1124	1630	922
694	1013	1101	770	1206	678	1261	555	1019	751
