0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
760	931	667	1436	738	2146	1222	1704	1263	1175
648	1058	771	931	1388	1224	830	862	2513	611
638	771	820	1718	1600	296	1143	2157	2389	2544
442	489	1231	2375	924	981	1682	2303	1957	2263
598	1037	1055	931	2133	908	2050	967	1299	3163
889	1366	899	638	2305	1299	2169	2020	939	3977
321	531	502	938	1559	1477	1322	1374	2023	3013
894	931	753	1233	494	1833	1962	2698	2908	1167
504	1341	905	1556	638	893	1751	1493	800	2272
628	729	1791	1812	785	1624	1348	2128	1794	1086
590	1142	1156	2707	1765	893	821	1737	2488	1648
1305	771	1216	1214	1507	1504	4076	1972	2400	792
559	1151	1100	2132	879	2008	2484	2724	1372	958
631	711	1765	3865	2055	1053	1147	1165	2779	3440
464	489	784	972	905	7744	2004	922	958	2353
1064	908	4703	1470	777	881	1357	2075	2840	1127
642	821	1261	771	622	949	1033	2530	1458	1760
916	751	764	296	1023	1033	3710	653	3216	2480
2428	531	929	620	1220	1093	1299	1127	1624	1709
1018	464	1270	1187	1125	1101	1296	2135	2332	1714
458	2620	296	612	2831	2190	1122	844	1787	1409
578	1808	842	1727	1415	771	2010	1732	1136	868
642	489	870	1629	1500	1811	3064	716	9467	1674
1184	909	1128	1093	1348	1735	1070	5248	1395	3735
1125	1015	929	1674	170	1801	881	1532	775	2736
560	1283	944	1520	1101	924	1825	1069	1219	1058
1689	1281	1612	1128	2609	1033	2023	1100	2716	2567
857	1360	1316	1577	1707	1309	2507	4746	1176	2076
624	899	1026	1495	1541	1518	5503	1182	2652	1127
796	777	657	1960	931	1905	931	5401	1321	2284
322	1062	1121	795	1007	1072	645	1971	2261	4930
733	1166	1538	931	3493	1739	1098	2955	1918	2000
1630	804	498	1034	622	2298	931	2048	1841	2535
729	1264	889	1685	718	862	1330	1156	2545	2462
1162	698	1349	718	1780	1010	2669	1982	2911	917
463	642	688	938	1033	1470	2363	1374	2298	1458
301	727	786	2362	1154	1093	767	1374	2025	1267
953	2580	716	614	1404	1086	881	746	2115	2473
427	977	645	1386	1764	2032	1357	1609	967	2477
697	1313	489	1411	1661	924	1033	3026	2080	2120
486	1608	1784	1834	2924	824	899	1467	1454	1872
647	1425	854	771	1498	2054	6309	2505	1706	3096
875	787	1194	3262	147	1133	2139	2539	2137	1833
1142	1147	771	1396	2533	795	1023	1884	2817	2095
611	642	1332	771	1963	494	1765	1037	1093	2502
939	851	1222	1102	1223	2838	899	1686	1353	2426
797	866	1262	1377	931	1430	2731	1818	2461	2061
396	632	645	1200	767	3459	612	939	1721	1374
373	806	2602	1438	1337	2154	1136	1405	1961	2043
1010	498	1542	904	1329	1963	1053	329	923	2142
895	801	771	972	916	1866	3773	1731	4256	899
786	1304	1639	1074	1387	2290	2294	808	1460	1173
407	1716	666	611	628	1296	1251	1307	1649	1560
639	667	895	1210	767	1252	1336	2619	2682	2670
292	585	489	1591	1044	2026	1373	6923	1233	2060
657	1037	1345	1568	1657	2459	1308	1583	1877	2410
642	1142	1191	664	1851	2753	1034	755	1235	4334
491	1080	1415	1615	1715	1874	1365	2043	1458	1845
833	1022	1689	1571	795	2043	2352	1851	2475	3012
526	786	667	893	733	1831	967	2392	869	1927
1108	688	847	1019	1844	977	718	906	2750	3397
586	2170	137	2821	1102	1316	2724	1114	3294	2260
906	1542	674	2020	706	1437	1893	2727	655	1747
577	751	1274	997	2108	771	891	2555	1704	1632
505	642	1064	2331	1722	1309	2144	823	924	5581
501	853	967	1415	1147	1556	1167	2302	1299	2906
1794	427	1465	458	771	1470	849	137	1884	2320
521	734	1230	1431	870	1038	1563	1853	2268	3483
538	1259	1662	1552	1294	1842	2460	2271	3109	852
442	659	632	1354	895	1555	1251	2255	1237	2163
427	1094	771	1255	1736	1618	1519	1225	1403	4334
709	931	840	638	1046	1621	2033	958	1722	1173
1410	334	953	1475	1392	1093	2293	766	1903	1780
1016	1108	929	1106	852	1172	2575	1089	836	2971
951	1159	1338	1773	746	2032	1686	1780	1748	1473
684	528	1624	1041	1780	2739	1748	1656	1365	1794
486	917	917	711	718	1487	1957	981	1180	2034
1197	489	494	1398	4195	1853	1963	1492	2533	1184
525	1199	1279	1063	931	653	3597	1779	2867	2535
1558	502	1749	1274	1591	940	1685	893	1770	1639
729	740	771	693	1579	931	1703	1821	1070	1744
915	1042	1061	1296	1137	2465	4102	1222	2175	1184
624	1041	5249	653	1125	1763	2108	3238	2278	1473
836	1071	830	1900	1126	1049	821	701	870	3231
303	1420	667	1307	1676	1281	1348	2159	2343	2330
638	1186	498	1664	2500	1342	821	1814	1240	1886
941	1159	1487	1328	1664	1373	2490	1460	966	2279
358	372	2089	1139	2562	2012	5013	2943	834	2409
733	1682	1492	1373	1029	1038	1456	2032	1151	5458
635	1080	620	698	645	1001	830	1392	1539	893
630	905	651	1564	1425	1730	1133	2211	1316	2048
556	435	498	924	1183	263	1724	2379	1603	1729
606	706	728	1589	1241	1075	1267	3098	2733	1720
334	1085	1632	1328	1604	2236	1531	2308	1594	1019
771	1707	1036	771	1348	1212	955	2020	2498	2311
501	831	632	1036	852	1348	1110	2797	1707	2638
585	690	329	1343	1424	905	2568	1755	2438	1075
489	1276	1911	1832	931	1542	2058	2110	1104	2298
1321	263	3552	670	688	489	1340	1093	1805	2607
147	724	1158	1136	1844	1732	1251	2545	2033	2274
548	642	1507	2452	889	1208	1568	1515	3917	956
442	762	1632	667	911	917	891	2131	2297	2134
1662	771	648	1174	1606	1705	971	4256	1744	2685
979	1516	1730	628	1574	1519	2576	2163	2308	2099
697	642	838	2255	1429	2658	1903	1581	2367	1360
504	637	1766	1140	1417	780	1424	2614	924	1248
457	1036	1361	706	1774	1048	2289	1832	1636	2520
594	1496	1429	771	1348	855	793	1176	977	1474
805	1317	1703	1270	2381	1151	2963	1474	2060	1492
1035	860	1138	311	1315	1044	816	2447	1762	767
582	611	852	846	1155	1377	1173	1208	950	2311
805	3092	931	638	706	1700	917	263	2652	1207
800	561	1253	467	1156	946	2133	2641	1204	1183
1302	1455	869	898	1440	1208	899	2539	917	2367
732	1024	1377	3682	1115	1982	2347	939	2147	1920
551	1191	1410	1044	1669	1692	1049	9159	1316	1403
895	906	648	1042	1779	1173	2226	1766	880	1021
2034	1208	852	1483	916	2128	1895	5445	1366	2205
427	407	1261	1127	781	4125	1914	1758	7116	2631
842	1459	1094	931	905	1905	1533	2589	924	2007
1344	648	976	816	1974	931	1173	1405	653	1139
606	569	1176	1337	1639	1456	1531	2575	2257	3888
590	1007	1296	1118	638	775	2111	2569	1552	1157
728	510	820	1044	3549	2373	2818	2004	800	1734
910	802	1524	776	1295	2872	1316	1595	1822	5766
286	883	1774	907	905	638	905	3601	1773	2907
454	688	569	718	1266	1519	5316	2017	1891	1621
1237	766	620	1086	1041	938	795	1164	1435	2597
784	322	1709	1035	1297	688	1476	849	1635	2193
535	976	1549	1664	2659	2017	1175	1357	6767	3042
843	1416	1065	840	755	1564	1679	2135	2217	928
442	1089	975	1522	2249	2056	1222	899	1222	1033
756	716	1858	1551	1372	1048	1905	1589	2872	931
866	1127	1359	895	586	967	777	2052	2886	2966
