0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
0	37	6	12	40	26	58	72	16	74
2	0	1	4	42	3	139	69	19	27
4	31	35	20	17	691	52	65	26	222
12	19	22	28	103	51	11	39	381	10
1	7	21	12	6	9	31	87	30	382
30	3	24	33	3	6	26	88	28	26
5	1	3	25	39	89	14	126	184	33
12	6	4	18	1	30	71	89	145	23
10	2	78	18	17	36	54	59	78	72
10	9	3	34	28	20	103	18	577	93
3	13	2	7	42	64	5	13	15	81
0	5	4	48	11	13	53	43	149	31
4	19	8	4	8	32	9	158	43	95
0	14	202	22	2	49	11	79	15	10
0	0	4	49	9	32	64	73	63	67
6	12	1	13	2	6	33	125	18	20
16	20	2	205	49	26	41	79	22	17
6	0	3	104	172	39	4	82	72	63
9	4	2	57	5	18	36	104	7	4
7	16	3	31	26	63	42	49	52	79
0	10	2	7	104	5	53	7	86	12
5	28	0	62	4	4	61	37	33	20
0	2	39	50	40	4	11	36	1	4
3	5	3	27	13	1	47	6	56	27
0	11	18	57	3	25	3	354	34	55
6	2	71	26	31	2	68	104	119	20
2	6	49	22	2	36	75	110	12	79
1	9	50	18	34	33	84	25	124	51
8	8	2	3	25	22	5	83	9	17
3	11	1	30	5	78	87	35	4	43
7	8	1	46	6	43	3	17	111	2
2	12	17	4	9	38	15	5	86	47
2	12	9	0	2	17	3	27	54	137
6	18	4	65	60	10	66	32	68	109
26	8	5	66	37	17	70	195	4	107
0	21	43	2	2	84	527	111	104	74
2	9	4	55	19	2	4	14	95	16
7	5	11	39	37	0	2	40	78	34
0	13	1	29	14	27	65	46	113	12
0	2	4	2	55	2	15	15	21	3
5	2	6	35	17	17	15	129	71	55
0	10	22	45	10	65	234	39	60	141
7	3	30	41	49	59	53	57	91	72
4	14	2	4	20	15	39	34	5	9
16	5	10	35	2	41	4	50	66	194
0	9	15	16	24	33	54	24	37	190
7	15	17	91	8	2	23	11	16	10
3	15	53	26	5	13	22	47	20	4
4	1	36	1	25	16	9	79	22	517
157	5	21	59	2	8	148	7	18	6
13	16	3	81	24	34	91	62	17	16
9	228	37	27	22	62	64	31	122	89
12	20	10	10	16	79	95	44	32	98
10	0	31	10	3	7	3	2	24	151
7	124	22	6	6	15	11	19	32	206
1	2	32	45	56	93	92	136	102	109
0	16	3	8	26	18	48	83	13	84
7	7	23	25	30	37	16	19	79	22
1	31	2	8	9	21	235	59	44	3
3	23	56	260	67	23	11	276	76	130
13	1	23	3	89	4	65	11	63	42
4	18	12	13	55	2	47	52	62	19
2	9	11	46	39	103	35	60	20	5
11	8	5	13	6	4	73	54	60	85
1	10	8	15	36	3	18	70	7	81
10	0	12	7	3	72	24	29	46	31
9	8	0	41	11	7	8	71	22	67
7	0	1	1	66	32	18	40	19	12
7	14	0	16	12	15	82	65	7	3
0	5	10	24	50	22	11	50	79	42
99	7	97	24	16	10	6	80	12	14
6	8	12	75	46	4	3	18	3	1
19	11	29	148	29	11	6	84	11	5
11	9	39	9	9	10	4	79	57	38
4	1	11	14	39	59	5	18	18	107
18	0	8	57	2	7	2	95	65	33
11	9	6	35	18	28	22	24	15	10
9	1	4	49	67	32	33	26	36	34
2	2	20	8	47	57	1	23	2	4
1	10	8	3	39	29	61	9	68	167
2	16	2	7	13	101	41	45	27	45
0	1	16	5	103	16	5	108	40	118
12	4	10	13	29	436	46	7	159	17
12	3	24	15	80	2	2	55	41	13
14	11	80	5	3	11	50	194	307	36
11	3	8	26	106	1	6	154	35	213
1	12	20	8	4	64	32	16	48	55
2	35	36	18	30	2	108	145	90	102
2	6	7	39	15	4	75	77	50	7
10	4	35	5	4	45	78	53	72	65
8	13	6	1	10	3	33	193	4	57
0	10	1	57	60	57	188	75	4	40
20	24	11	59	43	11	6	79	61	6
0	2	27	278	2	47	71	120	114	208
0	9	14	15	4	5	34	6	188	4
10	4	0	35	12	2	27	49	133	99
8	7	23	4	5	18	14	56	11	107
1	53	112	8	4	140	8	6	29	51
9	6	4	77	66	48	64	8	12	168
15	9	13	3	26	24	37	3	9	35
9	15	7	22	10	11	34	27	10	100
8	7	5	65	104	8	17	73	68	95
0	0	9	6	3	35	11	70	5	72
