1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
1	5	4	0	0	2	3	1	0	4
0	0	1	1	0	2	6	2	7	0
0	0	1	0	1	0	2	1	1	0
1	0	0	5	0	3	4	1	6	0
0	0	2	0	0	0	0	0	0	5
0	0	1	0	3	3	6	0	3	5
0	5	1	1	2	0	0	0	0	0
0	3	2	3	0	2	4	0	0	0
0	0	2	4	0	1	6	5	0	3
0	0	0	1	4	1	0	10	9	13
0	0	1	22	0	1	1	6	8	1
0	0	5	0	0	5	0	1	1	5
1	1	0	1	0	1	1	3	2	11
1	1	0	0	3	0	0	2	16	0
0	0	0	1	0	0	1	2	2	4
0	6	1	0	5	1	0	0	3	0
0	1	0	5	0	0	1	3	9	1
0	1	0	2	0	0	0	10	3	0
1	0	0	2	0	0	0	6	3	2
0	4	2	0	2	2	0	0	0	0
0	0	3	0	1	0	2	0	0	1
1	15	0	10	4	0	1	2	2	6
1	0	0	0	6	2	1	3	0	4
0	0	0	0	0	1	0	0	5	3
0	3	4	7	4	2	1	8	2	4
1	0	6	3	1	4	0	28	36	9
0	0	1	1	0	0	2	0	0	2
0	5	2	0	7	0	4	0	0	0
0	2	1	2	0	1	0	1	2	3
2	3	0	34	1	1	1	10	5	5
0	2	1	1	4	8	7	0	7	0
4	0	0	5	0	0	0	1	1	0
0	0	3	0	2	0	5	4	0	2
0	0	1	1	2	0	0	1	0	27
0	0	23	0	1	7	19	0	6	3
0	0	0	1	0	2	0	3	5	1
1	1	1	0	1	0	7	0	0	4
0	0	0	1	1	5	0	0	3	3
0	1	1	2	0	4	6	2	0	2
0	28	0	0	0	31	1	9	0	4
0	0	0	3	5	0	1	1	1	1
0	0	0	0	13	0	0	0	3	2
1	0	0	14	1	9	1	0	2	12
0	1	0	0	1	2	0	2	5	4
3	0	9	3	3	0	0	2	3	6
0	3	0	0	10	2	1	1	33	7
1	1	0	1	0	1	5	1	0	9
0	1	3	0	3	3	1	1	4	1
0	0	2	0	0	0	7	1	0	8
0	2	0	0	0	5	9	0	5	0
3	0	1	0	0	0	5	7	10	0
2	0	0	3	0	7	1	0	7	11
0	0	0	3	62	0	1	0	2	2
2	2	1	2	1	0	0	0	2	5
0	0	3	0	5	3	0	1	1	5
0	2	0	1	0	0	0	3	50	5
1	3	1	0	5	2	0	1	1	0
0	0	0	1	0	1	4	3	0	5
0	0	0	4	0	9	0	1	11	0
0	0	0	1	1	0	6	0	1	0
0	1	0	4	1	2	19	0	4	2
0	0	0	0	0	3	1	4	9	6
0	0	0	0	1	2	30	2	2	2
0	2	0	0	2	1	5	0	0	7
0	3	0	0	5	3	0	2	12	3
0	2	3	1	1	0	0	0	0	0
0	0	2	0	0	3	0	0	1	5
0	0	0	12	0	0	2	21	7	3
0	0	0	0	1	0	4	2	4	0
0	1	3	0	1	0	6	3	2	0
