0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
10	19	12	10	9	32	16	135	69	131
0	15	13	136	22	92	0	38	5	196
39	10	10	61	79	97	19	8	13	16
22	4	28	3	24	3	40	19	5	311
3	3	36	32	8	14	18	5	84	5
12	17	8	77	55	150	13	119	26	95
3	5	1	40	2	6	179	102	6	13
0	1	11	19	50	43	30	22	135	28
0	9	51	1	6	74	22	131	44	30
0	14	32	3	2	35	121	9	24	33
5	14	10	46	41	42	33	13	68	16
6	13	2	11	7	30	72	108	30	22
4	28	11	23	14	17	36	13	98	95
9	3	29	5	31	38	78	64	52	65
3	10	2	27	3	60	45	11	91	0
35	22	28	1	16	22	85	54	4	46
16	20	6	11	43	58	69	508	11	19
1	55	25	11	48	51	3	65	4	100
16	14	8	60	13	11	37	62	19	68
8	15	19	44	64	27	46	23	18	7
0	32	26	67	32	7	26	24	39	82
0	89	20	5	39	9	61	38	110	27
1	2	38	0	79	18	55	105	53	5
3	2	10	56	130	97	3	154	9	86
34	11	10	4	16	65	76	5	38	43
5	1	1	52	68	54	82	24	7	81
5	0	52	5	16	6	41	61	77	178
11	1	3	8	1	11	32	131	62	18
0	1	14	4	21	332	80	161	9	5
4	15	9	1	5	28	6	85	441	152
0	4	43	13	25	91	10	7	258	6
11	2	4	38	12	8	50	18	62	105
8	23	0	49	4	114	66	45	7	24
10	1	50	269	0	1	312	95	12	32
3	26	12	57	4	18	34	63	55	97
0	8	48	29	0	1	3	113	30	164
3	31	100	20	15	55	42	70	20	68
11	13	32	16	11	28	29	124	3	137
0	19	1	15	34	28	5	14	135	40
1	6	32	58	43	10	64	90	41	67
1	10	3	1005	7	18	96	62	37	110
3	6	8	6	12	52	63	22	238	96
8	6	18	10	6	50	3	18	51	75
4	8	38	2	2	7	107	9	37	55
5	12	28	3	38	44	48	77	157	119
1	15	6	27	112	55	93	2	55	138
2	13	7	45	25	21	11	28	27	67
6	9	10	20	11	68	66	9	5	10
19	8	9	1	26	79	38	88	84	93
4	16	16	3	80	36	46	56	27	41
1	2	32	43	4	6	36	79	193	69
1	34	24	0	65	40	72	14	66	30
5	3	58	16	37	25	95	28	4	59
6	30	1	17	17	107	46	171	86	94
0	12	33	70	36	13	78	141	32	9
13	6	7	9	24	8	9	44	159	16
1	2	21	18	401	35	48	88	115	524
0	1	2	3	2	42	35	96	131	91
1	4	8	51	48	103	38	25	23	96
1	36	17	30	9	20	17	48	121	97
0	24	3	3	45	19	92	18	81	388
0	46	114	20	31	98	25	128	149	12
9	7	55	3	58	4	178	12	77	76
5	0	23	9	34	4	48	21	66	36
7	48	28	31	43	7	5	56	188	51
0	14	8	129	14	7	32	3	60	43
0	12	8	21	78	109	25	26	56	88
33	16	41	30	48	14	41	89	47	4
21	21	9	3	39	9	133	49	23	110
38	22	1	27	0	9	6	6	91	72
0	6	15	30	11	33	63	12	27	19
43	8	64	86	49	4	26	48	37	28
7	7	6	41	40	60	45	12	50	9
3	16	34	27	50	61	69	46	123	412
9	2	134	40	21	18	20	2	59	129
21	17	21	94	7	11	25	12	20	8
7	42	2	57	2	44	307	46	14	26
8	1	29	95	29	54	45	67	56	11
1	11	16	5	31	6	26	44	22	68
4	0	12	7	16	67	8	8	66	195
0	22	28	26	7	23	8	132	175	2
22	11	4	0	74	67	29	6	81	97
8	22	25	6	5	25	60	44	27	104
0	13	10	13	12	23	18	116	44	20
0	17	7	36	16	43	34	14	82	7
0	24	46	52	38	105	49	24	20	214
3	13	7	19	22	32	2	46	32	7
11	12	17	34	39	7	8	27	50	25
6	22	33	54	52	12	13	73	2	62
6	8	35	11	57	51	32	10	27	22
0	25	25	30	43	12	7	79	4	6
25	14	1	37	6	67	110	56	22	60
1	24	14	30	24	24	58	11	62	4
0	7	3	2	23	52	2	20	1	67
22	12	8	53	2	10	32	4	36	53
2	155	14	75	3	9	101	54	49	39
3	1	35	29	2	17	8	50	61	65
1	7	32	18	45	19	4	31	12	26
7	20	41	54	28	25	15	75	54	130
3	17	71	10	10	8	38	6	7	144
0	46	28	5	7	23	110	91	10	117
9	120	24	26	15	5	37	43	8	7
1	1	4	4	16	44	62	63	83	12
21	10	0	11	16	9	76	142	22	146
0	23	261	23	18	31	36	91	94	60
19	8	2	39	6	73	11	127	23	91
33	26	0	18	33	50	16	72	9	91
4	23	3	9	29	10	14	101	89	144
0	10	47	15	12	1	24	308	100	27
2	15	18	2	4	1	9	862	9	73
8	13	4	9	31	33	24	11	26	23
15	1	17	16	2	6	62	160	45	37
3	0	1	39	13	42	6	50	1512	4
11	2	24	42	30	37	21	78	53	12
13	1	3	51	17	66	39	12	60	2
8	12	1	2	44	32	15	20	2	20
4	1	2	33	36	89	107	11	10	22
3	1	5	21	126	21	21	36	798	37
1	16	45	4	18	35	4	86	77	5
13	29	11	2	37	37	18	44	8	31
11	1	2	14	2	15	27	12	50	685
2	8	62	8	12	53	0	138	23	74
1	3	0	30	117	10	5	68	12	100
3	7	15	38	158	31	82	4	79	185
4	10	41	165	9	24	47	39	28	184
0	158	27	16	109	6	18	43	52	11
2	22	2	5	18	59	60	38	54	94
5	13	54	33	10	1	43	17	92	39
7	9	0	30	21	38	50	4	89	10
7	1	33	9	23	47	18	44	58	78
7	1	4	0	28	16	57	47	68	104
0	35	16	20	1	0	42	4	23	5
19	1	4	6	15	43	60	21	24	65
6	8	2	7	6	82	31	57	75	3
9	3	10	33	45	54	5	21	6	84
5	1	6	45	28	2	13	6	13	48
1	2	33	20	67	6	9	134	90	46
10	8	2	17	103	12	23	1	11	45
6	17	32	8	17	4	62	48	15	9
4	5	33	96	17	51	2	138	104	37
2	48	24	16	0	52	17	34	24	51
9	12	14	35	3	58	31	123	24	53
7	18	5	64	14	7	66	2	11	31
4	36	17	59	29	16	14	51	4	15
5	5	16	13	48	5	190	5	56	92
160	15	7	21	33	16	42	26	55	19
1	6	5	42	14	33	54	89	6	11
2	9	25	29	33	12	56	5	22	4
5	14	16	26	90	8	462	26	31	4
0	70	2	35	24	20	88	4	108	25
9	3	66	17	3	92	288	29	57	66
6	9	9	2	11	47	6	15	86	40
0	9	20	13	10	25	4	304	3	76
11	8	5	7	14	28	57	14	42	11
42	9	2	9	20	16	6	24	47	16
2	21	47	1	9	104	4	14	8	48
13	1	266	63	4	97	58	4	53	235
7	8	10	19	12	113	112	6	125	26
1	6	7	22	50	24	9	116	61	124
0	11	12	90	20	2	13	271	1	87
0	1	36	39	429	46	26	3	92	25
1	10	14	30	6	17	45	8	15	189
47	2	20	4	51	5	75	54	42	24
17	14	6	13	3	28	46	62	19	170
6	5	18	13	57	5	47	54	18	17
15	17	27	40	101	15	4	49	15	71
0	2	63	27	4	8	26	24	9	30
1	9	29	57	7	61	22	54	65	16
13	15	48	89	2	20	47	37	9	14
2	2	8	20	56	46	22	18	110	31
5	1	27	9	2	30	22	69	78	18
0	11	21	46	151	72	28	13	91	57
1	40	5	52	26	57	22	49	27	142
1	2	0	30	8	18	62	35	6	32
10	31	13	15	19	179	8	23	147	135
5	14	50	5	13	52	66	6	25	120
15	24	33	1	16	73	6	44	38	90
0	3	57	29	13	73	26	101	46	15
16	4	4	4	23	52	66	89	12	62
1	42	76	6	5	59	100	11	23	16
13	2	23	137	5	11	11	88	8	6
1	12	3	35	159	30	85	16	118	45
1	19	2	28	45	30	595	25	157	23
0	4	9	13	64	218	28	31	30	61
0	9	9	34	68	3	83	86	255	138
2	8	164	11	1	8	20	41	62	15
5	27	17	5	31	9	16	51	9	26
5	23	11	9	18	5	47	2	55	24
2	0	6	26	52	7	1	29	67	4
2	2	79	28	29	21	62	53	50	160
7	15	1	76	5	7	65	102	123	37
11	1	4	46	85	46	60	10	153	191
0	14	8	3	2	1	138	31	17	18
3	0	22	4	72	63	14	19	15	7
6	0	31	72	56	6	40	76	17	8
7	5	3	2	7	30	63	44	45	7
2	4	7	19	19	11	62	19	10	92
1	1	16	97	10	52	100	18	78	51
6	1	1	10	19	4	55	18	442	28
4	7	5	30	6	32	98	6	19	66
4	5	0	23	34	40	118	74	151	26
2	0	0	47	140	32	22	53	6	195
4	4	28	13	38	53	41	108	31	33
2	174	51	2	2	71	52	6	120	25
17	17	1	48	209	57	196	83	3	20
1	2	260	27	83	12	82	13	54	67
2	15	16	32	29	56	87	88	90	37
13	1	13	35	114	235	68	7	61	7
5	63	13	5	1	36	21	63	5	15
2	17	15	146	72	11	58	74	47	102
7	13	9	8	4	18	34	6	25	240
18	4	25	20	2	5	84	34	2	41
0	23	2	15	11	113	26	55	62	13
2	36	60	2	47	91	0	12	45	8
2	19	4	14	3	35	22	103	52	24
2	1	19	51	7	3	15	74	304	29
38	41	8	21	0	66	117	17	71	24
5	9	10	152	15	63	52	79	55	37
15	5	95	15	3	3	19	31	148	14
2	14	15	3	14	44	47	6	12	44
14	210	30	145	13	72	55	22	83	41
4	5	59	41	18	113	1	29	140	47
13	13	1	1	22	2	26	15	75	12
4	0	2	3	6	65	45	60	2	57
4	13	12	16	0	9	24	3	249	3
2	16	5	15	3	14	35	31	4	209
4	1	110	8	50	35	4	23	94	12
0	1	6	16	39	50	77	108	6	5
0	3	38	46	53	25	3	57	14	103
0	27	6	17	69	46	88	67	36	2
48	18	13	1	8	8	76	8	7	2
2	1	30	2	22	128	6	16	98	16
0	14	25	6	32	42	12	83	44	29
0	3	1	89	50	19	52	3	66	34
7	0	23	0	9	58	108	27	53	42
1	14	10	28	51	20	85	51	6	19
3	7	46	86	2	27	70	21	27	64
13	77	6	4	62	21	12	6	54	50
7	9	17	19	3	19	23	22	10	21
0	8	1	39	12	5	51	185	28	184
23	0	0	6	56	45	97	68	101	11
5	1	2	1	49	23	50	80	34	50
5	5	13	30	34	29	54	40	57	86
3	40	22	42	16	47	61	46	7	25
12	4	25	3	50	5	37	8	60	13
7	6	17	39	66	148	82	2	203	31
0	8	5	16	6	71	96	42	16	117
5	22	43	24	70	8	32	83	86	64
12	2	87	42	50	17	148	45	6	161
12	10	28	44	69	36	32	14	12	38
2	0	50	31	47	13	10	11	62	215
17	8	54	16	102	156	112	65	1	92
0	9	6	68	7	46	44	140	17	48
0	8	32	23	24	59	75	59	55	19
0	0	3	31	24	7	13	12	65	52
2	0	18	77	49	5	82	48	4	115
1	39	4	10	57	9	2	46	20	17
4	28	0	4	18	18	0	12	50	6
11	10	66	3	48	10	7	49	413	9
9	15	10	32	36	29	129	4	14	57
1	1	9	46	41	69	5	63	10	5
27	33	4	0	102	5	137	31	22	15
15	6	4	19	107	10	7	15	84	17
7	1	38	21	31	64	23	25	5	56
5	33	36	1	35	21	70	7	172	31
5	11	9	16	3	17	41	86	52	46
1	1	3	8	2	8	99	13	51	40
1	12	19	4	34	10	42	413	3	9
1	19	26	8	11	31	3	2	8	36
9	5	25	2	20	16	3	79	91	65
2	14	2	1	1	2	22	22	14	81
202	5	3	4	26	3	38	88	50	21
7	0	37	20	43	16	21	35	12	94
16	3	7	63	64	44	21	64	72	63
7	16	10	20	114	4	17	474	3	14
1	80	2	33	20	51	97	541	5	236
9	5	13	7	45	27	7	23	19	42
1	5	2	85	40	15	84	103	68	11
0	15	23	91	91	44	54	10	34	113
0	25	12	17	15	9	39	79	145	537
13	63	24	36	12	98	75	25	119	259
10	4	37	44	86	22	223	14	64	75
0	17	16	8	5	109	10	91	72	85
12	3	90	22	4	51	32	30	71	21
