1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
1	2	9	16	24	24	27	62	25	23
2	15	3	29	11	19	63	33	37	25
1	8	7	24	34	50	14	21	5	69
3	7	4	26	1	44	26	33	23	16
1	3	11	19	19	36	8	11	20	14
2	1	17	16	8	4	11	64	4	72
1	4	32	6	24	21	89	29	14	25
3	6	7	6	9	4	17	18	19	32
2	10	8	8	10	16	22	31	23	13
1	4	29	18	12	11	9	28	44	30
1	8	9	19	22	8	27	24	35	41
1	2	5	11	10	19	32	10	13	11
2	3	9	7	78	13	33	14	27	17
5	5	27	6	82	10	20	25	23	25
3	13	3	8	31	13	25	17	31	10
1	4	3	5	29	21	6	23	23	37
6	3	5	13	40	12	27	4	27	22
1	4	5	8	27	18	12	3	79	2
1	5	9	8	14	20	8	85	15	13
1	7	2	13	25	16	42	11	17	20
16	9	15	57	27	16	27	11	3	48
3	2	7	7	8	57	27	22	22	10
2	8	7	6	10	5	51	15	50	24
1	22	21	12	10	22	40	34	23	6
11	6	6	8	8	33	24	24	20	67
3	4	1	8	16	8	27	77	39	39
5	2	9	10	7	8	10	40	21	56
1	2	9	3	22	27	16	13	9	22
3	7	6	4	26	27	18	83	13	16
5	12	2	2	20	19	8	117	37	28
13	3	13	52	11	5	21	22	8	23
5	4	13	30	13	11	28	11	22	20
10	4	5	26	7	27	35	28	1	30
3	3	11	7	9	48	12	3	14	50
1	2	4	11	6	47	12	8	103	56
6	1	25	6	3	19	30	7	18	43
22	1	5	16	6	72	11	10	13	10
2	3	6	5	21	30	31	18	40	22
14	14	9	18	6	18	23	15	29	46
2	3	39	30	15	10	36	17	17	20
13	21	15	11	5	16	72	58	29	14
6	3	7	11	17	34	7	52	10	12
5	8	15	5	17	24	9	24	16	35
1	5	4	5	13	41	25	28	11	4
11	20	18	11	6	41	30	9	50	31
4	13	8	13	17	31	24	41	14	49
1	3	6	18	6	13	107	14	70	5
2	10	10	108	7	14	6	133	19	34
6	7	10	36	3	17	13	18	24	37
1	3	4	2	11	11	16	21	123	14
1	11	3	10	13	57	8	14	33	40
4	5	11	9	52	7	8	30	28	32
5	17	13	7	2	10	13	20	46	6
5	2	4	14	28	10	18	30	20	47
1	12	5	9	17	36	1	30	24	28
3	7	10	15	12	10	6	7	62	45
1	22	21	3	41	31	19	74	26	15
2	3	8	25	16	9	28	36	3	23
2	7	5	11	7	159	25	14	11	152
3	17	5	14	13	10	24	24	27	30
2	2	3	19	10	11	13	13	34	4
2	3	11	4	38	39	7	31	19	18
2	7	17	28	7	20	23	14	40	57
3	4	8	9	20	36	15	20	25	20
4	5	5	19	6	21	48	12	23	27
1	5	25	6	16	14	18	101	32	13
5	8	6	9	30	20	29	40	15	20
8	12	4	25	12	24	25	14	18	3
5	8	20	7	7	13	13	10	14	22
1	6	4	7	17	19	12	23	47	16
4	7	10	18	12	17	4	27	30	75
3	2	14	32	4	32	24	13	8	28
3	4	12	17	21	7	10	28	18	98
2	14	6	8	57	3	8	14	6	23
3	5	8	24	4	30	106	12	21	70
8	7	1	5	19	22	15	6	19	13
1	7	5	17	5	16	36	51	69	65
6	4	3	10	19	10	2	41	58	12
1	1	42	42	24	2	26	52	25	31
8	7	3	9	13	34	25	29	26	17
1	1	6	10	33	38	9	50	18	48
10	47	19	23	15	13	15	22	17	136
2	5	3	36	16	70	11	37	24	7
2	10	16	9	14	15	2	29	27	38
8	11	9	16	55	35	32	15	13	13
3	1	9	21	7	8	17	77	42	134
3	10	7	43	9	13	24	61	30	10
3	2	7	10	14	35	20	33	59	87
1	8	24	6	12	25	19	10	19	42
2	13	6	5	18	11	27	18	14	22
1	11	3	5	14	24	17	43	17	30
1	13	5	6	12	23	14	23	36	14
1	4	6	13	60	24	11	30	23	31
7	8	9	2	8	62	14	28	9	17
2	58	4	10	47	58	6	8	35	28
1	19	7	8	19	9	13	30	12	11
2	23	4	11	26	11	11	45	7	23
16	7	12	4	9	11	80	47	16	31
1	5	31	15	2	12	37	23	6	41
1	3	38	27	18	16	26	13	37	59
1	1	7	9	19	36	15	39	80	8
3	3	38	9	7	21	10	7	14	48
1	17	3	41	25	9	50	29	25	48
8	5	22	11	9	20	21	21	35	80
3	7	5	15	15	54	1	8	11	14
2	19	4	4	23	20	15	14	13	22
2	4	16	34	18	14	85	12	131	71
8	2	7	4	8	7	34	53	54	22
2	13	8	10	34	12	60	55	24	31
2	2	25	10	8	11	24	29	11	3
2	9	35	7	6	7	21	14	15	9
1	5	8	14	11	23	10	36	26	24
4	1	3	17	17	6	10	35	36	15
1	15	11	18	29	16	22	10	8	34
1	29	9	22	8	7	77	24	16	22
3	3	4	5	4	22	10	17	31	32
1	6	41	11	25	17	5	27	4	34
3	11	4	18	33	11	2	10	57	38
21	15	13	74	9	12	18	60	47	63
1	3	4	23	21	8	17	74	38	20
2	4	20	20	12	40	31	19	35	48
2	45	6	22	19	25	10	15	11	59
4	3	6	9	75	12	39	15	12	19
3	2	22	2	8	33	27	16	8	15
1	4	6	17	15	27	9	15	22	25
9	17	5	5	17	68	40	17	39	12
2	6	13	56	275	35	14	1	52	41
5	6	3	11	23	18	12	18	149	19
2	4	8	8	14	6	35	24	10	46
1	3	2	17	20	58	45	7	8	3
2	9	19	17	8	9	13	44	9	20
1	3	13	12	17	18	27	21	8	26
1	12	6	28	12	5	11	8	39	43
