1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
235	216	150	235	275	215	455	362	662	194
273	210	264	289	461	228	281	675	398	270
264	217	336	519	175	235	174	702	210	609
156	264	174	613	222	456	349	541	480	161
212	181	492	709	263	295	499	264	169	261
160	183	252	466	190	264	288	781	663	289
215	177	180	470	488	177	580	492	275	150
165	281	431	495	237	285	342	480	295	150
178	492	301	230	247	263	336	615	261	208
268	189	153	235	334	403	153	1013	680	180
177	180	282	445	334	383	151	508	916	282
161	177	261	260	280	403	445	235	152	405
296	155	649	553	445	216	403	282	466	286
178	261	202	459	523	430	292	661	216	349
160	585	235	292	512	164	624	590	781	565
177	438	444	801	639	216	264	583	510	445
150	281	217	289	498	344	546	402	659	362
264	289	208	217	215	292	298	787	680	384
232	200	409	373	549	526	217	362	260	519
229	178	200	459	418	362	346	461	302	414
276	155	236	380	155	426	225	550	163	521
224	444	445	380	182	338	670	607	252	199
287	268	165	396	362	338	281	282	225	334
232	155	273	287	216	264	180	415	631	480
153	219	409	297	552	586	301	440	235	380
251	190	470	228	433	378	414	456	255	206
160	161	336	433	261	338	301	373	228	338
165	263	269	211	544	521	362	153	262	268
286	163	150	484	413	263	439	224	623	563
215	202	181	685	553	351	691	670	264	362
235	225	287	427	281	445	228	709	427	235
153	543	334	289	433	480	370	235	380	831
216	200	224	202	263	671	947	595	521	166
274	162	270	829	236	413	174	380	543	192
263	201	181	288	376	573	252	433	601	228
182	202	292	242	496	582	854	283	556	459
202	180	641	730	264	508	289	492	454	405
289	534	174	383	519	292	357	680	570	380
281	176	228	179	503	706	301	716	361	178
181	228	287	368	236	499	433	429	445	509
249	286	445	575	379	241	396	432	576	264
151	252	217	180	273	414	565	222	577	329
203	199	283	441	384	403	273	663	338	351
153	444	427	427	232	293	169	199	433	871
152	179	482	289	488	362	405	369	416	444
249	173	319	217	262	466	208	295	480	502
273	173	362	227	493	230	199	199	402	190
216	277	680	264	166	480	462	160	222	428
289	216	407	235	543	181	161	199	414	430
199	185	542	168	639	482	399	480	211	616
174	201	369	546	150	178	466	638	546	445
284	281	268	217	690	523	217	488	290	598
289	178	192	319	256	414	484	283	277	816
235	163	338	264	570	443	519	264	521	414
194	175	162	264	415	540	208	620	160	405
194	519	216	163	573	194	384	499	282	338
247	225	163	155	282	293	619	452	181	436
293	194	416	444	426	380	521	480	373	222
237	179	348	206	433	488	577	173	169	256
260	289	362	362	298	160	480	212	414	242
235	492	152	642	338	216	292	228	180	607
261	174	159	588	319	663	504	156	487	235
272	521	217	492	447	414	574	338	602	249
228	351	397	462	493	216	738	540	380	462
224	232	430	216	334	150	264	367	550	455
256	436	187	158	217	570	427	216	461	704
215	174	211	405	150	443	480	480	532	482
155	465	160	492	228	288	390	194	494	173
217	292	454	264	397	444	210	179	362	660
185	264	286	426	368	300	181	264	565	416
203	225	163	485	511	224	343	723	680	441
255	228	438	190	178	286	427	334	710	180
193	185	163	534	290	365	228	338	415	373
190	175	698	217	543	285	523	255	628	202
295	232	173	208	174	508	445	261	235	424
199	289	300	462	182	542	281	737	459	180
235	277	298	331	431	427	496	391	663	623
295	225	458	163	250	268	581	454	338	624
295	508	217	268	433	225	181	639	228	405
282	455	286	264	287	369	416	619	389	385
281	480	292	177	433	217	362	353	158	564
174	217	399	150	174	214	749	492	438	492
194	298	180	180	208	439	338	658	427	407
193	246	158	264	373	280	151	744	448	429
295	292	492	264	560	219	455	235	186	177
289	392	373	459	416	538	186	202	391	414
293	540	356	251	276	362	475	247	275	502
206	273	572	426	225	466	166	444	746	960
