0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
375	7	404	323	67	2	739	3564	115	435
0	4	313	13	35	22	263	81	431	350
5	0	540	204	584	1092	1134	2110	1106	1017
6	165	418	484	231	696	18	1634	2	266
313	11	28	95	1285	23	244	7	213	579
117	376	16	1319	319	353	490	291	875	855
141	96	150	2	1860	198	49	1575	727	285
0	20	10	171	434	0	70	907	66	3
5	187	150	3	106	818	409	249	199	966
64	147	3	273	35	41	397	764	580	489
2	1	7	1253	130	346	476	677	87	721
1	300	14	286	491	798	80	598	1308	190
39	265	661	1239	299	238	626	240	25	355
11	3	758	473	3	643	622	220	922	69
72	114	6	112	463	6	552	263	729	397
26	19	264	47	204	2	409	4	578	754
3	0	417	13	154	134	759	949	299	1851
4	12	82	590	168	1007	711	531	362	693
0	335	1208	7	1018	517	54	473	906	859
172	128	323	527	513	55	4	221	11	268
0	17	105	121	0	647	29	453	2	1223
101	203	268	14	150	445	392	350	872	69
3	0	44	23	380	654	64	18	5	50
1	113	327	170	0	3	869	24	652	531
16	294	528	107	75	872	432	3	768	587
6	2	8	32	348	521	0	301	31	780
436	2	0	35	746	411	208	477	636	813
30	35	11	249	849	58	502	2561	657	1354
0	0	457	31	207	88	510	806	1864	5
202	380	49	2	549	79	873	1371	825	499
0	80	177	43	277	367	20	542	787	69
6	95	164	0	851	809	767	446	2	422
0	161	3	339	583	532	682	68	573	898
0	19	93	441	59	20	89	348	360	222
74	183	447	5	40	574	497	451	840	97
19	27	170	52	99	272	243	438	1035	928
0	5	75	202	405	1278	706	287	505	11
382	109	6	183	9	818	25	361	312	481
20	187	135	144	2029	489	912	5	143	719
271	2	448	230	241	277	475	762	77	607
2	86	291	800	3	1027	333	890	128	392
0	2	368	201	422	708	267	8	543	1372
14	602	109	381	1144	190	725	706	1560	4
1	174	131	393	33	12	419	27	36	6
63	54	20	431	74	243	344	944	1051	46
1	69	26	2952	348	582	7	615	474	181
92	147	11	5	1606	3	71	74	7	283
1	1	413	22	19	1636	15	1828	586	10
21	17	7	203	278	538	738	1373	651	10
6	21	224	321	20	15	700	644	22	409
4	1	62	486	625	684	708	5	481	4
0	4	12	292	299	1206	699	504	818	775
0	1	259	35	7	673	219	227	87	632
166	241	38	499	3	763	11	187	1005	402
125	0	4	15	169	442	692	836	260	555
41	609	168	656	184	58	521	630	1157	45
13	4	407	625	1256	10	263	4	74	3225
0	91	11	37	12	1291	456	263	45	747
186	269	684	228	615	286	743	167	459	480
2	7	0	213	0	92	28	657	460	609
10	284	117	555	57	149	680	380	623	7
0	24	151	318	93	20	784	75	1145	1547
131	58	153	61	433	1137	385	63	2414	1066
194	84	19	173	2	263	22	437	416	556
