1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
7	283	296	5	60	626	149	13	36	20
1	3	62	732	215	219	8	982	195	97
1	51	734	59	132	48	73	72	147	159
3	12	385	58	187	24	285	306	294	108
1	275	4	88	44	78	118	136	85	234
1	29	2	516	114	325	127	89	178	250
110	3	5	29	240	273	168	109	63	381
6	44	3	459	121	43	18	24	412	102
2	8	59	10	19	80	462	88	132	113
6	39	13	10	81	199	7	441	292	92
64	112	4	304	59	14	118	244	197	16
136	11	6	12	1027	35	24	40	42	172
24	6	19	38	144	148	132	135	109	255
6	308	416	40	27	24	484	47	135	153
53	44	20	271	299	95	474	38	81	89
10	60	4	5	7	766	316	38	93	6
39	388	351	229	14	155	189	15	50	28
2	9	4	5	16	35	290	67	382	21
3	13	23	148	8	30	219	1189	113	24
29	291	29	64	144	13	3	32	172	331
3	102	110	5	31	49	704	31	68	128
210	8	6	289	248	123	29	339	126	275
108	37	7	199	5	176	21	117	307	313
98	3	43	278	94	14	1108	35	380	110
14	33	4	7	56	48	56	119	615	101
5	38	55	287	1117	163	6	30	122	155
1	5	34	105	155	38	167	414	82	38
18	63	10	17	170	145	11	6	203	218
4	153	3	10	6	167	84	46	45	129
13	84	357	7	542	485	20	172	634	287
1	2	69	272	180	15	105	651	117	141
1	221	10	3	126	150	389	138	183	90
46	367	362	96	84	366	919	61	150	878
166	5	77	336	181	44	61	119	21	187
5	3	111	4	198	43	23	84	191	90
5	59	3	12	7	241	652	165	166	40
1	7	64	43	19	78	575	24	1624	68
5	7	92	12	103	8	220	60	152	13
10	137	102	327	23	117	67	432	19	92
2	340	468	211	7	76	69	124	287	58
242	6	12	9	8	205	298	17	256	119
3	2	126	70	6	85	9	83	233	10
3	6	2	82	42	141	40	25	146	126
60	281	127	180	648	6	1071	22	145	177
3	313	7	15	39	83	1209	129	44	150
2	151	15	65	996	43	69	57	22	129
40	8	57	91	318	243	63	786	35	233
96	6	36	703	74	176	449	25	27	741
70	49	9	5	7	301	359	495	130	391
2	20	218	18	114	400	42	295	31	136
2	156	13	441	118	54	210	6	9	70
3	1	120	10	86	306	11	173	1115	252
26	9	114	358	33	674	55	413	141	41
664	36	81	166	10	13	539	18	296	128
1	539	4	9	13	15	178	107	44	247
140	14	100	13	33	1745	223	17	23	248
55	83	45	628	174	890	99	267	193	249
59	5	129	18	328	148	21	47	842	672
4	7	14	9	112	87	15	107	169	115
2	5	198	164	44	24	187	28	92	21
340	42	5	34	426	35	103	20	177	37
55	82	70	50	53	56	4	346	43	83
1	72	9	2	15	56	47	470	282	15
2	44	183	220	53	325	10	163	21	1064
14	5	169	3	3	22	193	238	137	18
1	3	12	16	181	70	389	56	41	251
5	100	42	2	376	15	44	14	18	166
5	21	15	17	4	105	419	107	26	17
2	2	5	87	47	353	365	66	261	357
8	56	7	16	68	174	131	98	189	193
1	145	4	182	95	198	234	22	36	10
1	105	8	123	687	193	9	37	21	83
7	3	4	174	77	14	507	7	60	787
3	207	139	51	193	140	179	21	309	27
3	244	188	1	111	16	64	213	823	106
25	5	311	390	3	17	293	51	183	58
53	2	16	21	20	195	111	219	133	14
76	108	10	336	33	206	20	1070	30	1495
168	249	7	5	761	157	18	212	134	216
2	14	61	148	13	112	6	8	31	78
1	2	4	10	27	83	245	316	177	73
16696	7	24	161	27	30	35	25	86	132
114	79	7	16	6	211	80	6	33	735
3	59	6	17	224	134	271	1	463	317
152	156	272	40	384	17	675	12	33	138
1	21	4	445	379	90	132	137	3	328
7	3	92	330	9	2	1108	112	137	290
1	91	336	27	167	5	113	134	132	32
118	95	36	26	125	12	116	48	96	225
1	106	130	794	5	48	102	25	155	108
85	27	161	103	11	172	15	31	108	145
1	65	13	54	210	221	15	120	667	142
236	34	31	180	1655	101	82	189	114	76
10	107	37	68	36	91	285	107	201	17
162	2	420	304	278	83	11	65	208	15
1	87	2	278	93	392	135	70	27	27
1	207	76	79	250	381	20	68	69	61
4	4	115	8	27	1016	189	44	254	327
6	265	6	6	142	494	308	119	122	238
1	105	68	32	499	218	131	25	39	28
145	2	8	91	207	21	455	405	401	949
66	442	7	120	239	10	194	126	259	339
29	121	20	82	10	424	166	119	200	80
3	267	24	139	742	2027	19	101	717	214
60	350	8	28	50	157	1388	31	75	261
1	4	7	241	66	59	18	89	92	156
2	87	199	209	1004	60	76	32	40	234
1	2	117	13	60	26	49	15	146	93
11	246	27	50	230	200	302	113	4	41
3	4	3	17	129	22	23	119	124	28
77	105	144	269	226	17	231	239	50	26
135	111	5	8	30	1	24	76	685	109
31	18	86	120	32	126	237	10	39	229
3	4	7	223	113	52	16	55	176	26
1	13	314	3	526	65	111	44	411	131
38	2	46	25	191	9	1234	426	99	97
4	161	7	551	641	5	182	20	66	8
1	2	14	11	820	21	144	284	11	50
1	29	92	57	4	87	12	352	184	189
3	76	308	767	86	8	165	767	1007	181
107	279	259	16	63	164	25	39	60	96
37	372	92	51	166	69	211	95	8	503
2	232	4	122	105	5	33	322	360	5
57	10	143	185	61	178	192	756	31	150
9	6	780	99	56	24	389	713	853	1979
60	41	3	252	242	16	99	270	200	78
3	2	233	4	10	13	68	308	165	40
165	2	9	803	15	85	215	62	58	171
8	90	120	6	6	563	39	236	19	19
2	12	65	73	45	31	254	62	37	527
158	249	260	185	111	24	18	48	234	145
5	3	561	9	41	38	146	268	25	228
154	71	83	84	262	701	235	3	29	129
33	48	62	24	23	21	53	410	105	125
2	3	7	4	8	171	127	24	110	154
1	85	4	145	13	7	628	511	10	751
39	73	565	24	16	12	522	11	12	610
1	272	2	32	353	108	70	94	252	64
2	10	4	59	14	247	201	175	58	53
103	3	13	143	10	304	202	177	135	31
2	60	5	14	772	6	133	61	53	133
68	11	30	123	250	97	44	77	166	246
63	18	160	6	5	40	110	771	746	82
1	172	6	24	10	8	15	159	8	369
13	101	133	179	9	155	58	182	53	84
1	130	6	14	13	6	636	15	219	381
1	7	266	156	49	59	48	679	351	156
67	24	142	53	27	5	6	317	548	93
2	641	7	30	80	173	259	40	424	814
35	58	124	121	343	27	175	223	158	295
487	3	46	4	6	280	490	67	28	33
1	155	55	8	241	9	15	208	50	12
5	26	4	10	77	337	143	108	96	5
1	58	22	4	58	213	128	340	208	21
2	21	75	11	117	84	63	12	1256	305
79	171	6	7	9	84	30	151	127	493
22	285	23	96	40	98	150	13	584	41
49	2	179	175	173	11	424	5	163	14
2	4	31	32	35	170	254	389	43	213
57	72	10	269	124	213	26	72	393	164
5	15	4	22	212	186	205	108	780	32
29	5	11	263	33	41	80	531	148	535
3	6	122	410	146	15	14	16	65	122
4	3	20	91	345	13	470	21	382	30
9	4	16	251	3	80	27	307	50	1247
5	3	77	125	432	272	62	129	123	89
5	11	15	722	108	103	117	16	217	89
4	7	23	27	12	573	76	41	537	132
1	2	77	25	17	105	150	333	536	37
3	12	6	128	420	66	21	212	16	299
12	8	62	139	33	255	1035	18	228	77
5	17	4	115	9	17	588	160	239	485
1	47	249	19	5	79	689	177	627	540
3	94	22	473	116	147	18	60	59	93
8	107	9	47	15	210	10	16	220	598
1	115	17	50	56	117	117	10	5	145
35	4	34	142	4	395	63	18	15	24
157	74	38	253	19	80	55	188	300	228
167	111	3	684	6	34	124	538	19	360
1	85	25	7	263	163	106	19	124	138
2	73	9	69	134	124	166	5	48	45
3	5	11	1	358	49	88	1232	13	46
21	2	863	39	9	53	68	32	16	948
736	7	514	53	76	16	523	28	270	111
1	17	2	39	13	35	20	245	52	836
2	89	19	304	33	2811	101	18	45	184
1	2	434	4	19	5	97	357	393	11
44	3	22	18	5	63	319	46	204	45
110	122	22	14	580	80	19	112	393	190
6	409	35	7	118	77	9	451	16	300
1	10	23	1	128	39	470	13	108	90
8	22	3	455	19	34	106	102	143	240
1	91	94	2	54	14	159	606	279	24
3	183	50	22	385	49	55	106	550	150
3	3	118	136	183	113	38	267	81	186
3	79	12	521	35	33	180	1342	70	311
46	245	53	1116	80	13	50	684	62	148
68	28	8	17	204	8	480	39	126	209
170	9	27	6	311	9	16	64	29	432
1	38	31	2	183	15	386	111	116	474
396	2	26	135	29	161	33	18	100	200
1	62	8	8	63	98	262	14	88	41
50	99	476	95	18	1399	25	15	234	209
15	477	7	253	75	252	346	257	66	416
61	79	11	6	545	42	12	484	35	164
101	110	62	40	310	15	27	192	53	93
134	107	597	89	51	120	2	248	75	79
19	43	8	115	246	128	136	345	91	21
1	299	98	276	100	77	390	260	16	64
2	772	12	3	149	276	61	116	35	352
56	219	28	10	15	1325	115	158	13	82
49	238	42	21	11	10	30	353	156	260
18	8	4	14	9	70	346	146	182	207
5	42	125	6	129	330	82	155	110	270
79	2	11	110	22	45	102	372	14	46
353	63	313	14	50	65	473	1218	264	268
25	3	198	221	23	7	313	76	116	158
2	2	228	3	78	8	353	638	48	213
2	74	150	18	107	13	152	49	184	29
54	57	177	10	7	21	220	52	206	67
25	119	15	43	95	63	301	236	212	1012
1	103	9	4	2	26	32	217	10	55
2	4	44	79	455	289	192	46	229	109
1043	1	6	48	32	27	6	571	226	125
123	805	2	126	82	57	187	351	114	400
9	4	2	91	146	21	407	446	27	243
54	128	7	16	191	620	108	13	11	34
70	7	1008	6	207	846	5634	10	68	30
196	4	9	8	6	32	610	14	12	6
1	56	93	41	363	258	49	139	777	249
3	53	83	77	62	266	578	445	10	189
1	153	151	72	68	7	106	283	115	111
1	5	143	75	15	301	50	241	155	286
5	73	166	110	3	362	86	1297	50	10
2	3	19	9	37	41	13	43	56	604
107	2	7	26	14	349	544	125	19	30
1	290	20	107	27	10	34	62	634	11
551	28	167	5	157	14119	120	59	92	77
94	2	201	110	38	90	13	159	340	992
9	87	127	10	56	9	93	12	196	360
4	4	193	11	425	94	140	178	90	410
2	240	148	27	100	330	122	25	199	128
20	14	276	228	432	1020	83	112	50	133
2	4	98	189	236	194	16	5	54	92
4	6	187	12	667	227	59	13	31	68
2	5	214	73	10	7	19	806	155	22
1	127	134	96	14	121	464	184	14	265
1	5	168	67	361	10	463	24	583	1417
2	3	3	119	629	80	17	20	92	296
406	81	214	54	5	218	328	76	219	304
378	10	715	10	14	559	16	79	296	6
1	193	121	5	201	76	268	176	10	14
444	140	110	7	15	97	173	236	270	9
1	31	86	265	174	55	320	546	120	69
1	5	11	41	188	156	38	112	55	142
64	109	27	157	8	38	10	15	282	58
1	753	139	236	20	114	45	17	91	441
4	25	5	123	29	86	29	30	42	92
111	2	239	317	210	106	169	19	211	230
327	146	4	89	8	74	120	144	13	118
20	6	3	1089	573	115	3	112	108	306
2	21	5	4	217	30	1104	526	632	241
120	8	172	61	65	7	14	27	304	27
25	8	261	9	50	84	96	160	215	34
144	203	83	82	28	42	294	64	79	283
5	491	354	20	722	220	460	15	227	35
10	59	7	279	6	24	952	37	360	274
51	71	44	110	328	102	100	10	58	159
42	192	508	118	167	15	178	104	116	27
56	4	300	15	11	50	93	112	259	500
61	53	80	228	22	28	94	87	752	51
4	28	4	76	48	61	134	26	771	118
2	74	18	4	15	13	27	375	208	28
1	323	141	72	147	342	630	108	121	189
2	45	7	14	28	81	160	269	276	477
49	61	10	70	7	275	24	216	112	22
7	22	677	8	215	150	258	150	217	152
88	732	225	4	5	16	108	45	159	130
1	2	110	242	7	403	33	92	20	15
1	569	370	65	14	766	1691	18	169	144
1	27	17	155	19	220	47	12	39	323
1	215	12	252	208	310	320	91	454	154
7	6	10	7	269	224	326	8	43	438
2	4	49	273	49	10	741	17	52	66
32	5	14	12	240	384	176	202	387	28
8	3	9	30	5	21	14	28	45	200
6	2	79	204	386	11	264	202	126	33
237	232	2	12	20	58	15	14	25	210
64	5	6	1282	7	103	713	611	902	337
1	3	65	8	590	5	46	48	45	128
16	14	59	41	15	66	20	19	969	755
2	1	70	6	2	217	43	32	72	546
35	26	92	40	172	112	101	189	120	140
131	6	5	20	10	2	25	13	243	1776
2	85	101	204	7	429	192	150	221	20
1	5	105	152	285	60	13	106	89	69
1	7	86	594	8	13	21	149	56	88
29	116	7	164	9	22	11	400	9	201
168	10	100	40	21	36	162	162	282	212
5	171	345	16	13	15	92	200	75	75
94	80	91	103	1060	20	66	668	1409	749
1	100	29	998	965	17	121	1145	18	67
2	98	8	17	6	50	89	71	178	678
2	9	217	8	89	106	15	900	43	90
76	777	353	190	23	49	177	116	248	167
1	7	575	16	22	29	24	20	62	18
5	150	3	137	45	6	69	337	50	75
206	195	344	8	16	578	281	81	30	86
67	21	5	148	22	224	9	74	16	305
117	40	6	27	409	135	157	29	297	471
178	30	137	274	240	4	397	77	104	162
11	16	13	264	6	30	1301	27	125	111
6	296	5	101	14	87	82	15	68	326
1	7	64	8	15	12	13	44	136	15
99	3	176	1240	9	49	6	530	319	17
3	5	8	7	6	506	58	6	145	10
19	41	419	129	70	383	19	186	43	61
81	63	68	297	15	9	97	74	96	17
1	213	269	144	8	5	516	177	49	145
92	140	65	107	32	62	106	514	158	346
31	10	62	779	5	109	17	535	313	60
