0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
738	744	950	1042	2491	307	1566	2083	481	2669
941	476	579	536	655	1579	1482	2410	1446	2587
1084	329	931	2058	1477	545	2149	952	1346	860
759	535	900	1643	2278	1297	1995	1112	1434	1572
1465	624	1470	1038	821	3096	1764	820	1503	929
794	243	1478	1272	954	1005	637	1935	1729	1454
247	468	1534	753	476	1190	1245	1294	1425	1526
570	893	563	1188	495	474	1690	1877	1257	2995
699	919	975	739	1053	2026	1554	1976	2377	3113
561	878	1373	789	991	1228	1430	941	5817	2903
759	843	466	1199	866	1099	4785	495	2447	1946
438	1519	922	3168	859	3215	994	511	2081	1549
746	636	810	313	1971	923	5462	2077	798	982
328	624	481	1060	2132	323	1161	1230	3893	1973
823	1211	160	1310	841	1024	2098	2234	1810	2907
781	755	1163	1697	1150	485	2204	1272	1972	1176
599	795	1008	1377	1501	834	965	975	1388	1603
160	318	1399	3614	810	1066	1005	2479	2795	609
311	1159	441	544	1109	1798	1696	1780	1523	1526
489	319	665	464	1269	1298	1877	2955	1427	1174
374	709	711	1266	1165	306	1913	1526	941	2153
212	324	1481	1463	2343	546	2513	2263	900	2401
680	315	1020	1878	1612	1112	773	1638	1714	2187
387	700	478	1490	734	1572	1529	1862	2771	1399
831	903	949	181	1461	1973	1588	1522	1268	1757
313	320	644	636	672	1901	708	3195	1959	1566
1178	984	264	790	2787	495	946	1130	979	2259
609	1166	835	940	1106	1465	2191	941	1612	1124
381	698	449	1278	1929	1181	2470	803	2678	760
566	474	2443	483	885	646	947	2424	1665	970
1066	1371	548	935	152	2290	1121	1069	2387	2605
696	2721	829	872	614	1754	2483	1726	2036	3731
822	160	313	472	1739	1441	2405	1567	1401	1107
1053	529	1820	624	1598	1318	1051	2755	1390	999
794	1172	484	4631	1662	793	316	2128	2946	910
617	324	648	1016	1175	1005	1272	808	1692	1722
1037	849	773	4799	960	2300	2284	639	1776	2334
371	512	2412	1223	1249	663	2420	1935	1486	2373
396	998	781	801	502	1575	480	1332	1451	2038
504	532	921	474	1098	1000	1657	962	1946	2293
646	476	919	331	1259	1344	1093	2795	1389	6814
2005	1007	1368	2331	1125	1349	3020	313	1078	3397
557	547	1039	1897	540	2451	838	1391	1037	523
321	620	1545	1762	1222	807	2835	1829	1934	3277
303	803	464	1644	457	1788	1220	3033	1336	1353
1103	624	304	307	2011	1378	567	1110	777	3002
763	1268	938	665	2019	2652	1135	735	2886	1702
593	349	793	786	916	2283	769	3410	938	2430
588	1353	1286	977	637	1453	1335	1253	1129	3138
436	164	1340	390	1096	1162	986	2197	1959	1860
763	651	613	1896	464	1353	2055	2164	1063	1458
263	690	490	2699	1161	1748	954	2811	1654	1541
317	649	407	157	2090	1854	1228	2020	1662	1954
493	487	1277	1476	1685	1329	1721	1774	1281	3528
501	1418	897	2098	311	2741	2073	319	703	2650
994	1237	1220	1652	1151	1419	938	2831	2101	1283
875	664	939	864	1425	2150	3199	1513	1746	1757
314	955	755	1436	339	2407	771	999	4292	641
625	765	0	1137	1371	1425	3337	2265	1708	2030
1222	992	729	538	654	1111	3390	1757	974	460
539	760	502	1589	683	793	2440	962	2431	1457
