1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
49	229	0	11	130	2	124	3	5	408
0	16	102	2	2	44	0	1	0	83
36	4	151	0	311	20	54	0	0	6
0	69	204	0	0	2	33	202	10	1
0	0	114	59	1	3	11	6	294	8
39	144	3	181	0	0	8	21	69	70
0	124	1	30	15	7	172	261	2	17
44	66	1	0	1	0	43	11	0	5
9	0	0	83	0	3	84	11	36	2
37	0	53	18	15	53	10	190	37	26
22	0	1	97	0	78	7	1	162	4
1	0	1	19	0	3	27	6	0	0
0	207	0	100	15	3	1	1	253	6
0	62	0	1	144	88	3	126	366	3
83	20	0	6	2	0	31	9	146	11
6	5	28	0	227	0	0	183	17	0
0	0	1	9	124	2	0	0	1	9
0	0	1	204	0	2	1	6	10	78
1	0	1	5	8	2	0	1	1	48
1	0	3	6	20	65	146	1	0	0
1	59	0	1	109	0	142	125	277	9
0	1	1	3	0	8	2	11	1	19
0	0	0	130	2	1	44	1	8	51
1	0	4	0	0	0	4	0	32	1
3	0	4	3	0	6	3	207	20	0
0	0	3	104	138	0	167	175	5	93
0	1	253	36	1	4	0	123	1	9
2	0	0	53	0	7	385	0	28	0
0	0	4	93	11	6	133	0	230	1
127	2	2	1	153	0	16	59	30	201
0	2	0	2	1	3	67	281	249	353
0	0	9	1	18	96	5	0	2	1
3	0	3	2	161	2	1	119	88	51
16	0	1	0	45	117	4	32	2	0
0	0	0	1	24	0	42	80	156	18
4	1	213	65	258	0	115	0	0	4
0	0	5	1	230	8	491	94	167	129
2	3	0	18	1	10	4	1	6	0
1	4	47	1	35	94	238	511	6	373
0	0	1	3	0	1	8	202	0	260
0	0	9	0	138	288	9	0	3	263
74	1	0	143	4	113	19	14	1	1
0	1	0	7	1	0	5	114	1	24
2	7	34	1	1	3	9	199	4	215
2	3	34	11	0	41	2	299	56	4
82	1	29	0	0	46	164	42	5	0
24	1	1	0	0	51	17	0	15	142
1	0	0	5	3	0	0	4	181	0
44	1	2	0	5	0	19	0	44	2
0	1	0	5	2	84	20	3	2	186
0	3	45	1	28	23	85	234	15	263
1	283	127	67	0	0	338	0	62	59
5	0	4	110	56	42	64	4	0	63
0	0	51	222	86	0	17	3	115	0
2	0	1	2	2	29	5	0	67	11
6	49	1	0	3	1	0	68	10	97
0	58	4	0	54	15	1	10	5	32
0	0	1	96	3	2	0	6	78	1
43	2	2	7	2	51	2	7	15	14
1	0	1	0	38	23	0	3	5	2
2	56	0	0	0	37	0	91	4	4
0	0	179	45	5	19	1	3	2	166
1	6	0	0	0	1	1	6	5	246
0	1	3	0	0	62	0	133	192	0
0	0	0	0	2	104	129	10	294	135
92	2	0	84	0	186	0	11	218	149
1	0	2	9	10	5	3	4	4	300
1	103	2	0	71	279	26	3	0	1
0	0	1	1	1	0	1	78	107	0
4	0	97	1	1	54	326	2	6	67
9	113	206	45	2	152	0	1	222	1
1	171	0	2	4	137	3	17	96	3
0	227	0	123	2	74	4	122	519	1
25	0	283	0	5	8	4	23	0	279
1	0	162	3	2	603	2	147	3	46
0	2	2	31	31	0	2	24	4	6
46	169	37	101	1	1	39	103	14	125
1	0	0	20	3	7	2	2	556	1
15	5	0	91	72	35	1	0	94	79
1	1	34	3	0	0	150	240	0	162
0	0	6	3	3	0	3	4	4	236
0	0	3	0	12	0	0	3	180	2
1	1	1	0	364	1	6	1	115	331
0	0	2	0	0	155	1	3	42	58
1	0	1	0	10	2	314	3	0	13
1	1	31	0	3	3	13	197	11	0
14	0	0	1	129	4	91	13	3	21
0	0	0	2	2	0	10	137	9	1
0	1	98	1	182	0	2	65	167	0
1	13	4	0	235	4	78	5	49	132
0	0	3	1	0	92	0	89	0	15
131	12	3	7	26	84	0	36	167	31
44	2	1	0	0	148	0	1	1	5
0	0	6	29	118	6	189	104	0	0
0	1	1	3	3	170	1	0	4	25
0	0	22	72	138	171	0	403	0	173
28	33	158	4	13	283	37	7	1	1
1	2	76	213	46	0	5	2	0	35
0	1	1	0	0	0	1	10	10	1
1	4	0	11	3	4	5	5	34	242
0	0	1	7	2	59	3	4	2	37
16	0	0	1	3	42	1	3	235	0
3	1	28	0	314	0	0	5	138	20
0	3	3	4	8	3	167	0	5	2
1	0	1	3	71	376	3	166	1	190
0	3	0	0	0	1	169	155	5	2
53	26	5	0	0	0	77	27	3	53
1	2	74	5	9	94	12	6	0	8
0	12	1	2	21	12	6	2	8	0
1	0	10	1	13	0	29	77	0	0
0	0	0	10	0	54	104	0	228	0
0	1	2	3	1	1	116	9	49	9
2	1	0	4	449	75	0	177	77	0
0	1	2	4	186	5	2	107	2	3
0	1	0	7	20	15	1	203	155	12
3	1	0	0	63	0	81	2	8	0
0	0	0	0	0	1	7	8	7	6
0	0	2	3	0	125	6	1	0	1
84	4	93	0	0	5	0	15	167	7
1	0	6	0	0	118	131	4	6	256
89	28	6	2	119	5	3	3	0	12
2	0	1	0	7	0	21	174	2	28
86	0	1	0	1	0	18	87	5	0
0	67	1	1	0	7	1	186	202	189
1	0	53	68	0	133	191	74	1	1
0	2	0	0	1	205	3	181	80	479
0	17	0	2	154	28	78	548	0	0
0	42	114	181	0	19	88	26	2	0
0	3	23	20	3	1	27	2	68	4
0	0	1	81	0	1	53	96	0	206
1	174	0	1	199	81	157	4	1	0
0	1	3	0	0	0	4	508	102	167
25	149	1	0	104	302	1	2	5	7
1	0	0	143	15	66	2	5	1	127
0	65	1	11	148	0	0	5	4	6
220	3	0	0	1	1	21	57	212	2
0	180	55	3	10	120	165	0	8	68
0	63	1	25	1	0	0	159	5	0
3	34	116	0	270	266	157	11	118	1
0	1	4	1	13	1	61	5	1	3
0	1	0	0	1	1	402	236	3	92
0	15	0	12	0	7	0	1	26	2
0	1	0	99	317	0	3	0	97	5
0	56	4	78	125	2	2	0	456	65
0	0	0	52	8	0	3	114	217	2
1	0	3	107	275	1	2	7	385	71
0	0	59	1	87	1	138	0	5	28
0	3	0	56	6	344	6	5	19	166
192	3	4	0	2	41	4	164	0	2
0	1	100	0	509	303	40	3	2	1
3	4	166	0	4	4	4	1	41	0
0	0	0	0	317	24	9	2	0	844
0	0	4	72	6	11	235	6	5	292
1	0	113	2	0	124	1	6	47	3
114	8	0	2	1	0	3	3	8	45
1	3	27	9	324	1	1	5	208	50
0	0	2	2	3	152	0	11	39	0
0	8	10	4	19	0	226	120	177	24
2	1	0	191	77	0	78	1	156	75
72	1	0	4	75	0	14	165	1	254
0	0	0	0	110	0	10	4	289	79
0	1	0	4	9	2	17	7	7	0
1	0	0	0	0	0	206	45	87	85
1	1	1	106	144	0	2	7	9	1
0	9	0	265	0	4	67	1	0	289
45	6	1	1	0	20	0	37	5	11
5	232	0	0	43	1	2	0	0	69
78	81	0	0	163	4	463	16	137	139
0	0	0	4	3	5	1	2	280	3
0	6	0	6	5	0	26	0	263	3
92	1	87	27	0	6	0	3	4	0
0	51	0	4	212	25	100	84	9	830
1	2	1	89	0	102	78	111	0	237
4	9	39	117	118	2	612	0	3	18
0	1	89	1	0	5	7	97	126	10
0	4	0	164	116	6	141	6	249	0
0	1	22	22	0	1	74	1	8	3
0	0	0	3	186	4	31	2	220	0
0	0	52	85	26	6	94	6	6	4
22	2	3	72	1	1	9	258	25	55
0	222	0	1	1	9	132	136	2	278
0	1	52	8	28	0	3	4	0	263
1	6	4	3	0	0	1	179	0	487
0	126	3	193	0	2	0	107	157	18
0	3	0	1	7	210	1	2	13	3
0	0	5	58	23	8	8	1	2	128
1	77	95	11	3	3	77	40	9	527
75	0	0	10	0	13	0	0	11	6
0	1	0	0	4	1	35	4	1	285
0	0	1	1	126	0	256	8	398	0
3	0	0	32	2	0	14	0	16	6
53	0	0	3	54	175	22	4	51	0
0	0	4	25	8	202	0	1	139	0
25	0	1	0	13	3	2	10	5	28
33	5	5	0	4	247	126	89	229	12
0	1	65	0	35	3	3	125	1	1
38	1	4	1	1	200	13	120	53	76
0	2	3	0	0	70	5	234	71	3
1	119	0	0	8	0	5	0	44	5
11	22	3	1	73	3	14	0	5	131
0	1	104	188	82	7	194	54	0	139
1	84	42	4	7	1	120	5	0	68
2	7	4	8	5	115	47	0	208	93
77	0	0	80	4	0	60	17	35	0
2	1	115	20	1	67	162	0	88	113
0	0	33	1	0	142	0	86	471	296
2	0	1	63	2	0	0	1	0	6
76	1	2	2	9	3	178	325	7	1
0	3	0	0	269	0	2	526	9	1
0	0	7	0	4	2	149	134	14	32
66	0	31	7	57	11	90	1	101	3
0	1	70	3	221	0	381	396	1	14
0	25	2	0	2	1	67	297	2	7
1	52	0	202	1	39	109	108	172	75
6	80	86	1	0	0	2	147	3	2
0	1	0	5	67	0	6	0	3	0
49	1	77	137	4	21	0	245	162	125
2	4	0	0	1	0	132	351	136	0
110	2	0	6	2	9	0	203	42	9
0	0	0	5	65	24	1	4	11	9
0	2	0	177	8	143	23	4	128	736
0	0	65	2	0	9	1	1	5	0
1	0	115	5	51	56	3	163	181	2
10	8	0	23	9	2	189	195	0	6
4	47	0	59	2	4	13	0	4	78
0	0	0	106	1	12	0	67	3	12
0	2	126	408	2	2	100	2	73	4
0	1	1	1	56	32	46	10	96	42
0	1	3	711	1	72	144	148	305	2
2	0	0	0	0	0	3	97	1	160
0	1	1	1	1	1	3	173	5	1
0	16	3	48	5	8	5	93	3	0
12	4	2	0	3	1	144	2	3	93
0	0	2	113	0	4	0	18	1	33
0	0	3	2	3	2	34	0	4	39
0	12	0	0	33	0	109	2	0	182
14	3	1	1	8	2	2	12	49	9
0	0	0	142	1	0	0	9	94	14
0	2	0	0	207	189	9	2	0	1
0	1	121	29	0	160	107	221	281	329
0	2	1	0	3	22	16	0	3	6
45	1	4	24	2	4	130	165	0	66
2	36	0	4	1	70	0	8	131	0
9	169	1	73	50	0	18	1	11	190
0	255	124	0	276	1	3	244	1	4
47	0	0	1	137	6	5	113	0	9
0	0	1	1	0	29	2	72	1	45
0	3	3	1	47	1	59	1	0	101
5	10	53	90	28	37	57	144	66	2
0	68	0	4	73	38	88	8	0	658
0	4	23	0	111	2	1	1	1	1
50	3	1	1	7	19	1	23	9	25
59	96	0	7	183	1	92	218	2	0
0	1	110	0	15	0	5	296	3	173
0	0	0	280	2	5	0	0	128	140
0	2	12	3	0	1	1	8	6	392
0	67	1	1	0	248	0	0	2	9
0	0	161	0	1	225	66	151	6	342
91	0	2	0	9	8	5	443	1	1
1	0	0	2	1	1	6	7	0	2
2	0	3	0	4	0	245	171	106	5
0	26	2	2	164	5	107	1	0	0
0	0	6	0	140	2	0	6	0	223
1	0	33	0	1	113	0	0	3	6
0	2	1	0	0	1	0	4	0	3
0	0	262	128	1	3	44	0	627	182
2	39	0	22	6	0	167	12	200	3
1	0	0	102	7	1	1	1	144	40
17	0	4	33	4	0	110	12	3	9
0	6	1	0	30	1	1	15	49	8
0	140	0	31	51	0	0	8	4	1
48	0	0	0	6	6	9	9	132	0
0	4	0	66	0	0	333	7	11	2
0	55	1	1	4	1	341	200	5	1
0	1	14	120	142	0	17	98	303	7
0	0	1	4	0	62	4	2	3	13
0	39	3	151	1	1	34	1	2	1
0	2	0	37	1	10	114	2	108	2
0	19	0	30	0	1	3	0	1	163
0	0	0	1	23	3	6	8	2	15
3	0	26	102	3	5	4	1	0	0
0	3	20	167	89	1	7	56	762	222
7	9	2	8	1	2	202	35	261	0
0	0	0	41	1	35	4	154	1	21
0	2	34	0	7	0	220	68	2	4
80	3	0	0	203	12	6	178	0	3
2	2	261	122	134	1	60	5	328	177
0	1	22	20	0	6	9	9	7	164
40	1	1	58	1	135	192	3	1	8
0	4	1	3	0	0	0	11	2	5
0	2	5	222	255	16	1	330	417	445
0	2	157	1	53	0	18	139	2	141
0	0	0	2	1	59	7	1	4	93
23	0	4	5	171	7	0	43	0	215
0	1	5	71	8	0	4	0	8	0
55	0	69	0	1	6	0	1	1	1
0	1	5	27	49	204	2	3	8	49
0	0	4	19	2	0	152	21	1	14
0	0	185	0	406	1	4	207	102	68
1	0	1	0	332	1	2	20	242	0
0	1	0	0	3	354	2	0	0	227
0	0	0	21	2	7	23	198	1	226
0	0	37	2	259	1	1	129	59	8
4	1	0	2	0	0	6	329	2	234
0	2	0	12	1	4	8	1	2	139
20	2	57	2	3	140	716	0	2	52
12	0	2	102	2	88	3	0	326	5
17	0	30	0	5	0	0	13	290	1
0	120	0	1	3	1	3	12	106	0
1	0	1	3	156	2	5	0	2	221
0	1	0	106	16	6	12	5	377	2
0	0	91	44	25	1	89	0	8	108
0	0	1	6	0	3	31	31	177	11
0	0	2	0	90	7	1	1	272	267
1	4	4	0	147	11	2	9	0	103
2	1	0	2	14	4	1	0	148	70
0	119	0	24	1	0	2	4	4	2
40	0	133	0	149	5	112	56	0	8
21	4	18	215	12	9	91	0	62	147
4	98	4	1	0	1	24	201	0	11
0	138	15	43	0	2	3	5	0	1
5	1	39	5	1	5	33	37	317	5
2	1	166	36	34	110	3	5	199	7
0	8	0	126	2	7	49	5	185	7
28	6	10	0	525	149	320	210	0	54
0	20	0	0	16	5	165	1	7	0
10	0	3	4	95	0	82	0	232	1
0	48	2	1	15	98	6	42	1	21
136	138	1	2	0	0	45	8	126	0
6	1	0	6	231	0	263	4	4	53
8	0	0	2	0	121	56	133	342	14
2	59	5	0	65	1	1	3	42	121
0	0	3	17	0	90	0	8	593	17
1	1	2	8	145	11	0	4	0	93
0	3	48	0	7	2	13	381	203	70
2	0	3	1	9	1	0	5	6	53
3	0	0	9	0	0	119	0	103	226
0	0	0	24	0	1	78	43	145	206
0	0	189	0	1	7	12	3	2	0
2	3	1	3	0	4	0	126	0	2
1	1	0	1	244	0	1	81	2	1
0	0	8	0	2	2	4	209	240	31
0	15	0	6	151	0	35	8	123	94
0	0	16	7	4	0	125	419	1	273
