0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
1141	1031	4964	2530	3801	7779	3159	7368	4182	10671
1480	2822	1886	4442	3965	9168	3051	7942	12417	6915
536	1700	751	1873	4389	9061	6523	6887	7124	27555
3190	4108	2151	3450	1962	6041	8162	5190	4385	3706
688	1986	3078	6478	4820	2766	9564	9830	6027	5170
2017	4164	3620	5066	7509	5441	5856	3976	3143	4767
1060	3231	2344	3556	7810	4154	5679	6329	4996	9291
3400	1602	3156	4913	1762	7246	6580	3110	4383	23847
1328	587	3038	3173	7085	4918	4644	6094	5305	2924
1416	3226	3577	5857	1732	6016	4847	11730	8103	9194
1024	2350	1907	5475	11725	2493	9135	7864	6045	8924
698	1612	1767	2033	2567	6058	2890	13262	3487	5423
1566	1299	1832	4054	4266	5858	7108	4505	7685	4493
1834	1762	6645	2742	3203	3480	7170	4865	9402	4219
633	1721	1473	2764	1421	5316	5716	5701	11263	5749
2183	1888	2351	2598	1053	3256	6500	5228	9758	10359
463	2521	2611	3130	2815	3744	6545	8601	11575	10378
742	1765	1907	3568	4144	1902	7668	9104	5424	3870
475	1604	9937	5048	3019	3511	6642	13116	7581	6322
1146	2389	3171	2501	2659	3180	6164	4082	11980	9736
1497	1707	2520	3044	5834	5075	7457	4452	7296	8772
1685	6469	1660	2968	3073	5507	5113	8167	8134	27555
1399	2651	1636	12829	5061	5142	3946	5816	7383	8205
519	1715	674	3795	6674	4544	6253	8713	7478	11948
2753	2597	4746	1630	3523	2708	8160	6371	10856	6507
1074	2517	1837	2324	11219	6980	6389	7808	5657	11906
1290	425	1448	3034	1780	3422	4603	8072	21885	28764
1433	2184	3048	5656	7463	5682	5755	4656	7907	4242
1684	3591	2585	3299	6743	3586	4560	3679	11665	3755
1544	3699	1497	3524	5252	4592	8004	10525	3790	9489
1649	1235	3832	3968	3390	9155	5417	10050	8812	5524
1240	1687	2167	1508	4752	5205	5908	8625	3450	7627
1860	2034	4916	2125	6028	12694	6428	4402	5775	3881
1039	1945	1814	5609	3027	5900	5390	6504	10808	24525
1180	2255	2891	2382	3126	3933	7457	6754	5452	6260
981	467	4304	5222	4597	6803	4623	8560	9050	9424
973	2281	2838	7225	6589	5427	5210	7336	7837	26557
1748	2117	1709	4512	1459	2478	3933	8772	6335	3007
427	2628	2684	4610	2167	5329	6926	10007	11126	6673
1926	2235	3242	2016	2347	3046	5414	5623	9153	30988
1879	3288	2557	2505	5538	6915	4168	5751	7010	20955
1060	849	1701	3642	5876	3543	7969	8148	10706	10256
1141	2337	2079	3273	2327	8223	8046	6081	10319	26116
1349	2442	1675	3475	3157	7196	2719	8599	3165	10298
2228	1301	2236	5839	5810	4491	3382	6716	5766	11649
2152	784	6041	3623	12089	8937	8507	3327	5314	6862
3074	2605	5163	2770	6721	2130	14091	3818	13524	15830
1039	1200	6800	3659	1543	5302	7398	9913	8433	5194
2937	2414	1706	5504	4102	7064	2636	10065	6023	8242
412	2874	2914	4140	14231	5328	4017	4849	9161	5035
1079	1272	1748	5715	4644	6964	6044	5831	6151	8612
1279	4931	4314	5208	3158	4373	3699	8201	10913	7297
1254	1736	1188	4481	5813	7614	3804	15116	5976	8185
1013	4844	6963	6437	4783	2977	6142	9203	6120	3111
3038	2410	7219	5419	4300	4319	6797	8921	8792	4636
2902	2468	2094	3181	6366	4015	6501	5277	3295	5220
2127	2745	2466	6157	2555	6837	7031	4788	6003	6195
916	2861	1749	4359	6957	6690	2441	4000	6589	3629
375	1881	4337	1406	4157	2675	12343	6453	10807	7229
1431	795	4083	2842	4292	3949	6951	9004	8711	8565
2145	2522	2622	1634	5271	15076	5473	7335	6064	4763
3055	1277	3303	4447	6235	8290	5212	5060	4572	5035
658	1929	2927	6230	2214	8007	6764	6010	5579	4504
2985	2715	1061	363	5856	5109	10244	3557	6765	17041
1332	2209	2250	3420	3230	4123	8631	4408	6523	3141
276	786	4490	2927	6060	5699	6719	5055	276	9433
794	2371	4118	5494	6139	11479	5523	14607	8252	5347
1509	2124	2243	3627	4901	5154	7065	7253	6009	9752
1134	2454	4171	4425	2999	13483	5621	7713	2857	6304
2139	1266	1132	5850	2806	3263	9323	3378	6579	8688
3289	2049	2991	3162	5888	5612	9755	8163	9070	12628
896	2196	4946	6212	7506	3005	1425	5737	3841	6170
2130	873	2773	1598	7229	6520	5669	5667	3524	7401
5076	3491	3462	1487	3664	3298	4391	5376	3382	16297
1003	1323	3779	8444	6289	3898	9688	10194	11229	9508
931	397	2062	925	3999	8098	10324	2582	8579	8361
689	4278	674	2130	4436	4953	2704	6394	7346	2464
1373	1590	1141	2770	8624	4069	1015	7858	9682	8941
1297	62	2971	2593	3932	12075	9621	10921	8335	3176
702	1780	3702	1976	1649	4531	9254	5725	10735	24968
792	1042	1614	5727	7963	4259	3501	6655	7579	10643
1584	1381	3919	4637	6632	4695	3117	6936	7282	8645
845	3672	6205	3425	6290	4778	5051	7945	9191	8760
2196	1797	1968	3340	2074	5462	5954	3724	14703	10455
1270	3055	1722	5281	3766	3355	7129	2989	12598	4836
1332	2867	4153	5581	3677	3759	3854	6597	3848	7338
1380	3069	2630	1567	4778	6247	3048	5229	8372	8329
104	425	1974	3560	3948	3318	3269	5287	7525	7189
358	840	1203	3038	5899	3066	4078	5372	5502	8175
1506	1777	1368	1340	4761	6101	5229	7921	11966	21901
790	769	1852	1865	6059	4392	10105	5153	9730	4012
1221	2443	4466	2822	2714	5960	8561	8372	7512	8032
1499	2777	1170	4703	4318	9814	2253	4569	2931	10174
873	1738	3222	9944	1742	5039	4188	5460	7097	10570
846	1525	7668	1433	3986	4444	3649	11011	10480	7757
119	2880	2168	3487	6332	2952	7223	5784	12293	8565
774	8849	596	1989	4046	4943	7605	5901	14675	14424
1705	1792	3911	5142	3330	3686	6100	7420	6532	3811
1882	4163	726	2956	5046	6905	4301	9580	4456	7665
1069	471	1059	2649	5578	4905	6219	9959	10192	6011
1875	2444	2289	1102	7668	7312	3299	12915	9545	7717
1100	3729	2103	8498	1201	2693	15715	6083	7649	9104
987	2209	2409	1440	4303	6757	5679	4648	8052	5814
2358	1296	1712	3749	3351	7676	3522	7256	14595	7052
2123	2486	2114	3956	2218	4202	4678	4078	6535	24858
750	553	9615	2150	2923	6232	4188	7686	7513	9540
1632	2560	4174	9698	3106	6091	10048	5574	4099	12542
1568	770	4895	1597	8359	7980	2393	6006	3528	7120
1556	3878	2753	3156	1977	3119	5857	12264	5368	7342
5039	1062	2870	2344	5602	4964	5522	12374	8926	6161
2117	1988	1022	4739	14053	6171	3345	5525	3778	8309
787	905	2994	2774	4381	3860	3418	5111	9140	4089
300	2944	3533	5682	8591	3917	5063	8540	23260	9954
1127	1570	2206	3545	4719	8526	8266	3835	4271	7831
1913	1107	1500	4339	3409	8285	12968	9495	17176	5794
2353	8023	3626	1790	5225	4497	5415	8455	5186	8416
1315	2353	2926	1794	1726	7310	5140	8507	3283	6820
1097	6686	3948	5025	5244	2386	22281	11783	3095	6566
913	1544	624	5141	16584	3439	7402	7832	16505	4460
1988	663	275	1818	1363	9032	6090	10944	8926	5552
1602	1749	1870	2842	2366	4380	4396	4561	7029	8909
533	2185	3738	2331	15961	4012	4404	8023	3008	5902
1447	1606	3328	2189	1392	6095	5725	7264	7458	9863
1261	2438	0	3306	2368	5833	11248	3041	5741	7005
382	1451	1000	4091	1843	3477	2462	4197	11254	16131
1782	3154	2873	5097	2282	6754	7755	8539	7069	7864
1246	656	2394	3893	4963	5833	6081	6920	10374	6265
1350	3475	3645	3219	1103	3950	7480	5002	10913	7514
702	2680	2817	3721	7424	2896	5147	6838	6276	9724
1023	2056	3468	1975	2521	18893	6380	6768	5850	5245
1463	1050	3953	6815	3403	4302	2964	5860	7908	10175
861	1102	2342	3297	3776	4618	10227	5575	9446	7756
1223	1301	2269	1628	3603	3360	2873	18643	8915	10527
469	4069	3457	4142	2637	3101	5110	6833	6523	12331
1036	1815	4291	2295	2575	4022	9251	5612	8399	4366
803	0	3307	14704	2803	2682	6595	9298	7761	3916
1886	1692	1821	4203	3375	5702	14577	7406	6048	9496
2360	6267	4160	4052	2772	4595	3677	9567	2704	5669
1945	2270	2215	2982	16960	7656	7836	8294	10756	8781
1984	1574	5045	2122	10683	10623	6838	6389	10020	9147
525	3621	2190	4322	13855	3316	3830	6168	7083	2248
1614	1521	4012	5060	5897	4892	3216	8946	3578	10213
