0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
557	770	1311	1124	933	795	1090	1016	1675	944
579	577	882	747	1299	1395	754	1228	2007	432
544	608	768	936	418	1463	5851	1096	1785	302
248	1264	311	701	1230	2345	1355	945	1437	2151
212	320	1159	1288	779	1848	1900	798	3879	0
312	321	616	819	618	1286	2152	1391	784	3040
148	930	1007	431	668	820	488	2403	1711	1849
226	481	935	908	1007	1333	663	843	1248	1733
363	1478	1022	322	768	1105	1384	1477	1495	1118
573	941	964	310	1149	1241	1045	1877	1983	833
357	555	1044	469	1220	237	712	901	1825	952
675	469	361	1325	738	323	716	1588	1538	2566
366	487	786	558	354	1871	828	1598	3422	2690
579	227	880	567	990	1166	1811	2172	2457	1010
1092	1158	678	307	1227	711	1985	1073	1449	1654
443	667	592	2906	671	608	1661	2200	3193	777
231	1068	1045	1018	888	903	1832	1679	1844	946
284	442	471	448	1445	1263	1329	2838	1764	2092
442	576	2814	1016	1973	1648	870	1496	1310	2836
347	584	950	692	443	1344	1679	956	4176	116
377	331	428	691	856	912	783	2049	2839	751
1617	471	815	988	994	877	1245	1114	2271	1990
450	422	807	1038	834	1081	2244	1372	1758	2053
244	640	304	650	798	530	1464	1438	1163	965
862	564	486	730	1864	1342	798	529	1471	2677
664	309	317	500	781	817	2364	1259	1267	0
215	136	2126	894	819	522	1174	1430	1290	2045
1090	709	842	784	527	890	1295	1034	1730	1209
342	329	792	1118	2621	1245	1171	417	679	2219
654	110	518	533	1534	2111	640	423	2124	1148
220	438	980	449	816	1110	1341	1389	630	1063
105	336	309	891	974	639	1329	1296	1741	2469
812	248	453	355	1648	1110	920	1704	1456	1182
223	587	798	1829	1223	450	749	2364	1104	1793
378	1416	1339	302	788	1132	1408	1883	998	874
0	642	289	1053	357	1045	3178	1392	305	2871
515	944	1054	468	856	1242	581	1026	2565	571
215	2256	472	1037	1321	1269	2056	1048	2349	925
346	1132	1179	928	581	1281	918	1114	2250	1647
