1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
1	18	3	376	4	141	46	40	10448	59
1	2	12	8	39	4	4	49	770	20
67	2	10	14	26	8	761	36	8	39
2	247	8	89	2	4	808	211	64	163
51	3	116	104	28	385	16	173	2	17
1	9	7	25	26	77	10	1	317	20
33	5	11	8	6	8	24	68	11	256
1	17	7	130	8	14	14	8	36	13
56	537	4	11	8	21	17	13	104	19
40	4	3	18	13	23	109	60	17	190
4	149	22	113	412	17	128	6	154	38
1	38	5	83	33	27	157	235	22	459
1	2	14	67	34	8	13	92	23	339
1	41	75	234	7	9	47	23	490	18
1	4	6	66	20	22	332	6	36	17
1	141	5	8	19	7	386	271	22	33
239	5	4	292	6	33	22	21	1	1
2	59	365	6	10	11	29	37	44	29
14	3	70	5	5	9	135	27	32	54
2	1	80	9	32	316	5	35	90	25
11	1	13	11	184	38	4	47	142	17
3	12	4	6	12	28	18	12	75	45
48	72	3	1	26	3	19	147	23	22
1	12	6	13	161	69	8	9	81	14
1	1	5	197	302	9	10	154	208	15
1	14	46	9	11	64	59	24	330	150
67	40	6	7	95	29	6	6	22	24
2	2	31	13	29	27	15	8	14	10
1	4	15	15	4144	91	11	126	6	33
2	2	9	2	37	8	42	76	76	326
2	188	2	8	80	422	123	12	28	36
35	23	5	8	41	45	41	40	217	42
1	7	30	14	32	1161	13	33	22	6
28	9	19	3	8	446	424	13	391	24
19	3	10	24	4	95	383	1005	69	11
40	6	15	11	177	66	18	85	143	9
1	3	8	128	2	141	66	21	510	32
1	259	3	109	58	11	16	42	544	24
2	164	12	34	90	4	81	14	9	737
1	3	4	18	7	12	6	44	14	11
1	21	177	6	277	22	121	61	4	46
2	3	7	92	5	6	19	18	21	37
2	2	77	24	79	14	21	39	33	178
485	1	52	106	39	9	122	49	14	318
2	6	36	229	118	5	2	11	104	165
1	2	2	2	15	148	11	79	71	100
1	7	12	35	548	7	15	23	32	28
3	4	3	47	16	62	877	914	57	14
8	180	4	26	40	5	42	401	10	267
44	2	2	10	12	13	37	60	9	270
5	3	3	180	16	20	16	1061	3	15
2	6	4	5	70	51	34	112	6	26
1	15	17	6	34	505	9	13	9	128
1	84	6	21	15	1505	212	205	20	11
7	2	206	5	6	159	20	55	57	52
1	12	1	99	449	7	37	55	39	6
3	136	59	1	9	16	81	9	58	118
105	372	252	3	7	100	26	30	16	335
9	82	5	94	28	65	58	61	1	21
13	6	15	8	9	6	71	10	31	54
55	3	55	8	375	86	9	135	23	17
22	3	6	2	56	612	32	2	12	78
