1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
115	82	133	6	117	181	81	147	91	18
1	21	551	8	123	282	526	467	64	15
5	89	103	62	4	13	204	156	14	88
1	495	340	21	13	184	162	98	3	10
1	112	6	53	14	463	75	591	124	113
1	117	128	30	7	353	24	145	133	177
17	70	3	346	13	17	34	162	70	87
1	116	13	154	364	200	62	69	1009	112
13	5	24	124	217	157	10	893	125	141
63	67	48	107	163	179	7	240	74	25
2	50	3	61	14	8	455	25	26	353
1	4	9	8	160	3	111	3	42	32
24	1343	12	31	321	248	98	298	10	164
4	26	78	365	288	340	161	166	12	703
6	1	5	186	9	38	71	15	185	41
35	466	238	153	840	3	67	47	115	267
2	67	10	434	70	173	494	312	33	119
8	10	110	5	543	83	32	41	110	164
1	5	125	17	14	8	711	10	110	140
751	249	3	28	126	90	142	251	463	1333
1	99	10	69	11	274	73	45	26	244
3	73	42	84	171	136	154	90	91	25
1	2	14	15	16	64	25	451	8	221
1	65	189	91	8	200	26	15	65	86
3	250	4	867	10	61	36	21	114	87
136	45	6	14	53	429	282	126	1009	167
1	11	258	82	114	45	242	752	53	386
4	2	15	28	33	26	114	777	112	351
1	4	5	80	8	18	167	97	23	22
1	3	6	19	223	121	53	107	53	885
1	77	261	98	617	9	313	919	176	100
4	171	39	737	9	10	9	395	147	28
121	6	92	163	5	438	125	38	79	976
12	373	128	8	14	10	226	325	38	18
80	5	11	98	8	29	85	110	126	278
90	2	85	12	86	78	3	9	149	1003
101	7	188	5	17	6	310	94	54	339
2	4	4	42	44	129	272	105	14	890
17	229	89	238	139	149	53	10	321	208
71	125	5	124	100	139	158	207	186	73
6	8	3	12	417	414	308	122	124	115
1	69	152	96	17	370	33	109	514	50
142	2	67	22	67	66	81	35	102	37
1	2	5	19	47	162	382	45	80	372
4	51	71	64	5	50	1441	22	2	17
378	9	220	100	19	224	479	103	108	182
2	166	94	71	144	457	72	32	22	286
5	2	11	607	93	62	126	86	26	15
185	100	103	202	8	45	17	22	465	110
1	328	5	9	106	73	65	172	241	85
2	8	123	30	83	149	40	24	1126	1080
47	3	119	64	83	102	477	361	134	27
6	43	77	29	3097	15	6	108	165	46
582	27	73	14	5	1138	188	52	383	91
54	21	316	21	88	62	42	12	93	718
