1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
0	0	2	13	0	0	149	3	2	3
0	0	0	2	0	1	3	324	181	1
0	21	0	1	27	26	5	33	110	2
0	54	1	0	1	124	6	6	41	2
31	20	2	5	0	8	0	31	67	3
0	0	0	24	0	134	1	7	7	0
0	0	1	1	3	5	0	3	16	76
0	4	0	2	3	62	368	0	14	196
1	0	1	58	1	0	0	0	3	23
0	0	2	0	2	1	0	0	117	3
55	1	0	0	73	1	10	1	2	10
0	1	109	0	2	0	100	163	401	56
0	1	0	0	121	2	3	0	0	3
1	111	0	0	4	1	0	3	79	0
0	1	1	0	1	0	65	435	150	1
0	0	0	0	0	1	2	1	0	0
0	1	2	0	0	0	2	1	4	1
33	0	174	6	1	3	1	2	59	232
85	0	228	1	0	0	4	1	6	5
0	154	67	5	98	8	81	1	171	3
1	1	5	0	1	13	1	3	0	26
0	0	33	5	2	0	2	0	0	2
1	8	2	8	50	10	23	3	0	15
0	18	0	0	1	3	73	99	8	351
2	0	0	2	197	126	0	0	0	5
0	0	2	0	22	0	0	50	0	61
62	26	0	2	0	0	80	0	1	0
1	1	153	1	36	148	24	1	423	6
0	0	0	2	0	1	4	135	181	8
0	0	12	0	1	93	0	0	0	146
55	0	1	8	0	57	94	2	0	3
0	1	5	0	4	0	1	0	3	82
0	0	0	0	2	3	0	3	54	8
1	1	1	0	7	2	27	6	0	7
0	0	0	0	2	0	4	67	473	1
0	0	0	1	1	12	16	296	37	0
2	0	7	1	4	3	3	0	301	30
0	51	0	1	10	2	67	0	1	1
0	3	60	0	4	18	77	4	0	0
1	0	0	0	0	121	0	1	68	0
0	3	3	0	4	1	92	6	53	56
0	0	25	1	30	2	1	5	10	0
0	15	4	0	0	1	0	2	3	109
0	1	55	0	47	0	3	1	10	44
0	6	101	0	0	0	0	2	2	22
0	0	0	0	0	32	0	8	0	182
1	168	1	1	3	0	1	276	120	1
0	0	0	0	158	0	189	0	47	33
0	0	0	0	133	0	0	6	99	0
0	0	0	0	0	0	237	0	4	139
0	1	0	0	3	4	6	3	5	0
0	0	1	1	4	0	9	0	1	9
0	16	4	23	0	0	0	4	4	0
0	3	0	4	1	43	1	0	1	63
1	0	0	1	2	19	0	4	70	1
0	45	0	6	1	1	3	5	8	328
0	0	2	0	35	0	42	0	1	268
45	0	0	0	79	90	116	4	2	2
0	1	0	1	0	5	368	111	4	26
0	0	4	0	0	1	0	0	5	18
0	32	0	85	0	0	0	46	5	0
1	0	13	4	3	1	0	27	169	51
1	2	6	1	26	0	7	0	52	1
2	1	0	3	179	1	2	4	3	1
0	0	0	0	43	7	30	1	10	37
0	0	0	85	1	30	6	7	6	21
0	2	2	142	97	13	265	1	212	181
1	5	0	1	1	2	0	1	9	7
0	0	0	92	1	2	9	2	0	203
0	95	4	0	0	0	196	2	0	316
0	1	2	0	63	75	3	5	113	5
32	3	5	0	162	0	0	3	7	0
0	0	1	18	184	129	219	140	0	2
1	145	2	62	132	0	24	65	1	0
1	3	0	0	1	17	6	1	5	83
0	0	2	0	1	10	7	14	25	6
0	0	1	4	0	1	4	0	6	202
14	0	0	58	0	0	6	2	236	3
45	3	0	0	0	0	92	241	6	22
46	1	0	4	0	0	2	3	0	1
0	2	1	2	0	0	87	0	367	0
0	0	2	2	152	8	31	0	155	12
0	0	3	0	1	0	51	3	1	6
2	130	0	1	3	135	88	121	0	3
0	0	0	15	3	0	17	1	0	2
1	6	0	1	17	124	2	0	145	209
0	3	139	6	0	1	7	0	10	1
7	50	1	196	0	52	79	1	1	146
0	0	2	0	1	204	33	0	401	45
91	2	0	38	4	2	0	13	124	2
58	0	91	6	0	6	1	2	3	19
1	0	153	4	0	182	1	0	6	1
0	10	2	0	1	5	0	1	183	0
1	59	5	107	0	0	27	0	4	0
1	0	1	13	1	0	0	0	3	173
0	0	0	0	57	137	1	0	20	21
44	262	2	6	0	0	0	4	14	10
0	0	1	0	57	200	58	0	8	0
0	2	0	0	0	0	1	134	38	1
0	143	0	2	1	10	1	37	1	5
0	30	2	0	2	0	64	96	2	0
0	0	11	108	3	8	6	8	118	23
1	0	0	1	3	0	4	1	6	2
0	4	1	0	1	2	0	2	6	488
1	0	0	4	4	18	2	0	300	700
3	0	1	1	1	1	2	0	0	70
0	5	0	5	6	1	157	4	11	0
0	1	26	8	105	101	140	5	99	13
0	7	44	4	4	2	0	3	3	2
0	1	1	0	0	3	157	8	14	14
0	0	0	0	27	102	0	2	0	3
0	9	0	1	137	0	0	4	3	162
0	146	87	14	93	5	1	10	45	0
0	1	41	5	0	1	0	3	0	0
0	0	2	32	1	115	0	344	7	0
1	0	1	1	0	49	75	0	2	0
0	1	3	19	0	0	71	1	1	89
0	6	8	1	0	12	4	2	4	259
2	4	0	2	0	59	0	2	3	2
0	0	0	3	2	0	0	144	65	299
0	1	66	0	1	1	92	1	3	2
0	1	0	0	0	2	2	2	41	2
0	0	0	1	46	3	95	0	0	0
0	2	3	1	10	0	4	184	7	110
0	1	1	2	1	88	100	1	225	2
0	0	1	0	1	0	134	1	38	3
1	1	0	118	1	0	1	8	1	0
1	0	0	0	13	3	1	4	1	0
0	12	0	151	4	2	2	19	6	340
0	0	0	0	0	43	2	4	345	0
2	7	1	0	111	3	1	0	8	0
0	1	1	24	0	253	76	1	78	4
0	81	0	1	111	1	4	148	1	1
0	73	0	1	27	1	2	2	2	95
0	2	69	0	1	0	0	0	233	1
0	0	34	0	2	3	24	2	4	2
0	85	13	0	0	0	3	0	0	92
0	0	2	0	15	25	3	146	606	1
0	0	20	1	1	1	0	11	60	87
0	1	0	64	0	4	2	2	19	95
1	61	2	0	128	1	5	264	3	14
0	0	119	0	0	88	181	4	6	3
0	1	1	1	2	0	19	9	0	40
0	0	28	1	0	115	209	3	1	0
0	3	2	0	2	1	1	14	9	2
0	0	0	0	0	9	48	2	0	86
21	1	4	0	11	0	77	0	185	178
0	22	0	0	0	0	0	2	2	176
0	0	3	48	0	26	74	0	2	0
0	1	0	1	1	1	160	52	5	2
0	2	110	7	0	0	0	15	1	6
28	1	0	48	0	54	3	481	184	317
0	0	0	462	6	0	77	1	22	0
13	0	1	43	126	1	3	4	221	6
1	11	0	1	0	1	0	2	0	5
4	20	4	0	16	149	45	2	25	5
74	83	82	8	1	0	62	1	134	0
79	3	0	0	142	0	8	7	1	153
0	0	2	89	3	2	13	100	2	4
0	70	3	1	415	15	0	0	6	120
0	0	73	1	0	77	2	61	1	284
0	1	3	1	1	329	0	1	0	0
34	0	1	1	0	4	0	3	4	1
4	0	2	78	0	0	108	73	92	4
44	0	4	0	0	0	0	2	0	14
0	0	0	13	1	29	13	3	2	165
0	0	0	1	61	0	1	127	2	62
9	0	24	347	234	12	23	1	0	3
2	0	2	1	56	2	92	2	1	1
0	1	11	0	45	4	83	3	1	16
0	0	9	22	0	0	2	19	4	8
0	0	0	0	1	35	0	1	257	159
0	0	0	0	0	2	3	2	132	6
17	2	1	0	4	1	4	0	151	0
2	0	0	0	3	0	0	2	211	36
4	90	119	4	2	1	166	1	205	143
0	0	1	0	0	2	1	143	66	9
0	0	2	118	9	9	8	5	19	2
4	1	0	5	21	1	238	0	139	0
9	152	0	2	57	1	0	20	2	8
0	124	4	12	0	1	1	2	5	0
0	0	17	0	2	6	370	0	0	77
0	1	0	1	12	1	35	0	4	116
36	71	44	1	26	33	2	250	53	1
0	0	41	149	5	0	7	4	0	2
0	1	1	44	21	0	7	0	17	13
1	0	273	0	4	108	18	101	19	4
0	1	0	111	42	100	3	1	1	114
0	0	0	1	3	6	0	580	1	76
0	0	0	5	9	1	2	0	29	4
34	0	0	4	22	0	1	20	7	5
0	2	0	0	5	3	20	20	1	1
1	1	8	13	1	125	0	1	11	5
0	48	68	177	0	34	58	99	174	116
0	101	2	0	3	38	0	84	9	9
0	0	0	0	3	7	52	99	3	91
0	0	0	6	2	91	3	0	0	9
0	0	2	89	4	179	1	2	6	60
0	0	8	0	0	4	66	0	237	64
0	0	246	0	9	6	1	71	0	1
0	0	2	0	56	1	1	0	6	0
0	1	0	0	12	0	0	0	276	9
0	0	73	0	12	2	9	3	151	3
3	0	0	58	7	6	8	5	6	132
16	12	0	0	7	6	1	1	73	3
2	40	0	2	13	0	90	3	76	2
0	17	0	0	1	225	0	148	57	64
1	0	2	230	13	94	0	0	9	35
56	6	3	25	1	0	1	0	0	1
0	1	1	2	0	7	92	0	0	79
0	0	99	0	68	0	0	4	9	1
0	0	0	1	0	4	0	5	7	172
0	45	0	0	37	66	8	95	11	0
1	1	1	57	34	0	1	3	118	230
0	0	1	1	8	0	0	3	192	0
0	1	124	50	2	252	260	1	22	1
0	1	1	12	2	2	0	0	3	0
0	0	155	2	1	5	8	0	0	2
105	0	0	2	166	0	0	3	0	11
1	0	7	0	2	0	5	62	9	0
0	1	21	2	8	0	1	1	83	2
0	3	3	0	1	108	71	0	5	1
0	73	0	0	56	0	0	0	5	3
62	0	3	158	9	0	6	0	0	2
1	64	0	3	0	2	0	10	0	0
42	0	0	7	4	0	1	1	330	0
1	28	0	0	0	0	0	102	37	20
1	0	1	10	1	0	6	22	0	2
0	6	33	0	0	0	3	39	6	0
0	0	0	5	131	1	0	3	9	0
2	2	6	0	1	0	0	1	41	0
0	22	6	2	3	0	53	1	13	0
0	47	0	7	2	109	11	0	1	19
0	0	0	0	3	1	3	16	104	204
0	0	0	0	5	0	13	0	4	77
0	0	1	0	27	5	0	0	0	5
58	0	0	0	0	3	2	1	2	124
1	0	0	9	50	0	186	176	0	2
0	4	32	44	0	95	1	1	0	7
1	2	4	58	130	0	7	1	0	1
1	4	3	1	0	0	0	5	0	3
0	0	0	2	0	91	3	16	21	2
98	0	1	26	257	3	69	16	276	2
0	3	1	4	113	147	2	96	2	0
19	54	3	62	0	1	63	33	0	47
42	51	0	0	102	13	0	0	1	1
21	0	102	0	1	0	4	1	173	8
4	1	3	0	5	0	3	0	0	0
0	1	0	0	128	26	0	0	0	34
1	0	0	17	1	215	112	1	3	85
0	3	0	49	6	2	5	2	14	4
0	0	1	0	1	70	6	8	0	6
0	0	51	39	3	219	0	24	0	97
0	5	0	0	0	21	1	0	3	3
0	20	0	1	0	0	123	4	2	115
2	0	0	59	2	472	92	57	3	9
0	1	30	19	95	0	4	2	51	3
