0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
881	176	2385	2424	5455	3317	3085	9189	5934	3456
47	525	4167	4943	747	2366	7587	6359	4841	3094
386	1640	1212	2757	788	1429	3268	2549	4574	5373
872	2116	263	1907	1930	2932	3669	4584	2000	8164
4205	2194	261	2230	4981	6979	3116	5404	7595	4884
429	390	1245	851	1051	1401	4325	4136	2001	3615
409	1097	3027	2755	1912	3384	6196	1502	4539	9799
316	506	1645	2301	716	1725	3441	2712	9472	4840
1604	1018	1236	2313	1669	5657	2808	3791	8217	9000
1429	161	1494	2354	5764	4185	2125	2810	1917	4549
36	1250	2107	1661	3866	4701	3846	5680	21276	5958
1671	1225	1121	1689	2934	11723	1331	10838	7622	7634
980	671	1732	2183	2835	2928	3204	4200	5768	4673
127	20	1151	965	2950	2117	4647	7795	5429	8340
512	894	712	2817	2465	5854	3140	4216	7151	14731
350	1134	1200	4176	3749	1868	4387	4345	7379	6759
250	987	1467	2631	3857	4644	5331	7386	7189	15900
1215	1031	3704	3762	654	3747	4909	4009	5479	5543
274	1531	1348	2399	3434	7930	1001	5044	8413	4674
108	1514	825	2299	2993	2794	1476	2331	5264	6121
720	2232	2117	3811	1199	3262	4392	3190	6474	5422
3	2076	1773	2353	7183	4383	2359	1007	9639	1761
487	2090	1699	1403	5816	4249	4018	6892	4301	2499
92	729	5516	2985	5094	2468	19288	7986	3406	6708
1265	1195	2662	2849	5247	4501	6632	10621	4864	6480
251	1234	4255	2435	5096	7567	2470	2495	9525	3620
769	838	1640	1601	4949	4151	20822	17746	6994	5412
58	159	802	1831	6678	5436	1064	3633	4711	4574
978	557	2399	527	3790	1816	7315	5470	3550	9788
972	3577	1616	3148	4299	1687	13440	3166	3225	3338
13	991	3275	2544	2335	6133	9875	7070	4284	8311
721	1074	0	1720	16585	4804	5652	3261	1459	4141
3	1101	1082	3380	3914	4137	3929	4857	5730	1681
591	1988	1625	2432	2176	1517	3138	4737	3123	7327
3	4435	1233	983	7074	4699	4845	4098	8522	4184
121	669	1727	5621	2542	7303	8713	4220	4147	7489
1011	2511	504	1830	2048	2542	4035	3518	22712	6264
263	441	2278	2482	3442	3403	4921	8873	3967	5066
607	890	1596	1398	3852	2269	2030	3095	4314	8760
762	676	3580	2221	727	1836	4965	8135	4948	3895
3	2205	2181	2704	5369	3563	4427	2777	5148	11680
281	760	2020	4057	5096	2537	3964	2446	10354	8304
139	602	2629	1219	3830	2736	7356	4540	7242	6668
357	616	1543	2843	5178	6881	3335	11449	8309	2213
268	1545	2123	3569	3218	4571	3210	9865	3287	6154
1238	1324	2557	3991	2515	4708	4884	9396	4371	10360
912	21	1091	1132	6835	1907	3539	5580	2790	2838
326	6837	2128	732	2336	4267	6326	3750	12210	3636
1041	1038	727	3991	4275	2653	2067	2848	3529	6684
372	4387	5598	1857	936	4782	3647	3804	5790	2993
730	16	1636	3769	1059	1734	1299	9765	11006	9572
2	461	3200	1284	3874	2260	17332	3286	5895	4701
515	1048	882	3601	1579	2927	5552	2916	5741	3377
548	2521	2743	2017	2550	15820	1654	2045	10243	4616
85	390	4756	4036	1795	2975	1895	5009	6459	3184
1025	574	942	4666	5529	1477	4313	2247	7084	2812
229	1395	1800	1248	3720	3891	2929	4883	2174	4681
749	1019	1594	3083	3117	1004	4939	7205	8524	2833
291	3375	1307	3599	5470	4518	3979	2356	5064	6392
3	1896	3125	1342	2212	5333	1989	5731	2460	6017
634	1872	4812	3024	1043	2873	4272	3615	1531	5041
520	1949	1	2401	5252	8514	3519	1775	11291	2536
5	1873	271	4611	3664	5025	2747	1871	3301	2491
655	5428	802	2852	6111	1468	5481	5038	6229	7496
463	2832	1798	2379	3394	6062	10361	4353	3713	3327
509	292	814	2312	1775	4718	4083	6793	2890	7876
515	1027	0	1302	2669	1751	4489	5856	2225	6931
585	764	17	2551	1688	2268	2513	3560	7814	3150
2027	1031	2568	1759	2863	1651	4819	9216	6785	4168
136	676	894	4404	4710	11426	4623	2967	5884	5408
487	2072	7126	157	2136	2594	9207	4349	2831	5199
1050	1019	1781	2373	2515	4563	3761	25799	5888	4892
59	338	3845	1814	2427	2803	6237	4283	7131	7191
818	879	11672	650	4421	4254	24281	4770	19712	4872
287	14	1382	4475	1326	5825	6823	4734	3085	5791
1142	2291	2305	2346	1964	4193	16356	3287	5006	10702
816	297	874	3518	4156	16819	2995	8008	5288	6659
137	1396	1861	1726	3231	4399	9077	5415	3745	9435
597	1360	1881	155	2293	1493	2488	3153	2407	8691
4	6488	3215	1397	5335	4007	6893	7606	8369	2541
473	1032	3556	1380	3697	11064	3640	4097	3696	15642
861	1226	1465	2570	3061	4058	4663	4832	3903	8660
238	1648	3207	18072	1933	3395	3799	6798	6624	4532
1434	1139	1614	2684	4399	967	2397	7343	2702	3757
1437	949	1415	1772	3458	2014	3362	3074	8587	5295
662	569	1273	2976	7340	3420	9916	4657	3927	6286
9	1146	1767	4322	2904	3549	14125	4876	4090	4854
659	572	2158	639	3781	3566	1378	7335	9546	4681
122	948	3380	1930	3955	4364	6241	7802	5070	4036
407	1819	3080	3492	2297	2339	7552	2233	5874	7245
368	601	2109	3940	2392	2843	4543	2734	2754	1720
234	1984	1116	1267	2253	760	17115	4040	5581	5675
652	452	1425	1683	27	4578	17613	7647	1972	7496
404	1078	2115	4777	5185	1388	3697	5665	3082	6023
380	1252	630	4390	4154	6858	8381	19769	2391	6729
