0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
123	723	14	112	218	536	7	707	489	507
3	259	5	385	323	327	378	502	637	1045
5	398	0	457	456	419	1807	911	878	9
4	254	32	93	49	1994	757	316	455	1240
81	0	269	733	413	345	743	82	53	559
321	3	197	1643	14	441	322	180	37	537
1	14	28	965	332	37	21	809	650	12
1	6	593	562	1108	158	653	752	277	779
2	227	7	546	138	117	14	148	743	193
1	271	532	34	1389	329	5	1191	437	6
317	2	20	251	611	627	1149	812	426	353
170	64	143	9	628	756	4	792	564	119
57	5	1	465	36	472	784	226	496	1143
18	459	323	168	548	461	227	1322	928	915
2	24	1	5	486	3	1158	1145	959	8
1	123	409	390	15	582	456	1173	559	284
125	4	10	5	24	373	776	696	1175	1361
1	75	221	600	481	857	475	228	1095	1110
0	0	224	157	598	210	721	270	794	856
1	18	12	320	19	100	865	2550	612	317
3	221	571	423	93	40	183	33	4	247
3	18	37	612	4	3	299	1963	346	534
43	48	1145	5	955	533	286	7	610	136
114	1	311	186	455	1949	669	889	2613	198
143	497	373	213	0	713	312	4	11	2087
148	8	22	404	135	481	1510	994	755	608
4	4	17	453	34	340	1	1231	190	488
8	284	736	116	22	61	546	508	644	50
170	150	848	793	37	440	314	180	312	132
53	9	90	284	362	403	1210	1343	42	1153
0	577	178	361	1	8	5	223	3641	577
81	232	167	4	4	2	413	232	368	1057
109	2	12	146	289	89	65	1107	24	767
5	24	2	1439	35	179	1608	1312	716	1917
48	3	65	9	472	500	63	994	589	739
127	9	9	356	421	2307	115	486	445	1262
227	2	10	141	51	1089	159	393	1599	90
0	732	6	310	132	69	156	409	945	891
0	9	102	356	170	497	480	183	860	938
3	14	26	922	129	2	1385	3	553	7
1	55	1015	22	614	25	177	344	469	203
4	304	905	20	204	11	3	127	897	81
0	67	129	125	0	1408	684	44	211	788
2	317	234	201	11	238	933	12	870	792
11	52	67	21	125	532	451	270	4	1435
1	315	4	1	24	534	589	179	810	54
128	78	792	447	27	263	222	414	8	1256
